Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;36,00;96,00;66,00;0,00;34,00;41,45;46,91;46,91;33,82;46,00;29,00;19,00;14,00;13,00;16,00;10,00;14,00;5,00;15,00;7,00;11,00;9,00;9,00;13,00;2,00;2,00;7,00;5,00;0,00;3,00;4,00;1,00;1,00;0,00;3,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00
2019-01-13;34,00;80,00;44,00;0,00;42,00;48,26;38,39;32,90;32,90;42,00;30,00;32,00;15,00;11,00;12,00;10,00;10,00;12,00;11,00;9,00;10,00;4,00;7,00;12,00;2,00;4,00;3,00;2,00;0,00;5,00;3,00;1,00;2,00;0,00;1,00;0,00;4,00;0,00;0,00;0,00;1,00;0,00;1,00
2019-01-20;30,00;86,00;62,00;0,00;44,00;28,93;35,36;35,36;34,29;47,00;16,00;28,00;16,00;12,00;19,00;7,00;13,00;6,00;7,00;7,00;5,00;10,00;6,00;14,00;8,00;3,00;4,00;2,00;1,00;2,00;2,00;3,00;4,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00
2019-01-27;22,00;78,00;54,00;0,00;58,00;39,60;53,90;39,60;31,90;41,00;19,00;18,00;27,00;21,00;14,00;9,00;13,00;7,00;8,00;8,00;6,00;7,00;9,00;10,00;8,00;5,00;1,00;7,00;1,00;2,00;2,00;1,00;2,00;1,00;2,00;1,00;0,00;1,00;1,00;0,00;1,00;0,00;0,00
2019-02-03;18,00;92,00;52,00;0,00;46,00;46,59;37,06;31,76;36,00;25,00;29,00;17,00;21,00;15,00;10,00;5,00;15,00;12,00;5,00;4,00;8,00;9,00;7,00;9,00;9,00;5,00;3,00;3,00;4,00;2,00;5,00;2,00;0,00;1,00;1,00;1,00;0,00;1,00;2,00;0,00;0,00;0,00;0,00
2019-02-10;28,00;84,00;42,00;0,00;38,00;45,23;39,85;30,15;39,85;43,00;22,00;19,00;24,00;10,00;21,00;11,00;15,00;8,00;8,00;6,00;17,00;6,00;11,00;5,00;4,00;2,00;5,00;6,00;4,00;1,00;2,00;1,00;1,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;25,00;87,50;50,00;0,00;68,75;37,50;30,21;26,04;29,17;29,00;30,00;23,00;18,00;14,00;15,00;9,00;8,00;11,00;8,00;5,00;16,00;8,00;6,00;11,00;5,00;6,00;1,00;2,00;3,00;2,00;3,00;2,00;0,00;0,00;0,00;0,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00
2019-02-24;29,00;82,86;47,64;0,00;49,71;36,52;51,56;35,44;27,93;36,00;27,00;15,00;24,00;15,00;17,00;8,00;11,00;11,00;10,00;5,00;8,00;7,00;3,00;15,00;1,00;5,00;1,00;3,00;5,00;1,00;6,00;3,00;0,00;0,00;0,00;1,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;30,00;90,00;46,00;0,00;42,00;35,36;46,07;30,00;27,86;30,00;33,00;19,00;21,00;13,00;18,00;8,00;15,00;11,00;16,00;4,00;14,00;7,00;11,00;15,00;4,00;4,00;2,00;3,00;2,00;1,00;3,00;2,00;1,00;1,00;2,00;1,00;0,00;0,00;1,00;1,00;0,00;1,00;0,00
2019-03-10;24,00;106,00;52,00;0,00;46,00;45,82;55,64;40,36;31,64;23,00;28,00;21,00;27,00;14,00;5,00;11,00;11,00;9,00;9,00;4,00;8,00;9,00;8,00;11,00;1,00;3,00;0,00;1,00;0,00;3,00;4,00;3,00;2,00;0,00;0,00;0,00;1,00;1,00;1,00;1,00;0,00;0,00;1,00
2019-03-17;26,00;90,00;44,00;0,00;30,00;28,08;53,04;37,44;32,24;30,00;28,00;25,00;19,00;13,00;12,00;14,00;19,00;9,00;6,00;9,00;7,00;8,00;7,00;8,00;3,00;1,00;5,00;7,00;1,00;0,00;3,00;5,00;0,00;0,00;3,00;0,00;2,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-03-24;35,00;102,94;47,35;0,00;47,35;50,91;58,33;29,70;32,88;35,00;25,00;21,00;17,00;18,00;17,00;10,00;10,00;8,00;7,00;11,00;11,00;7,00;7,00;16,00;4,00;6,00;4,00;6,00;4,00;1,00;3,00;1,00;2,00;1,00;0,00;0,00;2,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-03-31;37,00;139,78;51,39;0,00;43,17;50,74;57,09;41,23;33,83;51,00;32,00;23,00;21,00;19,00;7,00;16,00;14,00;20,00;15,00;13,00;17,00;9,00;5,00;10,00;10,00;4,00;2,00;6,00;2,00;1,00;3,00;1,00;2,00;1,00;0,00;1,00;3,00;0,00;0,00;1,00;0,00;0,00;0,00
2019-04-07;46,00;146,00;52,00;0,00;46,00;54,56;56,70;67,40;20,33;39,00;32,00;25,00;20,00;26,00;11,00;16,00;27,00;16,00;7,00;11,00;22,00;11,00;7,00;7,00;4,00;5,00;3,00;8,00;7,00;1,00;7,00;1,00;0,00;0,00;0,00;1,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-04-14;36,00;134,00;68,00;0,00;44,00;57,18;76,24;32,82;51,88;46,00;42,00;26,00;20,00;30,00;11,00;7,00;25,00;29,00;12,00;10,00;14,00;10,00;7,00;19,00;5,00;5,00;1,00;7,00;5,00;0,00;7,00;1,00;1,00;1,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;41,00;114,80;53,30;0,00;36,90;44,24;56,11;25,89;46,39;38,00;31,00;21,00;19,00;21,00;15,00;16,00;23,00;19,00;16,00;10,00;10,00;11,00;14,00;9,00;11,00;6,00;2,00;7,00;1,00;1,00;4,00;2,00;0,00;1,00;0,00;1,00;2,00;0,00;0,00;0,00;1,00;0,00;0,00
2019-04-28;34,00;122,00;46,00;0,00;30,00;43,56;55,25;35,06;58,44;47,00;28,00;28,00;11,00;32,00;24,00;13,00;20,00;12,00;17,00;2,00;14,00;7,00;9,00;16,00;6,00;3,00;2,00;3,00;2,00;1,00;4,00;1,00;2,00;2,00;1,00;2,00;1,00;0,00;1,00;0,00;1,00;0,00;0,00
2019-05-05;44,00;123,62;44,00;0,00;29,33;56,88;38,63;46,15;50,44;34,00;19,00;17,00;14,00;41,00;10,00;15,00;13,00;13,00;6,00;4,00;9,00;5,00;3,00;8,00;7,00;5,00;2,00;4,00;1,00;2,00;3,00;2,00;2,00;2,00;0,00;2,00;2,00;0,00;0,00;0,00;1,00;1,00;0,00
2019-05-12;49,00;130,67;51,04;2,04;24,50;55,39;69,24;41,54;52,20;47,00;25,00;30,00;17,00;32,00;20,00;18,00;16,00;21,00;11,00;9,00;10,00;10,00;18,00;11,00;6,00;2,00;2,00;2,00;3,00;5,00;8,00;2,00;2,00;0,00;2,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;46,00;154,00;48,00;0,00;40,00;69,53;54,56;32,09;69,53;40,00;27,00;21,00;14,00;28,00;22,00;12,00;12,00;7,00;17,00;11,00;13,00;8,00;15,00;11,00;9,00;7,00;2,00;4,00;3,00;1,00;4,00;3,00;0,00;2,00;0,00;0,00;1,00;2,00;1,00;0,00;2,00;0,00;0,00
