Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;33,00;92,40;92,40;46,20;115,50;84,33;80,67;183,33;86,17;46,00;49,00;66,00;49,00;79,00;33,00;25,00;69,00;17,00;30,00;16,00;20,00;13,00;13,00;17,00;7,00;20,00;13,00;7,00;7,00;10,00;20,00;10,00;13,00;3,00;7,00;7,00;20,00;3,00;7,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;46,00;85,87;58,27;61,33;79,73;47,77;74,31;125,62;61,92;49,00;46,00;79,00;43,00;56,00;53,00;44,00;56,00;43,00;30,00;17,00;17,00;13,00;10,00;17,00;0,00;33,00;43,00;13,00;13,00;13,00;7,00;13,00;10,00;7,00;10,00;3,00;3,00;7,00;21,00;7,00;3,00;0,00;0,00;0,00
2019-01-20;49,00;91,47;75,13;71,87;55,53;61,70;78,04;52,63;54,44;45,94;50,02;23,48;42,88;78,00;36,00;46,00;23,00;26,00;36,00;32,00;16,00;3,00;45,00;10,00;6,00;10,00;26,00;6,00;16,00;13,00;13,00;16,00;10,00;6,00;3,00;10,00;6,00;13,00;7,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;61,00;70,63;99,53;77,05;67,42;48,44;118,41;73,56;73,56;80,00;45,00;42,00;42,00;48,00;32,00;46,00;32,00;23,00;26,00;19,00;35,00;16,00;13,00;23,00;3,00;10,00;16,00;10,00;22,00;19,00;26,00;3,00;6,00;13,00;6,00;6,00;13,00;13,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-02-03;49,00;70,44;67,38;55,13;73,50;32,67;59,89;76,22;43,56;23,00;20,00;56,00;33,00;23,00;43,00;11,00;36,00;40,00;26,00;16,00;13,00;16,00;26,00;10,00;0,00;17,00;16,00;13,00;16,00;10,00;13,00;13,00;3,00;0,00;3,00;0,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-02-10;17,00;64,60;51,00;64,60;68,00;34,00;32,11;58,56;41,56;17,00;33,00;33,00;13,00;30,00;23,00;29,00;33,00;30,00;23,00;23,00;17,00;3,00;10,00;20,00;3,00;7,00;10,00;3,00;13,00;7,00;7,00;3,00;3,00;7,00;0,00;3,00;7,00;0,00;4,00;0,00;0,00;0,00;3,00;0,00
2019-02-17;48,00;67,20;89,60;57,60;70,40;27,69;42,46;86,77;48,00;24,00;17,00;27,00;17,00;27,00;14,00;26,00;27,00;10,00;27,00;3,00;20,00;17,00;17,00;20,00;7,00;38,00;27,00;3,00;20,00;10,00;7,00;3,00;0,00;0,00;3,00;3,00;7,00;17,00;0,00;3,00;0,00;0,00;0,00;3,00
2019-02-24;66,00;106,86;116,29;72,29;47,14;69,67;108,17;73,33;69,67;40,00;36,00;36,00;33,00;30,00;40,00;25,00;20,00;27,00;40,00;26,00;23,00;26,00;17,00;23,00;0,00;37,00;30,00;20,00;26,00;17,00;20,00;13,00;7,00;23,00;13,00;7,00;3,00;13,00;7,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;81,00;121,50;183,81;81,00;49,85;57,60;66,60;70,20;57,60;37,00;13,00;30,00;13,00;44,00;24,00;26,00;44,00;27,00;34,00;24,00;13,00;13,00;27,00;10,00;7,00;27,00;17,00;17,00;20,00;10,00;7,00;20,00;13,00;7,00;10,00;13,00;7,00;3,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;27,00;54,00;182,25;60,75;64,13;50,40;59,40;68,40;48,60;13,00;23,00;27,00;20,00;56,00;3,00;18,00;20,00;23,00;17,00;13,00;23,00;7,00;20,00;3,00;0,00;7,00;30,00;20,00;27,00;10,00;3,00;13,00;13,00;0,00;7,00;3,00;7,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00
