Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;36,00;414,00;324,00;198,00;162,00;118,96;76,70;86,09;108,00;61,20;81,60;54,00;55,20;77,14;66,86;36,00;23,14;40,00;40,00;21,00;37,00;21,00;28,00;27,00;16,00;17,00;24,00;15,00;9,00;8,00;8,00;4,00;4,00;4,00;3,00;2,00
2019-01-13;34,00;374,00;306,00;204,00;187,00;132,76;85,81;74,48;124,67;63,14;63,14;55,86;59,50;73,23;68,00;31,38;23,54;39,00;67,00;26,00;31,00;25,00;18,00;19,00;24,00;29,00;12,00;14,00;11,00;12,00;4,00;9,00;8,00;0,00;4,00;2,00
2019-01-20;30,00;285,00;240,00;195,00;120,00;124,74;77,37;102,63;120,00;81,60;55,20;58,80;60,00;72,50;67,50;25,00;20,00;40,00;53,00;23,00;25,00;24,00;30,00;23,00;27,00;18,00;21,00;15,00;12,00;9,00;7,00;6,00;5,00;4,00;3,00;2,00
2019-01-27;22,00;231,00;220,00;121,00;110,00;108,43;70,71;89,57;116,29;86,78;62,33;52,56;72,11;73,33;56,22;36,67;26,89;30,00;49,00;25,00;24,00;33,00;23,00;16,00;23,00;15,00;20,00;6,00;9,00;9,00;12,00;5,00;5,00;5,00;0,00;1,00
2019-02-03;18,00;414,00;324,00;234,00;144,00;87,00;60,00;90,00;112,50;67,20;73,20;51,60;76,80;77,14;69,43;20,57;20,57;33,00;63,00;28,00;21,00;30,00;23,00;27,00;24,00;14,00;19,00;4,00;15,00;10,00;14,00;5,00;4,00;5,00;2,00;2,00
2019-02-10;28,00;322,00;266,00;182,00;126,00;121,33;62,22;90,22;101,11;80,35;59,65;47,48;73,04;73,82;68,73;28,00;33,09;37,00;52,00;21,00;27,00;30,00;14,00;19,00;15,00;16,00;16,00;4,00;12,00;13,00;17,00;11,00;10,00;11,00;1,00;3,00
2019-02-17;25,00;262,50;237,50;150,00;112,50;93,75;50,00;96,88;120,31;73,81;52,38;55,95;73,81;60,00;77,50;30,00;22,50;41,00;56,00;36,00;31,00;33,00;23,00;16,00;22,00;26,00;16,00;4,00;8,00;13,00;8,00;7,00;8,00;6,00;2,00;5,00
2019-02-24;29,00;333,50;275,50;174,00;116,00;120,83;67,67;106,33;112,78;76,13;80,96;51,96;76,13;65,91;65,91;18,45;23,73;37,00;44,00;28,00;37,00;30,00;14,00;15,00;15,00;18,00;14,00;2,00;9,00;13,00;11,00;7,00;8,00;7,00;4,00;5,00
2019-03-03;30,00;390,00;270,00;210,00;135,00;129,47;77,37;105,79;105,79;68,40;68,40;51,60;84,00;55,00;65,00;32,50;27,50;31,00;50,00;30,00;31,00;24,00;19,00;26,00;22,00;26,00;18,00;4,00;10,00;11,00;14,00;6,00;9,00;3,00;2,00;4,00
2019-03-10;24,00;288,00;216,00;144,00;108,00;113,60;62,40;96,00;118,40;69,60;57,60;61,20;94,80;48,00;64,00;24,00;29,33;32,00;54,00;24,00;28,00;29,00;27,00;23,00;23,00;17,00;22,00;3,00;7,00;11,00;11,00;9,00;10,00;4,00;2,00;4,00
2019-03-17;26,00;338,00;234,00;182,00;104,00;113,18;55,06;87,18;102,47;49,64;65,00;63,82;75,64;52,00;62,40;26,00;20,80;35,00;49,00;20,00;26,00;24,00;26,00;18,00;17,00;19,00;21,00;6,00;8,00;5,00;17,00;4,00;2,00;4,00;2,00;2,00
2019-03-24;35,00;420,00;332,50;210,00;157,50;114,55;70,00;90,68;119,32;63,97;68,79;51,90;74,83;67,50;70,00;32,50;27,50;31,00;48,00;30,00;39,00;37,00;23,00;17,00;21,00;21,00;13,00;6,00;7,00;13,00;11,00;6,00;16,00;6,00;4,00;4,00
2019-03-31;37,00;308,33;209,67;160,33;148,00;135,67;77,08;94,04;138,75;87,13;74,00;71,61;93,10;74,00;76,47;27,13;19,73;41,00;44,00;23,00;31,00;40,00;23,00;11,00;23,00;24,00;18,00;15,00;17,00;19,00;17,00;11,00;14,00;7,00;9,00;5,00
2019-04-07;46,00;429,33;322,00;230,00;184,00;158,62;104,69;109,45;120,55;83,53;79,89;72,63;65,37;84,33;79,22;30,67;25,56;55,00;54,00;28,00;37,00;33,00;25,00;24,00;20,00;27,00;10,00;14,00;12,00;9,00;13,00;2,00;13,00;9,00;4,00;0,00
2019-04-14;36,00;1800,00;324,00;306,00;198,00;109,57;98,61;90,78;133,04;66,00;69,60;60,00;62,40;74,57;48,86;28,29;43,71;37,00;52,00;26,00;29,00;35,00;12,00;15,00;18,00;33,00;14,00;19,00;12,00;12,00;16,00;10,00;9,00;6,00;7,00;1,00
2019-04-21;41,00;341,67;205,00;150,33;123,00;86,73;72,54;86,73;88,31;66,32;53,06;41,00;73,56;46,13;43,56;33,31;30,75;42,00;50,00;33,00;19,00;41,00;17,00;11,00;25,00;28,00;12,00;9,00;11,00;11,00;12,00;10,00;10,00;2,00;2,00;3,00
