Semaine;Martinique (LC);Guadeloupe (GP);Saint Martin (ile d Amérique du nord) (MF);Republique Dominicaine (DO);Sainte Lucie (LC);Barbade (BB)
2019-01-06;34,00;77,15;6,54;40,54;3,92;8,00
2019-01-13;28,00;68,00;9,33;49,33;1,33;10,00
2019-01-20;22,00;46,59;2,59;45,29;5,18;17,00
2019-01-27;16,00;41,33;8,00;26,67;2,67;10,00
2019-02-03;18,00;54,00;9,69;31,85;6,92;12,00
2019-02-10;25,00;52,63;2,63;23,68;1,32;2,00
2019-02-17;32,00;32,00;10,67;45,33;5,33;10,00
2019-02-24;23,00;33,82;6,76;32,47;4,06;10,00
2019-03-03;32,00;34,67;5,33;28,00;4,00;10,00
2019-03-10;28,00;44,00;2,67;17,33;4,00;3,00
2019-03-17;19,00;48,86;6,79;16,29;4,07;17,00
2019-03-24;17,00;49,69;5,23;19,62;6,54;11,00
2019-03-31;20,00;41,33;5,33;25,33;5,33;0,00
2019-04-07;14,00;31,82;5,09;28,00;0,00;9,00
2019-04-14;23,00;39,61;5,11;23,00;0,00;7,00
2019-04-21;10,00;31,25;1,25;25,00;0,00;2,00
2019-04-28;26,00;26,00;5,47;26,00;1,37;5,00
2019-05-05;21,00;23,80;2,80;25,20;5,60;5,00
2019-05-12;10,00;37,14;1,43;18,57;0,00;5,00
2019-05-19;11,00;24,75;2,75;27,50;5,50;7,00
2019-05-26;13,00;28,60;2,60;24,70;0,00;17,00
2019-06-02;15,00;27,50;0,00;31,25;2,50;6,00
2019-06-09;9,00;33,43;2,57;36,00;1,29;13,00
2019-06-16;23,00;27,06;2,71;39,24;0,00;17,00
2019-06-23;12,00;30,67;1,33;33,33;0,00;5,00
2019-06-30;14,00;24,18;1,27;28,00;3,82;2,00
2019-07-07;10,00;36,25;3,75;20,00;3,75;5,00
2019-07-14;32,00;56,00;0,00;45,33;1,33;6,00
2019-07-21;34,00;56,23;3,92;44,46;1,31;6,00
2019-07-28;25,00;43,42;6,58;32,89;1,32;11,00
2019-08-04;31,00;29,65;9,43;43,13;1,35;7,00
2019-08-11;17,00;48,38;1,31;27,46;3,92;11,00
2019-08-18;21,00;35,44;3,94;18,38;3,94;5,00
2019-08-25;30,00;45,65;7,83;32,61;3,91;7,00
