Semaine;Réunion (RE);Mayotte (YT);Maurice (MU);Seychelles (SC);Zanzibar (TZ);Madagascar (MG)
2019-01-06;79,00;3,20;106,76;59,78;19,22;23,00
2019-01-13;67,00;9,57;69,13;19,14;26,59;29,00
2019-01-20;60,00;3,21;72,86;34,29;34,29;9,00
2019-01-27;52,00;5,31;70,04;42,45;5,31;15,00
2019-02-03;46,00;3,21;70,60;48,14;4,28;10,00
2019-02-10;45,00;5,36;69,64;35,36;4,29;15,00
2019-02-17;48,00;4,27;65,07;49,07;4,27;8,00
2019-02-24;43,00;5,38;58,05;29,03;0,00;11,00
2019-03-03;55,00;4,31;84,12;31,27;5,39;12,00
2019-03-10;56,00;9,69;79,69;45,23;4,31;10,00
2019-03-17;48,00;5,33;53,33;57,60;7,47;18,00
2019-03-24;75,00;7,50;53,57;25,71;4,29;10,00
2019-03-31;62,00;11,76;57,72;37,41;21,38;15,00
2019-04-07;45,00;4,19;46,05;39,77;28,26;10,00
2019-04-14;53,00;12,72;45,58;31,80;16,96;8,00
2019-04-21;57,00;6,45;69,91;34,42;13,98;16,00
2019-04-28;40,00;21,62;47,57;45,41;5,41;15,00
2019-05-05;38,00;0,00;59,71;30,40;9,77;15,00
2019-05-12;44,00;12,57;56,57;41,90;14,67;10,00
2019-05-19;75,00;10,71;84,64;41,79;19,29;17,00
2019-05-26;40,00;7,57;87,57;20,54;12,97;17,00
2019-06-02;40,00;5,41;63,78;27,03;7,57;16,00
2019-06-09;44,00;3,22;62,24;33,27;16,10;20,00
2019-06-16;59,00;3,22;54,71;56,85;20,38;19,00
2019-06-23;58,00;18,98;59,05;25,31;17,93;20,00
2019-06-30;63,00;7,35;63,00;24,15;26,25;8,00
2019-07-07;44,00;5,37;71,90;39,71;27,90;18,00
2019-07-14;65,00;4,26;77,79;54,34;19,18;13,00
2019-07-21;64,00;6,40;72,53;43,73;20,27;22,00
2019-07-28;43,00;4,30;67,73;43,00;30,10;30,00
2019-08-04;47,00;6,41;52,34;43,80;30,98;15,00
2019-08-11;68,00;7,56;62,60;71,24;39,94;30,00
2019-08-18;45,00;7,50;72,86;36,43;30,00;10,00
2019-08-25;49,00;5,33;54,33;37,28;28,76;8,00
2019-09-01;48,00;2,13;87,47;36,27;28,80;17,00
2019-09-08;68,00;5,40;107,94;37,78;21,59;16,00
2019-09-15;77,00;2,14;63,10;29,94;28,88;17,00
2019-09-22;50,00;7,45;71,28;45,74;14,89;13,00
2019-09-29;53,00;7,42;77,38;43,46;14,84;15,00
2019-10-06;64,00;11,73;71,47;37,33;28,80;7,00
2019-10-13;55,00;3,24;55,00;33,43;25,88;15,00
2019-10-20;69,00;31,85;59,45;32,91;25,48;13,00
2019-10-27;53,00;9,73;72,47;62,73;37,86;15,00
2019-11-03;63,00;10,68;70,47;60,86;23,49;9,00
2019-11-10;56,00;12,68;59,17;20,08;28,53;9,00
2019-11-17;48,00;21,33;61,87;35,20;20,27;13,00
2019-11-24;57,00;3,23;64,53;24,74;19,36;14,00
2019-12-01;54,00;7,41;67,76;9,53;21,18;15,00
2019-12-08;53,00;14,06;62,73;35,69;21,63;16,00
2019-12-15;54,00;6,35;70,94;40,24;29,65;12,00
2019-12-22;54,00;2,12;83,65;55,06;26,47;23,00
2019-12-29;55,00;7,40;81,44;55,00;29,62;23,00
2020-01-05;55,00;6,35;75,10;42,31;31,73;19,00
2020-01-12;51,00;8,50;62,69;44,63;21,25;20,00
2020-01-19;61,00;6,42;73,84;28,89;28,89;26,00
2020-01-26;48,00;11,73;104,53;59,73;32,00;26,00
2020-02-02;43,00;5,38;89,23;32,25;25,80;17,00
2020-02-09;62,00;6,41;55,59;29,93;20,31;18,00
2020-02-16;75,00;5,28;77,11;51,76;23,24;15,00
2020-02-23;62,00;3,21;71,62;45,97;25,66;15,00
2020-03-01;46,00;6,42;44,93;31,02;6,42;17,00
2020-03-08;79,00;4,27;70,46;29,89;18,15;8,00
2020-03-15;76,00;6,42;55,66;19,27;8,56;11,00
2020-03-22;47,00;9,61;39,52;28,84;7,48;5,00
2020-03-29;47,00;13,89;33,11;26,70;7,48;5,00
2020-04-05;46,00;12,84;24,60;33,16;5,35;13,00
2020-04-12;73,00;6,35;42,32;15,87;9,52;6,00
2020-04-19;58,00;16,11;23,63;13,96;9,67;6,00
2020-04-26;38,00;10,56;31,67;35,89;7,39;6,00
2020-05-03;47,00;23,50;24,57;20,30;6,41;8,00
2020-05-10;51,00;5,31;25,50;11,69;4,25;6,00
2020-05-17;38,00;7,39;30,61;26,39;9,50;0,00
2020-05-24;36,00;13,76;27,53;23,29;1,06;9,00
