Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;16,00;92,44;7,11;0,00;7,11;30,00;8,00;8,00;21,00;39,00;5,00;5,00;7,00;6,40;30,40;8,00;1,60;1,00;3,00;1,00;3,00;5,00;4,00;7,00;6,00;0,00;1,00;1,00;0,00;3,00;3,00;1,00;1,00;1,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;25,00;92,86;3,57;0,00;10,71;33,00;13,00;5,00;15,00;37,00;7,00;13,00;7,00;5,00;23,33;8,33;5,00;1,00;6,00;4,00;2,00;6,00;4,00;4,00;4,00;0,00;0,00;1,00;1,00;2,00;3,00;0,00;0,00;0,00;2,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;28,00;87,73;11,20;0,00;5,60;26,00;13,00;7,00;25,00;34,00;11,00;16,00;4,00;4,94;21,41;3,29;0,82;1,00;4,00;1,00;1,00;10,00;4,00;8,00;4,00;1,00;0,00;1,00;1,00;1,00;3,00;1,00;1,00;1,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;16,00;94,22;5,33;0,00;3,56;23,00;16,00;6,00;21,00;35,00;6,00;10,00;8,00;3,20;17,60;6,40;4,80;2,00;3,00;5,00;0,00;7,00;2,00;7,00;5,00;0,00;0,00;1,00;0,00;1,00;1,00;1,00;1,00;0,00;0,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;15,00;90,00;7,50;0,00;9,38;26,00;8,00;9,00;27,00;36,00;8,00;21,00;7,00;8,33;25,00;8,33;1,67;2,00;4,00;5,00;2,00;3,00;5,00;2,00;4,00;0,00;1,00;2,00;0,00;2,00;6,00;2,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00
2019-02-10;19,00;96,90;9,50;0,00;11,40;23,00;14,00;11,00;21,00;34,00;9,00;10,00;3,00;5,18;24,18;10,36;3,45;2,00;4,00;3,00;2,00;9,00;5,00;9,00;3,00;0,00;2,00;2,00;2,00;3,00;2,00;1,00;0,00;0,00;0,00;2,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00
2019-02-17;25,00;92,31;9,62;0,00;9,62;20,00;16,00;10,00;19,00;28,00;9,00;12,00;5,00;3,33;25,00;11,67;3,33;5,00;5,00;0,00;1,00;7,00;3,00;9,00;8,00;0,00;1,00;0,00;1,00;3,00;2,00;1,00;2,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;21,00;89,73;3,82;0,00;5,73;25,00;15,00;7,00;22,00;34,00;6,00;6,00;8,00;5,25;31,50;10,50;3,50;4,00;3,00;3,00;3,00;5,00;3,00;8,00;3,00;0,00;0,00;1,00;1,00;2,00;4,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00;1,00;0,00;1,00;0,00;0,00
2019-03-03;21,00;85,91;7,64;0,00;5,73;26,00;14,00;9,00;26,00;26,00;9,00;12,00;7,00;8,08;25,85;11,31;3,23;3,00;3,00;7,00;2,00;4,00;4,00;5,00;6,00;0,00;0,00;1,00;0,00;4,00;1,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;0,00
2019-03-10;25,00;98,08;7,69;0,00;13,46;14,00;13,00;8,00;19,00;35,00;10,00;4,00;12,00;6,67;35,00;5,00;1,67;5,00;4,00;4,00;4,00;7,00;4,00;4,00;7,00;0,00;1,00;3,00;0,00;5,00;3,00;1,00;1,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;25,00;91,07;3,57;0,00;8,93;25,00;9,00;6,00;15,00;39,00;11,00;6,00;8,00;10,00;46,67;3,33;1,67;2,00;2,00;6,00;2,00;8,00;7,00;7,00;6,00;0,00;0,00;1,00;1,00;2,00;3,00;0,00;1,00;2,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
