Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Flachau (AT);La Clusaz (FR);Zillertal (AT);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;70,00;5,71;7,14;2,86;61,43;8,62;7,54;12,92;1,08;15,00;5,00;76,00;53,00;15,00;6,00;13,00;7,00;19,00;0,00;9,00;7,00;2,00;4,00;9,00;0,00;4,00;7,00;12,00;8,00;1,00;2,00;0,00;1,00;2,00;4,00;1,00;0,00;0,00;0,00;0,00
2019-01-13;78,00;5,67;4,25;4,25;65,24;9,75;3,25;8,67;4,33;25,00;0,00;45,00;2,00;13,00;9,00;8,00;14,00;27,00;0,00;11,00;2,00;0,00;1,00;12,00;0,00;4,00;0,00;20,00;7,00;0,00;5,00;6,00;6,00;1,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;64,00;2,84;9,96;4,27;32,71;3,20;4,27;6,40;0,00;18,00;2,00;26,00;0,00;15,00;7,00;17,00;7,00;20,00;0,00;14,00;1,00;1,00;0,00;13,00;0,00;2,00;4,00;10,00;22,00;0,00;4,00;0,00;6,00;1,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;67,00;5,70;2,85;4,28;45,62;7,56;7,56;3,24;4,32;21,00;5,00;34,00;0,00;22,00;8,00;13,00;6,00;16,00;1,00;5,00;1,00;1,00;1,00;13,00;0,00;5,00;5,00;12,00;9,00;0,00;8,00;10,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;74,00;4,27;2,85;1,42;32,73;2,14;3,22;7,51;2,14;17,00;1,00;26,00;2,00;10,00;9,00;22,00;11,00;17,00;0,00;6,00;7,00;4,00;5,00;9,00;0,00;6,00;2,00;15,00;6,00;0,00;2,00;1,00;4,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;79,00;4,23;8,46;1,41;52,20;5,34;2,14;9,61;2,14;6,00;4,00;20,00;4,00;10,00;6,00;11,00;11,00;20,00;1,00;9,00;0,00;1,00;5,00;5,00;0,00;2,00;1,00;18,00;7,00;0,00;0,00;1,00;1,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;66,00;8,61;2,87;0,00;25,83;2,13;9,58;1,06;3,19;14,00;1,00;19,00;2,00;12,00;7,00;7,00;16,00;11,00;1,00;6,00;2,00;4,00;2,00;9,00;0,00;4,00;4,00;12,00;4,00;0,00;2,00;1,00;2,00;2,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;63,00;4,30;4,30;2,86;28,64;9,61;0,00;9,61;5,34;17,00;0,00;22,00;1,00;8,00;7,00;5,00;8,00;10,00;0,00;4,00;0,00;1,00;4,00;7,00;0,00;5,00;0,00;8,00;6,00;0,00;4,00;0,00;4,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;53,00;2,79;6,97;2,79;44,63;8,48;3,18;6,36;2,12;17,00;3,00;19,00;5,00;7,00;12,00;9,00;2,00;5,00;0,00;3,00;6,00;2,00;2,00;6,00;1,00;0,00;3,00;10,00;5,00;0,00;6,00;0,00;3,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;77,00;4,28;11,41;1,43;24,24;7,49;2,14;7,49;0,00;9,00;1,00;33,00;0,00;6,00;5,00;9,00;7,00;6,00;0,00;9,00;2,00;1,00;1,00;5,00;0,00;2,00;2,00;5,00;2,00;0,00;1,00;2,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
