Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;16,00;133,33;125,33;58,67;77,33;72,00;2,67;57,33;81,33;41,14;96,00;121,14;52,57;45,71;54,86;54,86;13,71;33,00;45,00;28,00;56,00;8,00;50,00;18,00;14,00;11,00;5,00;56,00;4,00;6,00;9,00;1,00;5,00;1,00;0,00
2019-01-13;25,00;125,00;130,56;58,33;94,44;60,53;2,63;63,16;68,42;47,50;90,00;155,00;60,00;45,45;61,36;59,09;22,73;31,00;36,00;22,00;40,00;8,00;38,00;25,00;19,00;8,00;7,00;63,00;7,00;4,00;4,00;2,00;9,00;3,00;1,00
2019-01-20;28,00;142,80;134,40;70,00;109,20;82,67;1,33;68,00;72,00;44,33;70,00;149,33;49,00;51,33;44,33;42,00;21,00;27,00;39,00;27,00;45,00;9,00;56,00;28,00;16,00;12,00;10,00;56,00;3,00;7,00;6,00;1,00;7,00;3,00;1,00
2019-01-27;16,00;136,00;144,00;82,67;72,00;53,33;1,33;72,00;72,00;38,86;89,14;134,86;61,71;36,57;50,29;48,00;20,57;37,00;32,00;18,00;43,00;10,00;47,00;23,00;12,00;9,00;2,00;67,00;4,00;4,00;4,00;1,00;10,00;1,00;0,00
2019-02-03;15,00;156,00;120,00;63,00;90,00;53,18;1,36;72,27;66,82;47,50;97,50;152,50;67,50;57,50;72,50;65,00;25,00;38,00;52,00;20,00;50,00;9,00;69,00;21,00;19,00;13,00;1,00;60,00;2,00;5,00;2,00;6,00;5,00;2,00;2,00
2019-02-10;19,00;155,17;145,67;63,33;76,00;65,14;4,07;73,29;77,36;40,38;83,13;142,50;61,75;57,00;64,13;54,63;30,88;50,00;43,00;21,00;36,00;16,00;49,00;22,00;16,00;13,00;3,00;54,00;4,00;2,00;3,00;5,00;9,00;0,00;3,00
2019-02-17;25,00;150,00;138,89;61,11;91,67;51,39;0,00;66,67;69,44;45,00;112,50;135,00;70,00;47,50;65,00;55,00;20,00;41,00;38,00;25,00;42,00;12,00;51,00;22,00;15,00;9,00;4,00;36,00;5,00;5,00;2,00;2,00;5,00;3,00;1,00
2019-02-24;21,00;171,00;156,00;75,00;96,00;51,80;2,80;81,20;89,60;49,88;120,75;149,63;73,50;49,00;63,00;49,00;32,67;32,00;32,00;30,00;40,00;12,00;50,00;21,00;21,00;9,00;7,00;48,00;4,00;7,00;9,00;5,00;6,00;4,00;2,00
2019-03-03;21,00;159,00;156,00;72,00;75,00;56,00;1,40;77,00;85,40;39,67;98,00;135,33;60,67;53,67;60,67;58,33;25,67;20,00;41,00;23,00;54,00;9,00;44,00;24,00;7,00;18,00;0,00;75,00;2,00;8,00;7,00;4,00;8,00;5,00;2,00
2019-03-10;25,00;150,00;136,11;75,00;100,00;54,17;1,39;80,56;63,89;45,00;95,00;145,00;72,50;60,00;70,00;47,50;27,50;35,00;43,00;33,00;53,00;15,00;56,00;16,00;27,00;12,00;3,00;62,00;5,00;4,00;5,00;3,00;6,00;3,00;3,00
2019-03-17;25,00;138,89;105,56;77,78;88,89;59,21;3,95;59,21;78,95;55,00;105,00;157,50;87,50;52,27;65,91;47,73;20,45;36,00;34,00;23,00;47,00;12,00;49,00;17,00;21,00;8,00;1,00;70,00;3,00;7,00;8,00;5,00;8,00;4,00;1,00
2019-03-24;28,00;186,67;143,11;80,89;118,22;53,20;2,80;72,80;75,60;40,73;94,18;145,09;68,73;53,45;81,45;53,45;28,00;36,00;43,00;24,00;47,00;16,00;51,00;21,00;20,00;8,00;1,00;68,00;2,00;6,00;2,00;4,00;7,00;2,00;1,00
2019-03-31;36,00;171,00;132,00;69,00;138,00;80,31;2,77;77,54;103,85;55,20;100,80;192,00;81,60;60,00;76,80;55,20;31,20;44,00;42,00;36,00;42,00;21,00;49,00;26,00;16,00;15,00;4,00;62,00;4,00;8,00;3,00;6,00;9,00;6,00;4,00
2019-04-07;47,00;193,88;138,06;96,94;146,88;87,09;4,15;60,82;102,29;79,16;133,58;202,84;61,84;51,95;98,95;76,68;42,05;47,00;38,00;53,00;53,00;16,00;63,00;28,00;17,00;18,00;8,00;66,00;6,00;10,00;4,00;6,00;11,00;4,00;3,00
2019-04-14;50,00;294,12;176,47;88,24;150,00;116,67;5,56;77,78;73,61;92,50;122,50;250,00;87,50;59,52;121,43;80,95;66,67;44,00;54,00;58,00;41,00;20,00;73,00;20,00;15,00;9,00;4,00;82,00;3,00;10,00;6,00;8,00;14,00;14,00;3,00
2019-04-21;39,00;164,36;139,29;72,43;142,07;90,10;2,69;83,38;84,72;78,00;119,44;207,19;75,56;65,81;99,94;63,38;56,06;43,00;40,00;44,00;44,00;13,00;69,00;28,00;13,00;17,00;7,00;80,00;3,00;7,00;3,00;5,00;8,00;5,00;3,00
2019-04-28;40,00;148,57;134,29;74,29;142,86;85,52;2,76;85,52;82,76;82,50;100,00;170,00;67,50;65,88;91,76;72,94;51,76;42,00;41,00;23,00;35,00;13,00;58,00;26,00;21,00;14,00;5,00;64,00;4,00;7,00;4,00;2,00;8,00;4,00;1,00
2019-05-05;32,00;130,91;142,55;72,73;122,18;80,70;2,78;137,74;86,26;54,15;96,00;167,38;56,62;46,77;86,15;61,54;32,00;41,00;30,00;19,00;56,00;12,00;45,00;21,00;21,00;13,00;3,00;72,00;6,00;5,00;7,00;5,00;12,00;4,00;1,00
2019-05-12;35,00;148,75;116,67;52,50;125,42;140,00;2,80;100,80;99,40;55,00;110,00;177,50;57,50;57,50;90,00;67,50;35,00;50,00;29,00;23,00;46,00;17,00;51,00;29,00;17,00;10,00;7,00;69,00;8,00;6,00;7,00;5,00;5,00;1,00;1,00
2019-05-19;37,00;159,38;111,00;59,77;102,46;79,48;2,74;84,96;76,74;59,20;96,20;172,67;59,20;59,20;83,87;66,60;34,53;47,00;44,00;40,00;45,00;14,00;67,00;19,00;13,00;19,00;9,00;65,00;4,00;4,00;6,00;9,00;10,00;3,00;4,00
2019-05-26;59,00;162,25;144,55;61,95;123,90;79,58;1,37;89,19;78,21;66,38;88,50;186,83;63,92;115,54;81,13;68,83;54,08;40,00;36,00;43,00;35,00;12,00;64,00;17,00;21,00;16,00;7,00;59,00;6,00;4,00;5,00;3,00;22,00;9,00;2,00
2019-06-02;35,00;172,08;134,17;61,25;116,67;71,40;0,00;82,60;81,20;55,00;90,00;195,00;70,00;72,50;137,50;67,50;25,00;41,00;34,00;33,00;43,00;17,00;54,00;30,00;23,00;20,00;4,00;68,00;6,00;5,00;8,00;4,00;9,00;6,00;0,00
2019-06-09;48,00;147,00;120,00;66,00;123,00;64,46;2,74;57,60;76,80;55,58;103,58;171,79;50,53;48,00;76,80;62,40;28,80;49,00;43,00;32,00;45,00;12,00;55,00;24,00;20,00;12,00;11,00;74,00;6,00;8,00;5,00;5,00;7,00;7,00;1,00
2019-06-16;48,00;141,18;115,76;45,18;112,94;54,86;5,49;57,60;80,91;64,80;81,60;177,60;55,20;64,80;81,60;50,40;28,80;47,00;36,00;33,00;43,00;22,00;53,00;30,00;19,00;9,00;9,00;72,00;4,00;9,00;9,00;6,00;11,00;5,00;2,00
