Semaine;Martinique (LC);Guadeloupe (GP);Saint Martin (ile d Amérique du nord) (MF);Republique Dominicaine (DO);Sainte Lucie (LC);Barbade (BB)
2019-01-06;34,00;57,00;9,00;51,00;5,00;23,07
2019-01-13;23,00;39,00;9,00;47,00;5,00;27,84
2019-01-20;21,00;41,00;2,00;56,00;9,00;21,00
2019-01-27;23,00;43,00;16,00;37,00;7,00;13,32
2019-02-03;26,00;40,00;12,00;31,00;12,00;21,27
2019-02-10;12,00;33,00;14,00;29,00;15,00;28,80
2019-02-17;34,00;34,00;10,00;29,00;12,00;31,57
2019-02-24;37,00;54,00;7,00;36,00;7,00;31,03
2019-03-03;13,00;29,00;2,00;23,00;9,00;20,09
2019-03-10;37,00;16,00;21,00;37,00;12,00;20,97
2019-03-17;12,00;28,00;5,00;24,00;2,00;14,40
2019-03-24;7,00;28,00;14,00;36,00;5,00;11,67
2019-03-31;7,00;26,00;2,00;21,00;7,00;16,33
2019-04-07;13,00;47,00;4,00;36,00;11,00;15,36
2019-04-14;5,00;47,00;5,00;29,00;11,00;22,50
2019-04-21;21,00;39,00;3,00;18,00;8,00;21,00
2019-04-28;5,00;20,00;5,00;18,00;5,00;16,25
2019-05-05;14,00;16,00;0,00;34,00;5,00;16,55
2019-05-12;12,00;28,00;0,00;26,00;9,00;12,00
2019-05-19;12,00;21,00;7,00;23,00;2,00;12,00
2019-05-26;13,00;28,00;10,00;15,00;5,00;19,50
2019-06-02;16,00;28,00;2,00;19,00;0,00;12,31
2019-06-09;14,00;30,00;2,00;42,00;7,00;9,33
2019-06-16;24,00;22,00;5,00;24,00;5,00;24,00
2019-06-23;15,00;8,00;8,00;26,00;0,00;19,62
2019-06-30;12,00;29,00;2,00;27,00;5,00;16,80
2019-07-07;13,00;30,00;10,00;25,00;0,00;19,50
2019-07-14;21,00;30,00;11,00;38,00;3,00;12,83
2019-07-21;11,00;20,00;6,00;34,00;9,00;20,78
2019-07-28;20,00;46,00;9,00;35,00;9,00;25,88
2019-08-04;13,00;27,00;5,00;35,00;0,00;18,91
2019-08-11;17,00;22,00;5,00;32,00;0,00;35,21
2019-08-18;14,00;33,00;0,00;14,00;7,00;23,33
2019-08-25;17,00;50,00;2,00;36,00;7,00;21,86
2019-09-01;27,00;38,00;7,00;41,00;5,00;49,09
2019-09-08;16,00;16,00;2,00;14,00;5,00;19,69
2019-09-15;5,00;44,00;5,00;33,00;10,00;12,50
2019-09-22;23,00;44,00;7,00;37,00;2,00;24,21
2019-09-29;23,00;35,00;2,00;19,00;0,00;21,79
2019-10-06;16,00;21,00;2,00;52,00;5,00;11,43
2019-10-13;16,00;46,00;2,00;28,00;9,00;25,85
2019-10-20;11,00;38,00;2,00;52,00;7,00;28,11
2019-10-27;24,00;41,00;9,00;24,00;7,00;18,00
2019-11-03;26,00;24,00;7,00;36,00;9,00;22,45
2019-11-10;13,00;42,00;4,00;31,00;14,00;20,09
2019-11-17;18,00;20,00;4,00;38,00;7,00;20,40
2019-11-24;4,00;35,00;4,00;44,00;0,00;22,00
2019-12-01;11,00;36,00;7,00;39,00;7,00;30,56
2019-12-08;40,00;33,00;13,00;33,00;13,00;36,36
2019-12-15;16,00;56,00;7,00;18,00;2,00;18,46
2019-12-22;48,00;61,00;11,00;38,00;5,00;43,20
2019-12-29;23,00;47,00;13,00;45,00;19,00;39,95
2020-01-05;30,00;45,00;13,00;37,00;9,00;30,00
2020-01-12;23,00;34,00;15,00;51,00;9,00;33,89
2020-01-19;36,00;40,00;8,00;43,00;9,00;40,80
2020-01-26;25,00;38,00;4,00;24,00;2,00;23,81
2020-02-02;40,00;34,00;8,00;34,00;2,00;27,88
2020-02-09;36,00;47,00;8,00;47,00;7,00;24,00
2020-02-16;17,00;43,00;6,00;43,00;7,00;24,29
2020-02-23;12,00;35,00;4,00;25,00;2,00;22,80
2020-03-01;12,00;27,00;10,00;29,00;6,00;16,80
2020-03-08;14,00;43,00;4,00;28,00;6,00;19,09
2020-03-15;10,00;18,00;4,00;32,00;6,00;16,25
2020-03-22;17,00;23,00;2,00;11,00;4,00;9,71
2020-03-29;14,00;19,00;6,00;20,00;8,00;3,82
2020-04-05;4,00;10,00;4,00;13,00;4,00;9,33
2020-04-12;6,00;27,00;2,00;15,00;9,00;13,20
2020-04-19;4,00;20,00;4,00;12,00;0,00;10,67
2020-04-26;6,00;17,00;0,00;11,00;8,00;7,20
2020-05-03;14,00;10,00;0,00;10,00;0,00;10,18
2020-05-10;14,00;12,00;4,00;14,00;2,00;12,73
2020-05-17;6,00;25,00;4,00;15,00;2,00;14,40
2020-05-24;22,00;14,00;2,00;29,00;2,00;11,00
2020-05-31;10,00;8,00;0,00;16,00;6,00;2,50
2020-06-07;4,00;18,00;4,00;20,00;2,00;10,67
2020-06-14;20,00;20,00;4,00;24,00;0,00;8,24
2020-06-21;17,00;15,00;4,00;19,00;0,00;13,36
2020-06-28;12,00;17,00;0,00;25,00;0,00;14,40
2020-07-05;17,00;11,00;2,00;15,00;2,00;34,00
2020-07-12;9,00;22,00;0,00;5,00;2,00;29,57
2020-07-19;7,00;21,00;5,00;12,00;2,00;4,67
2020-07-26;9,00;7,00;2,00;16,00;0,00;29,25
2020-08-02;16,00;20,00;9,00;16,00;0,00;13,54
2020-08-09;11,00;19,00;4,00;11,00;0,00;7,33
2020-08-16;8,00;25,00;4,00;19,00;8,00;4,57
2020-08-23;14,00;14,00;0,00;11,00;2,00;8,17
2020-08-30;13,00;25,00;2,00;19,00;4,00;18,20
2020-09-06;8,00;27,00;2,00;30,00;6,00;13,71
2020-09-13;15,00;13,00;0,00;11,00;8,00;25,00
2020-09-20;8,00;24,00;0,00;15,00;4,00;5,71
2020-09-27;4,00;21,00;6,00;11,00;6,00;14,00
2020-10-04;4,00;15,00;2,00;20,00;0,00;18,00
2020-10-11;2,00;13,00;7,00;25,00;2,00;9,00
2020-10-18;13,00;7,00;4,00;18,00;2,00;13,00
2020-10-25;19,00;8,00;2,00;26,00;0,00;4,75
2020-11-01;14,00;10,00;2,00;35,00;6,00;10,50
2020-11-08;9,00;15,00;6,00;20,00;0,00;11,57
2020-11-15;4,00;13,00;6,00;33,00;6,00;15,00
2020-11-22;4,00;23,00;8,00;26,00;2,00;12,00
2020-11-29;15,00;25,00;0,00;58,00;6,00;11,25
2020-12-06;21,00;31,00;6,00;21,00;4,00;11,12
2020-12-13;15,00;21,00;11,00;22,00;4,00;13,75
2020-12-20;17,00;27,00;5,00;28,00;2,00;14,57
2020-12-27;15,00;41,00;7,00;47,00;2,00;23,75
2021-01-03;15,00;27,00;4,00;50,00;0,00;17,50
2021-01-10;15,00;48,00;0,00;37,00;4,00;31,25
2021-01-17;27,00;48,00;12,00;17,00;6,00;8,22
2021-01-24;15,00;46,00;8,00;23,00;2,00;13,75
2021-01-31;8,00;54,00;2,00;46,00;2,00;18,29
2021-02-07;6,00;52,00;8,00;34,00;4,00;14,40
2021-02-14;6,00;32,00;0,00;57,00;7,00;8,40
2021-02-21;17,00;35,00;2,00;38,00;7,00;20,64
2021-02-28;11,00;21,00;0,00;35,00;0,00;11,00
2021-03-07;21,00;25,00;2,00;32,00;2,00;6,18
2021-03-14;12,00;30,00;6,00;41,00;2,00;20,40
