Semaine;Polynesie (PF);Nouvelle Caledonie (NC);Fidji (FJ);Vanuatu (VU);Iles Cook (CK)
2019-01-06;100,00;4,00;54,00;4,00;0,00
2019-01-13;34,00;8,00;42,00;0,00;8,00
2019-01-20;46,00;20,00;55,00;8,00;13,00
2019-01-27;21,00;8,00;45,00;4,00;8,00
2019-02-03;35,00;34,00;52,00;9,00;4,00
2019-02-10;35,00;9,00;39,00;0,00;9,00
2019-02-17;39,00;9,00;40,00;4,00;4,00
2019-02-24;26,00;8,00;39,00;13,00;4,00
2019-03-03;37,00;4,00;53,00;4,00;8,00
2019-03-10;29,00;20,00;33,00;12,00;0,00
2019-03-17;35,00;0,00;65,00;4,00;9,00
2019-03-24;26,00;8,00;43,00;0,00;4,00
2019-03-31;51,00;4,00;30,00;0,00;4,00
2019-04-07;20,00;0,00;28,00;4,00;0,00
2019-04-14;38,00;0,00;19,00;5,00;0,00
2019-04-21;42,00;9,00;57,00;0,00;0,00
2019-04-28;62,00;0,00;54,00;0,00;17,00
2019-05-05;25,00;12,00;33,00;12,00;4,00
2019-05-12;38,00;4,00;51,00;4,00;0,00
2019-05-19;25,00;4,00;51,00;0,00;0,00
2019-05-26;50,00;4,00;55,00;5,00;0,00
2019-06-02;30,00;4,00;55,00;0,00;0,00
2019-06-09;43,00;12,00;30,00;0,00;4,00
2019-06-16;39,00;0,00;39,00;9,00;13,00
2019-06-23;42,00;5,00;32,00;9,00;5,00
2019-06-30;35,00;0,00;40,00;13,00;13,00
2019-07-07;50,00;4,00;55,00;14,00;0,00
2019-07-14;25,00;24,00;44,00;5,00;5,00
2019-07-21;41,00;15,00;31,00;5,00;10,00
2019-07-28;42,00;5,00;32,00;5,00;5,00
2019-08-04;34,00;10,00;49,00;0,00;15,00
2019-08-11;67,00;9,00;36,00;0,00;4,00
2019-08-18;39,00;17,00;34,00;0,00;0,00
2019-08-25;43,00;0,00;73,00;9,00;4,00
2019-09-01;33,00;4,00;29,00;4,00;0,00
2019-09-08;59,00;0,00;60,00;8,00;0,00
2019-09-15;26,00;8,00;43,00;8,00;0,00
2019-09-22;63,00;4,00;55,00;17,00;4,00
2019-09-29;34,00;8,00;38,00;0,00;17,00
2019-10-06;43,00;4,00;60,00;4,00;9,00
2019-10-13;21,00;12,00;34,00;8,00;4,00
2019-10-20;25,00;8,00;45,00;4,00;0,00
2019-10-27;32,00;12,00;28,00;0,00;0,00
2019-11-03;56,00;0,00;32,00;4,00;4,00
2019-11-10;37,00;8,00;61,00;4,00;16,00
2019-11-17;52,00;8,00;60,00;0,00;4,00
2019-11-24;40,00;8,00;40,00;4,00;4,00
2019-12-01;16,00;8,00;37,00;8,00;0,00
2019-12-08;56,00;16,00;48,00;4,00;4,00
2019-12-15;70,00;8,00;33,00;4,00;4,00
2019-12-22;49,00;19,00;29,00;0,00;0,00
2019-12-29;81,00;32,00;72,00;5,00;10,00
2020-01-05;67,00;4,00;51,00;4,00;8,00
2020-01-12;54,00;11,00;42,00;0,00;8,00
2020-01-19;54,00;15,00;46,00;0,00;12,00
2020-01-26;39,00;11,00;58,00;0,00;12,00
2020-02-02;65,00;34,00;50,00;4,00;4,00
2020-02-09;43,00;8,00;35,00;8,00;0,00
2020-02-16;31,00;15,00;43,00;8,00;4,00
2020-02-23;52,00;4,00;41,00;7,00;4,00
2020-03-01;26,00;4,00;19,00;4,00;0,00
2020-03-08;29,00;3,00;29,00;14,00;4,00
2020-03-15;40,00;11,00;36,00;7,00;0,00
2020-03-22;38,00;7,00;24,00;3,00;0,00
2020-03-29;35,00;14,00;32,00;7,00;14,00
2020-04-05;53,00;11,00;50,00;8,00;11,00
2020-04-12;19,00;7,00;23,00;0,00;15,00
2020-04-19;18,00;0,00;25,00;4,00;7,00
2020-04-26;38,00;3,00;38,00;3,00;3,00
2020-05-03;36,00;4,00;7,00;0,00;7,00
2020-05-10;14,00;10,00;36,00;4,00;4,00
2020-05-17;15,00;4,00;35,00;0,00;4,00
2020-05-24;33,00;0,00;26,00;0,00;4,00
2020-05-31;4,00;4,00;29,00;7,00;11,00
2020-06-07;32,00;3,00;25,00;0,00;4,00
2020-06-14;58,00;18,00;29,00;4,00;0,00
2020-06-21;27,00;19,00;19,00;0,00;0,00
2020-06-28;27,00;4,00;31,00;0,00;4,00
2020-07-05;36,00;0,00;16,00;0,00;4,00
2020-07-12;41,00;4,00;25,00;0,00;0,00
2020-07-19;38,00;8,00;21,00;0,00;0,00
2020-07-26;38,00;4,00;17,00;4,00;9,00
2020-08-02;25,00;12,00;21,00;8,00;16,00
2020-08-09;31,00;4,00;24,00;8,00;12,00
2020-08-16;30,00;4,00;27,00;8,00;4,00
2020-08-23;40,00;4,00;41,00;0,00;4,00
2020-08-30;45,00;8,00;19,00;0,00;8,00
2020-09-06;34,00;4,00;27,00;0,00;4,00
2020-09-13;23,00;0,00;0,00;8,00;0,00
2020-09-20;36,00;0,00;18,00;4,00;0,00
2020-09-27;30,00;4,00;31,00;4,00;4,00
2020-10-04;39,00;19,00;44,00;8,00;4,00
2020-10-11;28,00;12,00;8,00;0,00;0,00
2020-10-18;8,00;4,00;39,00;0,00;0,00
2020-10-25;30,00;11,00;8,00;0,00;0,00
2020-11-01;14,00;0,00;15,00;0,00;7,00
2020-11-08;15,00;11,00;35,00;8,00;12,00
2020-11-15;38,00;8,00;27,00;4,00;4,00
2020-11-22;30,00;19,00;11,00;0,00;4,00
2020-11-29;19,00;0,00;19,00;8,00;0,00
2020-12-06;22,00;4,00;30,00;0,00;0,00
2020-12-13;23,00;0,00;23,00;0,00;0,00
2020-12-20;31,00;9,00;22,00;4,00;4,00
2020-12-27;30,00;4,00;18,00;0,00;4,00
2021-01-03;34,00;4,00;15,00;0,00;0,00
2021-01-10;34,00;8,00;8,00;8,00;8,00
2021-01-17;41,00;8,00;23,00;0,00;0,00
2021-01-24;45,00;0,00;27,00;8,00;4,00
2021-01-31;22,00;0,00;23,00;0,00;4,00
2021-02-07;22,00;15,00;27,00;4,00;0,00
2021-02-14;19,00;12,00;24,00;0,00;0,00
2021-02-21;23,00;12,00;36,00;8,00;0,00
2021-02-28;38,00;4,00;12,00;8,00;4,00
2021-03-07;30,00;4,00;27,00;4,00;4,00
2021-03-14;21,00;0,00;7,00;0,00;0,00
2021-03-21;34,00;0,00;31,00;0,00;0,00
2021-03-28;29,00;4,00;8,00;0,00;0,00
