Semaine;Réunion (RE);Mayotte (YT);Maurice (MU);Seychelles (SC);Zanzibar (TZ);Madagascar (MG)
2019-01-06;75,00;0,00;294,00;201,00;39,00;59,00
2019-01-13;64,00;6,10;249,90;225,52;24,38;38,00
2019-01-20;83,00;11,86;222,32;237,14;17,79;38,00
2019-01-27;58,00;12,21;244,21;195,37;9,16;24,00
2019-02-03;83,00;0,00;216,39;171,93;2,96;31,00
2019-02-10;92,00;5,94;204,77;175,10;5,94;20,00
2019-02-17;81,00;12,00;225,00;162,00;6,00;26,00
2019-02-24;71,00;8,88;177,50;159,75;2,96;14,00
2019-03-03;60,00;9,00;159,00;132,00;0,00;11,00
2019-03-10;59,00;6,21;186,32;127,32;0,00;22,00
2019-03-17;52,00;6,12;211,06;146,82;9,18;8,00
2019-03-24;44,00;2,93;146,67;129,07;8,80;17,00
2019-03-31;49,00;0,00;171,50;128,63;18,38;28,00
2019-04-07;57,00;18,00;204,00;120,00;9,00;29,00
2019-04-14;76,00;3,04;206,72;158,08;12,16;34,00
2019-04-21;57,00;9,00;180,00;132,00;12,00;40,00
2019-04-28;45,00;6,00;192,00;162,00;18,00;27,00
2019-05-05;58,00;6,11;186,21;155,68;15,26;24,00
2019-05-12;59,00;5,90;150,45;138,65;14,75;19,00
2019-05-19;59,00;2,95;109,15;123,90;8,85;16,00
2019-05-26;32,00;0,00;136,73;107,64;2,91;24,00
2019-06-02;54,00;9,00;171,00;126,00;9,00;19,00
2019-06-09;52,00;3,06;134,59;131,53;27,53;36,00
2019-06-16;47,00;0,00;141,00;114,56;23,50;3,00
2019-06-23;56,00;5,89;144,42;129,68;8,84;24,00
2019-06-30;68,00;12,36;160,73;120,55;9,27;20,00
2019-07-07;56,00;14,74;162,11;135,58;17,68;42,00
2019-07-14;41,00;5,86;213,79;143,50;17,57;25,00
2019-07-21;79,00;15,19;173,19;173,19;21,27;37,00
2019-07-28;88,00;3,03;166,90;179,03;21,24;34,00
2019-08-04;79,00;9,12;170,15;127,62;48,62;32,00
2019-08-11;100,00;15,15;145,45;130,30;21,21;32,00
2019-08-18;49,00;9,19;199,06;192,94;30,63;33,00
