Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Marseille (FR);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;23,00;147,86;197,14;141,29;141,29;95,54;1,77;58,38;92,00;138,00;49,29;108,43;64,40;96,60;105,80;36,80;47,05;66,91;5,23;10,00;36,00;19,00;6,00;13,00;3,00;3,00;3,00;3,00;1,00;6,00;1,00;1,00
2019-01-13;22,00;141,43;207,43;135,14;141,43;108,17;1,83;66,00;100,83;165,00;51,33;128,33;71,50;121,00;137,50;49,50;50,60;78,10;6,60;10,00;38,00;24,00;5,00;11,00;5,00;5,00;4,00;2,00;1,00;5,00;0,50;0,50
2019-01-20;22,00;125,71;191,71;138,29;141,43;102,67;1,83;80,67;97,17;135,14;44,00;103,71;52,80;88,00;105,60;39,60;51,70;75,90;7,70;8,00;35,00;19,00;4,00;11,00;3,00;4,00;2,00;3,00;2,00;4,00;1,00;1,00
2019-01-27;18,00;154,80;216,00;158,40;133,20;64,80;0,90;73,80;95,40;133,20;61,20;126,00;63,00;99,00;99,00;40,50;51,75;84,38;5,63;11,00;35,00;24,00;7,00;11,00;1,00;4,00;4,00;3,00;1,00;6,00;1,00;1,00
2019-02-03;14,00;143,50;182,00;157,50;119,00;54,25;1,75;70,00;98,00;126,00;52,50;129,50;60,67;126,00;107,33;46,67;50,62;75,38;6,46;10,00;35,00;23,00;6,00;9,00;2,00;7,00;3,00;3,00;1,00;7,00;1,00;1,00
2019-02-10;16,00;147,20;188,80;140,80;118,40;56,89;1,78;71,11;104,89;115,20;44,80;118,40;74,67;122,67;117,33;64,00;51,20;76,80;5,33;9,00;36,00;22,00;5,00;11,00;1,00;6,00;4,00;4,00;1,00;8,00;1,00;1,00
2019-02-17;18,00;162,00;190,80;162,00;115,20;61,20;1,80;70,20;100,80;136,80;64,80;144,00;63,00;108,00;103,50;49,50;52,88;73,13;11,25;7,00;35,00;23,00;7,00;9,00;1,00;5,00;3,00;3,00;0,50;9,00;1,00;1,00
2019-02-24;16,00;150,40;179,20;163,20;118,40;65,78;1,78;80,00;97,78;124,80;57,60;121,60;74,67;144,00;112,00;64,00;45,87;68,27;5,33;11,00;29,00;15,00;8,00;12,00;2,00;4,00;3,00;4,00;2,00;8,00;1,00;0,50
2019-03-03;17,00;166,60;207,40;166,60;129,20;57,80;1,70;69,70;102,00;149,60;74,80;142,80;63,75;106,25;97,75;51,00;55,25;68,00;7,44;7,00;36,00;24,00;10,00;19,00;2,00;4,00;3,00;3,00;2,00;10,00;0,50;1,00
2019-03-10;20,00;163,33;193,33;163,33;123,33;63,64;1,82;78,18;110,91;130,00;73,33;130,00;70,00;130,00;115,00;60,00;44,44;82,22;5,56;10,00;31,00;19,00;6,00;16,00;2,00;8,00;3,00;2,00;3,00;10,00;1,00;0,50
