Semaine;Martinique (LC);Guadeloupe (GP);Saint Martin (ile d Amérique du nord) (MF);Republique Dominicaine (DO);Sainte Lucie (LC);Barbade (BB)
2019-01-06;21,00;34,00;3,00;75,00;11,00;45,00
2019-01-13;17,00;25,00;5,00;86,00;12,00;60,27
2019-01-20;19,00;29,00;5,00;64,00;11,00;49,08
2019-01-27;24,00;23,00;12,00;76,00;9,00;51,20
2019-02-03;19,00;28,00;16,00;50,00;14,00;42,75
2019-02-10;18,00;34,00;17,00;52,00;7,00;34,50
2019-02-17;12,00;25,00;16,00;50,00;8,00;39,43
2019-02-24;13,00;23,00;12,00;61,00;9,00;55,25
2019-03-03;12,00;28,00;16,00;61,00;7,00;34,50
2019-03-10;18,00;23,00;19,00;56,00;19,00;51,00
2019-03-17;12,00;26,00;18,00;50,00;11,00;40,50
2019-03-24;11,00;19,00;20,00;48,00;6,00;45,57
2019-03-31;12,00;33,00;4,00;42,00;5,00;33,00
2019-04-07;11,00;22,00;5,00;46,00;9,00;33,00
2019-04-14;8,00;20,00;4,00;48,00;5,00;35,20
2019-04-21;11,00;14,00;4,00;46,00;4,00;22,00
2019-04-28;10,00;23,00;5,00;53,00;4,00;21,43
2019-05-05;7,00;22,00;3,00;37,00;6,00;24,50
2019-05-12;5,00;16,00;4,00;45,00;5,00;35,00
2019-05-19;9,00;11,00;3,00;39,00;8,00;22,50
2019-05-26;7,00;16,00;4,00;42,00;4,00;16,80
2019-06-02;10,00;13,00;6,00;47,00;3,00;30,00
2019-06-09;15,00;18,00;6,00;62,00;2,00;33,33
2019-06-16;27,00;19,00;5,00;62,00;4,00;36,53
2019-06-23;13,00;21,00;4,00;47,00;7,00;24,38
2019-06-30;13,00;15,00;4,00;45,00;7,00;35,75
2019-07-07;9,00;25,00;6,00;47,00;8,00;39,00
2019-07-14;14,00;17,00;4,00;62,00;1,00;37,33
2019-07-21;14,00;22,00;1,00;48,00;7,00;42,00
2019-07-28;9,00;20,00;3,00;50,00;4,00;45,00
2019-08-04;12,00;23,00;5,00;53,00;5,00;69,00
2019-08-11;11,00;17,00;4,00;53,00;9,00;47,14
2019-08-18;13,00;18,00;2,00;65,00;10,00;53,63
2019-08-25;14,00;22,00;5,00;56,00;5,00;43,56
2019-09-01;15,00;26,00;6,00;60,00;6,00;41,67
2019-09-08;8,00;24,00;5,00;46,00;5,00;38,40
2019-09-15;15,00;26,00;2,00;51,00;2,00;33,33
2019-09-22;9,00;19,00;2,00;61,00;6,00;43,20
2019-09-29;14,00;21,00;3,00;53,00;9,00;34,22
2019-10-06;17,00;21,00;4,00;59,00;5,00;42,50
2019-10-13;10,00;23,00;3,00;48,00;5,00;45,00
2019-10-20;11,00;14,00;3,00;41,00;5,00;40,86
2019-10-27;14,00;19,00;2,00;46,00;8,00;56,00
2019-11-03;14,00;21,00;6,00;53,00;5,00;63,78
2019-11-10;22,00;18,00;6,00;55,00;9,00;61,29
2019-11-17;14,00;18,00;8,00;48,00;7,00;57,56
2019-11-24;8,00;23,00;5,00;48,00;6,00;48,00
2019-12-01;11,00;19,00;5,00;66,00;4,00;51,86
2019-12-08;19,00;18,00;4,00;53,00;7,00;45,92
2019-12-15;14,00;20,00;3,00;49,00;6,00;40,44
2019-12-22;15,00;30,00;4,00;48,00;12,00;72,00
2019-12-29;10,00;23,00;5,00;64,00;13,00;78,33
2020-01-05;20,00;30,00;6,00;79,00;11,00;63,08
2020-01-12;20,00;28,00;6,00;75,00;14,00;61,54
2020-01-19;19,00;31,00;4,00;57,00;11,00;55,42
2020-01-26;15,00;35,00;5,00;62,00;5,00;46,50
2020-02-02;12,00;28,00;4,00;56,00;6,00;43,50
2020-02-09;9,00;26,00;3,00;58,00;4,00;46,50
2020-02-16;13,00;26,00;3,00;54,00;9,00;48,75
2020-02-23;11,00;45,00;5,00;49,00;7,00;39,29
2020-03-01;12,00;23,00;4,00;41,00;5,00;34,50
