Semaine;Réunion (RE);Mayotte (YT);Maurice (MU);Seychelles (SC);Zanzibar (TZ);Madagascar (MG)
2019-01-06;83,00;6,92;345,83;283,58;0,00;33,00
2019-01-13;67,00;6,70;288,10;268,00;3,35;37,00
2019-01-20;69,00;3,45;248,40;248,40;3,45;24,00
2019-01-27;62,00;6,89;220,44;248,00;3,44;20,00
2019-02-03;57,00;7,13;220,88;242,25;3,56;26,00
2019-02-10;50,00;7,14;228,57;242,86;0,00;23,00
2019-02-17;53,00;6,63;185,50;318,00;0,00;28,00
2019-02-24;40,00;3,33;173,33;186,67;3,33;21,00
2019-03-03;54,00;6,75;209,25;195,75;3,38;32,00
2019-03-10;52,00;7,43;215,43;215,43;3,71;21,00
2019-03-17;43,00;7,17;172,00;186,33;3,58;27,00
2019-03-24;47,00;6,71;154,43;174,57;3,36;30,00
2019-03-31;66,00;7,33;168,67;154,00;3,67;24,00
2019-04-07;56,00;7,00;161,00;182,00;7,00;21,00
2019-04-14;81,00;3,38;148,50;162,00;3,38;19,00
2019-04-21;74,00;6,73;134,55;168,18;3,36;27,00
2019-04-28;60,00;6,67;173,33;233,33;3,33;29,00
2019-05-05;62,00;6,89;172,22;165,33;3,44;26,00
2019-05-12;57,00;7,13;135,38;185,25;3,56;16,00
2019-05-19;47,00;6,71;141,00;134,29;0,00;19,00
2019-05-26;46,00;6,57;151,14;131,43;3,29;19,00
2019-06-02;60,00;6,67;166,67;140,00;3,33;24,00
2019-06-09;46,00;6,57;164,29;144,57;3,29;23,00
2019-06-16;46,00;6,57;157,71;151,14;3,29;29,00
2019-06-23;49,00;7,00;147,00;154,00;3,50;29,00
2019-06-30;62,00;6,89;144,67;192,89;0,00;32,00
2019-07-07;63,00;7,00;217,00;196,00;3,50;49,00
2019-07-14;56,00;7,00;182,00;210,00;3,50;31,00
2019-07-21;58,00;7,25;181,25;210,25;3,63;25,00
2019-07-28;55,00;6,88;199,38;185,63;3,44;24,00
2019-08-04;55,00;6,88;185,63;206,25;3,44;22,00
2019-08-11;57,00;7,13;199,50;220,88;3,56;22,00
2019-08-18;68,00;6,80;170,00;265,20;3,40;35,00
2019-08-25;73,00;3,65;204,40;678,90;3,65;31,00
2019-09-01;76,00;6,91;179,64;228,00;3,45;25,00
2019-09-08;61,00;6,78;189,78;203,33;0,00;20,00
2019-09-15;53,00;6,63;165,63;159,00;0,00;42,00
2019-09-22;67,00;3,35;194,30;167,50;0,00;26,00
2019-09-29;61,00;3,39;162,67;210,11;3,39;28,00
2019-10-06;68,00;6,80;156,40;197,20;3,40;26,00
2019-10-13;50,00;7,14;214,29;200,00;0,00;17,00
2019-10-20;61,00;6,78;196,56;176,22;0,00;17,00
2019-10-27;68,00;6,80;183,60;190,40;3,40;32,00
2019-11-03;71,00;3,55;184,60;191,70;3,55;23,00
2019-11-10;73,00;7,30;189,80;211,70;3,65;28,00
2019-11-17;65,00;14,44;195,00;231,11;3,61;38,00
2019-11-24;61,00;6,78;155,89;155,89;3,39;19,00
2019-12-01;54,00;3,38;162,00;155,25;3,38;24,00
2019-12-08;50,00;7,14;157,14;157,14;3,57;21,00
2019-12-15;49,00;3,50;154,00;238,00;3,50;22,00
2019-12-22;85,00;3,54;255,00;240,83;3,54;41,00
2019-12-29;70,00;3,50;336,00;266,00;3,50;32,00
2020-01-05;71,00;3,55;284,00;298,20;3,55;34,00
2020-01-12;72,00;3,60;244,80;288,00;3,60;32,00
2020-01-19;100,00;7,14;257,14;278,57;3,57;33,00
2020-01-26;52,00;22,29;304,57;252,57;3,71;27,00
2020-02-02;55,00;6,88;240,63;220,00;3,44;27,00
2020-02-09;56,00;3,50;196,00;259,00;3,50;24,00
2020-02-16;66,00;3,67;227,33;381,33;3,67;24,00
2020-02-23;47,00;6,71;161,14;235,00;3,36;21,00
2020-03-01;52,00;14,86;156,00;260,00;3,71;23,00
2020-03-08;55,00;6,88;144,38;192,50;0,00;19,00
2020-03-15;25,00;6,25;75,00;125,00;3,13;15,00
2020-03-22;30,00;7,50;52,50;105,00;3,75;17,00
2020-03-29;24,00;8,00;48,00;104,00;0,00;14,00
2020-04-05;27,00;6,75;47,25;74,25;0,00;14,00
2020-04-12;40,00;6,67;40,00;80,00;3,33;14,00
2020-04-19;23,00;7,67;46,00;69,00;0,00;21,00
2020-04-26;19,00;6,33;25,33;69,67;3,17;13,00
2020-05-03;32,00;12,80;38,40;83,20;3,20;22,00
2020-05-10;42,00;7,00;49,00;77,00;0,00;11,00
2020-05-17;31,00;7,75;69,75;116,25;3,88;15,00
2020-05-24;31,00;7,75;77,50;93,00;0,00;17,00
2020-05-31;42,00;7,00;56,00;98,00;0,00;15,00
2020-06-07;32,00;6,40;51,20;70,40;0,00;11,00
2020-06-14;37,00;7,40;51,80;74,00;0,00;11,00
2020-06-21;34,00;6,80;40,80;81,60;3,40;9,00
2020-06-28;36,00;7,20;57,60;86,40;0,00;8,00
2020-07-05;41,00;6,83;47,83;68,33;3,42;12,00
2020-07-12;37,00;7,40;51,80;66,60;3,70;15,00
2020-07-19;25,00;3,13;37,50;68,75;0,00;10,00
2020-07-26;28,00;3,50;49,00;84,00;3,50;8,00
2020-08-02;28,00;3,50;63,00;77,00;0,00;10,00
2020-08-09;40,00;3,33;100,00;86,67;0,00;13,00
2020-08-16;44,00;3,67;66,00;73,33;3,67;9,00
2020-08-23;44,00;3,67;44,00;73,33;3,67;10,00
2020-08-30;40,00;3,33;33,33;53,33;0,00;11,00
2020-09-06;61,00;3,39;27,11;74,56;3,39;9,00
2020-09-13;44,00;7,33;36,67;73,33;3,67;12,00
2020-09-20;39,00;7,80;31,20;101,40;0,00;10,00
2020-09-27;39,00;3,25;32,50;156,00;0,00;11,00
2020-10-04;28,00;7,00;35,00;98,00;3,50;21,00
2020-10-11;43,00;3,58;21,50;107,50;3,58;27,00
2020-10-18;24,00;8,00;24,00;112,00;4,00;17,00
2020-10-25;23,00;3,83;61,33;92,00;3,83;15,00
2020-11-01;15,00;3,75;45,00;90,00;0,00;11,00
2020-11-08;23,00;7,67;38,33;153,33;0,00;8,00
2020-11-15;19,00;6,33;31,67;95,00;3,17;12,00
2020-11-22;20,00;3,33;33,33;200,00;3,33;11,00
2020-11-29;17,00;4,25;42,50;110,50;4,25;9,00
2020-12-06;23,00;7,67;30,67;99,67;3,83;12,00
2020-12-13;57,00;3,56;42,75;85,50;3,56;10,00
2020-12-20;58,00;3,63;50,75;130,50;3,63;12,00
2020-12-27;51,00;3,64;87,43;728,57;3,64;21,00
2021-01-03;46,00;13,14;59,14;177,43;3,29;15,00
2021-01-10;35,00;7,00;56,00;182,00;3,50;12,00
2021-01-17;38,00;7,60;45,60;106,40;3,80;16,00
2021-01-24;38,00;7,60;60,80;106,40;3,80;13,00
2021-01-31;40,00;3,33;80,00;120,00;3,33;12,00
2021-02-07;63,00;7,00;56,00;210,00;3,50;7,00
2021-02-14;26,00;6,50;39,00;104,00;3,25;16,00
2021-02-21;21,00;7,00;49,00;77,00;3,50;11,00
2021-02-28;33,00;6,60;52,80;92,40;3,30;10,00
2021-03-07;24,00;8,00;56,00;120,00;4,00;9,00
2021-03-14;30,00;7,50;37,50;135,00;3,75;8,00
2021-03-21;23,00;3,83;30,67;107,33;0,00;9,00
2021-03-28;32,00;6,40;19,20;89,60;3,20;12,00
2021-04-04;22,00;7,33;44,00;139,33;3,67;15,00
2021-04-11;22,00;14,67;36,67;102,67;0,00;10,00
2021-04-18;25,00;3,13;31,25;112,50;3,13;13,00
2021-04-25;23,00;3,83;30,67;122,67;3,83;7,00
2021-05-02;25,00;3,13;43,75;137,50;3,13;14,00
2021-05-09;23,00;3,83;76,67;237,67;0,00;17,00
2021-05-16;25,00;3,13;43,75;137,50;3,13;21,00
2021-05-23;30,00;3,75;52,50;150,00;3,75;16,00
2021-05-30;38,00;3,80;76,00;174,80;3,80;17,00
2021-06-06;29,00;7,25;65,25;145,00;3,63;9,00
2021-06-13;33,00;6,60;59,40;112,20;0,00;10,00
2021-06-20;35,00;28,00;84,00;168,00;3,50;9,00
2021-06-27;31,00;7,75;108,50;201,50;0,00;11,00
2021-07-04;33,00;13,20;72,60;132,00;0,00;32,00
2021-07-11;33,00;3,30;72,60;145,20;0,00;11,00
2021-07-18;34,00;3,40;61,20;102,00;0,00;12,00
2021-07-25;34,00;3,40;74,80;129,20;0,00;15,00
2021-08-01;34,00;3,40;129,20;122,40;3,40;14,00
2021-08-08;36,00;7,20;93,60;151,20;3,60;10,00
2021-08-15;37,00;0,00;96,20;148,00;3,70;18,00
2021-08-22;38,00;7,60;114,00;159,60;3,80;8,00
2021-08-29;49,00;7,00;105,00;175,00;3,50;16,00
2021-09-05;38,00;3,80;106,40;174,80;3,80;14,00
2021-09-12;36,00;0,00;122,40;187,20;3,60;18,00
2021-09-19;62,00;3,44;137,78;165,33;0,00;18,00
2021-09-26;39,00;6,50;104,00;130,00;3,25;13,00
2021-10-03;43,00;14,33;157,67;172,00;3,58;17,00
2021-10-10;61,00;3,39;162,67;155,89;3,39;16,00
2021-10-17;42,00;3,50;154,00;154,00;3,50;21,00
2021-10-24;44,00;7,33;154,00;146,67;3,67;13,00
2021-10-31;51,00;7,29;189,43;167,57;3,64;17,00
2021-11-07;52,00;7,43;156,00;178,29;0,00;15,00
2021-11-14;42,00;7,00;112,00;133,00;3,50;13,00
2021-11-21;37,00;7,40;111,00;111,00;3,70;15,00
2021-11-28;34,00;3,40;95,20;108,80;3,40;8,00
2021-12-05;42,00;3,50;91,00;126,00;3,50;12,00
2021-12-12;39,00;7,80;140,40;163,80;0,00;13,00
2021-12-19;44,00;7,33;161,33;227,33;3,67;14,00
2021-12-26;53,00;6,63;205,38;278,25;3,31;15,00
2022-01-02;66,00;3,67;249,33;227,33;3,67;20,00
2022-01-09;62,00;6,89;254,89;206,67;3,44;11,00
2022-01-16;45,00;3,75;285,00;382,50;3,75;17,00
2022-01-23;40,00;6,67;213,33;186,67;3,33;20,00
2022-01-30;60,00;6,67;293,33;193,33;3,33;22,00
2022-02-06;58,00;7,25;253,75;203,00;0,00;21,00
2022-02-13;41,00;6,83;211,83;191,33;3,42;19,00
2022-02-20;40,00;6,67;213,33;166,67;3,33;16,00
2022-02-27;45,00;0,00;165,00;172,50;0,00;16,00
