Semaine;Nice (FR);reta (SI);Agadir (MA);Djerba (TN);Corfu (GR);Santorini Island (GR);Faro (PT);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;41,00;0,00;43,00;2,73;43,73;105,92;41,00;5,13;61,50;82,00;5,13;12,00;9,00;3,00;2,00;13,67;3,04;33,41;6,07;0,00;24,60;0,00;3,00;3,00;2,00;0,00;0,00;3,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;29,00;0,00;33,00;2,76;38,67;145,00;25,38;4,83;67,67;67,67;9,67;7,00;9,00;7,00;3,00;19,84;12,21;33,58;7,63;0,00;4,14;2,07;0,00;3,00;0,00;0,00;1,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;38,00;0,00;24,00;13,57;44,79;117,45;34,55;9,50;76,00;57,00;4,75;12,00;3,00;4,00;1,00;15,20;1,52;41,04;4,56;0,00;4,22;4,22;7,00;0,00;0,00;0,00;3,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;32,00;0,00;30,00;13,91;30,61;145,78;32,00;10,67;64,00;74,67;10,67;7,00;8,00;5,00;0,00;24,38;6,10;45,71;1,52;2,00;4,00;4,00;5,00;3,00;1,00;1,00;1,00;7,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;28,00;0,00;37,00;10,67;30,67;122,50;42,00;9,33;65,33;74,67;9,33;4,00;10,00;6,00;3,00;13,26;14,74;32,42;4,42;0,00;4,00;2,00;3,00;0,00;1,00;1,00;0,00;0,00;4,00;1,00;1,00;0,00;0,00;0,00;0,00
2019-02-10;28,00;0,00;32,00;2,80;35,00;157,50;49,00;0,00;102,67;93,33;4,67;6,00;4,00;4,00;4,00;34,22;12,44;48,22;6,22;0,00;2,00;2,00;4,00;3,00;0,00;0,00;4,00;3,00;4,00;0,00;0,00;0,00;1,00;0,00;0,00
2019-02-17;38,00;0,00;32,00;4,07;47,50;152,00;38,00;9,50;85,50;114,00;28,50;10,00;7,00;13,00;7,00;22,80;4,56;39,52;6,08;4,22;2,11;0,00;6,00;0,00;1,00;1,00;1,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;20,00;0,00;32,00;2,67;52,00;146,67;66,67;10,00;90,00;90,00;5,00;13,00;7,00;12,00;3,00;21,43;12,86;40,00;5,71;0,00;2,00;0,00;4,00;4,00;0,00;3,00;4,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;30,00;0,00;35,00;12,27;43,64;198,75;52,50;10,00;110,00;100,00;10,00;10,00;16,00;7,00;6,00;22,50;7,50;45,00;4,50;0,00;4,29;4,29;3,00;3,00;3,00;1,00;1,00;1,00;1,00;0,00;0,00;0,00;2,00;0,00;0,00
2019-03-10;33,00;0,00;22,00;4,13;46,75;179,67;51,33;11,00;88,00;110,00;5,50;10,00;9,00;9,00;4,00;31,50;15,00;49,50;7,50;0,00;4,13;0,00;4,00;1,00;0,00;4,00;4,00;3,00;4,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-03-17;44,00;0,00;21,00;4,13;35,75;187,00;62,33;8,80;96,80;105,60;8,80;19,00;7,00;6,00;3,00;18,21;6,07;48,55;15,17;0,00;2,00;0,00;4,00;3,00;0,00;3,00;1,00;1,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00
2019-03-24;47,00;0,00;20,00;6,91;51,15;220,54;61,46;9,40;112,80;94,00;4,70;3,00;10,00;4,00;9,00;16,68;12,13;39,42;9,10;0,00;2,14;0,00;6,00;1,00;1,00;0,00;1,00;3,00;1,00;1,00;0,00;1,00;0,00;0,00;0,00
2019-03-31;63,00;0,00;30,00;8,22;38,35;161,00;56,00;9,00;72,00;90,00;18,00;19,00;7,00;7,00;0,00;22,50;15,00;55,50;10,50;2,10;4,20;4,20;7,00;0,00;1,00;4,00;0,00;3,00;1,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;51,00;0,00;30,00;2,68;42,95;196,71;40,07;10,20;91,80;132,60;10,20;13,00;13,00;7,00;1,00;34,50;21,00;55,50;10,50;0,00;7,85;1,96;3,00;1,00;0,00;1,00;1,00;3,00;8,00;0,00;0,00;4,00;0,00;0,00;0,00
2019-04-14;73,00;0,00;26,00;12,17;41,91;271,14;69,52;18,25;73,00;228,13;9,13;27,00;15,00;15,00;9,00;36,50;12,17;30,42;13,69;0,00;8,11;0,00;3,00;3,00;2,00;5,00;6,00;2,00;12,00;0,00;0,00;0,00;0,00;2,00;0,00
2019-04-21;61,00;0,00;17,00;8,13;62,36;247,59;57,41;5,08;101,67;132,17;10,17;22,00;20,00;10,00;0,00;20,83;11,90;49,10;10,41;2,03;4,07;4,07;6,00;0,00;3,00;0,00;1,00;1,00;6,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;48,00;0,00;17,00;8,23;52,11;233,14;51,43;9,60;96,00;105,60;9,60;14,00;13,00;7,00;6,00;31,50;15,00;48,00;7,50;0,00;4,00;0,00;12,00;3,00;0,00;3,00;3,00;3,00;6,00;1,00;1,00;1,00;0,00;0,00;1,00
2019-05-05;50,00;0,00;30,00;10,81;56,76;196,43;39,29;10,00;110,00;120,00;10,00;16,00;16,00;9,00;3,00;22,73;12,12;46,97;12,12;2,08;4,17;0,00;10,00;3,00;0,00;1,00;3,00;3,00;4,00;0,00;0,00;1,00;0,00;0,00;0,00
2019-05-12;56,00;0,00;27,00;5,46;64,20;234,50;63,00;9,33;102,67;93,33;9,33;14,00;9,00;10,00;4,00;31,78;22,70;52,97;12,11;0,00;4,00;0,00;11,00;3,00;1,00;0,00;1,00;1,00;7,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-05-19;67,00;0,00;20,00;4,10;83,41;232,74;42,32;28,71;172,29;105,29;9,57;6,00;16,00;13,00;4,00;16,75;38,07;63,95;16,75;4,19;4,19;2,09;8,00;3,00;4,00;1,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;1,00;0,00
2019-05-26;73,00;0,00;23,00;5,41;71,65;225,95;52,14;27,38;118,63;91,25;9,13;8,00;20,00;8,00;4,00;31,29;20,86;74,49;10,43;0,00;8,11;2,03;11,00;1,00;0,00;0,00;7,00;3,00;4,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;70,00;0,00;28,00;5,49;91,96;283,50;52,50;20,00;150,00;150,00;10,00;4,00;10,00;24,00;4,00;30,43;25,87;71,52;9,13;0,00;4,12;0,00;8,00;3,00;3,00;0,00;3,00;4,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;77,00;0,00;32,00;9,63;89,38;308,00;56,00;19,25;154,00;154,00;9,63;18,00;19,00;17,00;6,00;150,98;19,63;57,37;9,06;0,00;0,00;2,03;10,00;4,00;3,00;3,00;1,00;1,00;4,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-06-16;65,00;0,00;31,00;5,42;111,04;328,61;61,39;18,57;204,29;139,29;9,29;22,00;19,00;22,00;1,00;36,28;15,12;63,49;13,60;0,00;4,06;2,03;13,00;1,00;4,00;1,00;1,00;6,00;7,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-06-23;95,00;2,00;29,00;14,93;122,14;344,81;59,81;9,50;171,00;152,00;9,50;36,00;26,00;18,00;3,00;52,78;15,08;81,43;24,13;4,13;4,13;2,07;14,00;5,00;3,00;0,00;3,00;3,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-30;76,00;0,00;46,00;6,79;103,14;311,24;57,90;19,00;190,00;180,50;9,50;18,00;18,00;13,00;3,00;42,56;16,72;97,28;13,68;4,00;4,00;2,00;10,00;7,00;4,00;1,00;7,00;4,00;10,00;1,00;3,00;0,00;0,00;0,00;0,00
2019-07-07;87,00;0,00;34,00;8,16;129,14;316,68;73,08;19,33;193,33;164,33;9,67;23,00;23,00;30,00;6,00;52,50;13,50;64,50;13,50;0,00;8,29;4,14;9,00;7,00;4,00;1,00;6,00;1,00;11,00;0,00;0,00;3,00;0,00;0,00;0,00
2019-07-14;89,00;0,00;35,00;9,58;108,17;313,28;74,76;29,67;168,11;227,44;9,89;22,00;22,00;10,00;4,00;48,27;9,05;76,93;15,08;0,00;16,18;2,02;12,00;4,00;4,00;1,00;7,00;9,00;12,00;0,00;0,00;3,00;0,00;1,00;0,00
2019-07-21;76,00;0,00;43,00;21,71;89,57;325,71;94,10;19,00;228,00;247,00;19,00;36,00;32,00;23,00;6,00;30,40;22,80;82,08;9,12;2,00;12,00;4,00;20,00;5,00;8,00;3,00;6,00;5,00;11,00;2,00;2,00;5,00;0,00;0,00;0,00
2019-07-28;100,00;0,00;30,00;12,16;116,22;357,14;100,00;27,27;200,00;254,55;18,18;33,00;31,00;30,00;5,00;57,58;43,94;59,09;25,76;0,00;8,33;2,08;12,00;8,00;9,00;2,00;3,00;2,00;8,00;2,00;0,00;3,00;0,00;2,00;0,00
2019-08-04;94,00;0,00;38,00;17,71;132,14;278,52;83,56;18,80;169,20;300,80;18,80;36,00;36,00;19,00;14,00;30,32;33,35;92,48;10,61;2,04;8,17;2,04;14,00;2,00;11,00;6,00;8,00;3,00;9,00;2,00;6,00;2,00;0,00;2,00;0,00
2019-08-11;90,00;0,00;27,00;17,73;120,00;324,00;79,20;30,00;200,00;390,00;20,00;27,00;34,00;20,00;9,00;42,71;28,98;67,12;18,31;2,05;8,18;2,05;17,00;6,00;11,00;9,00;5,00;5,00;9,00;5,00;0,00;2,00;0,00;2,00;0,00
2019-08-18;95,00;0,00;20,00;14,93;90,93;281,48;84,44;28,50;152,00;950,00;9,50;17,00;26,00;23,00;9,00;42,22;27,14;66,35;13,57;0,00;16,52;4,13;20,00;5,00;3,00;0,00;5,00;5,00;14,00;6,00;2,00;0,00;2,00;0,00;0,00
2019-08-25;69,00;0,00;26,00;8,12;71,71;228,79;76,26;9,86;138,00;443,57;19,71;22,00;28,00;23,00;7,00;24,00;19,50;72,00;16,50;0,00;8,12;4,06;7,00;6,00;7,00;1,00;4,00;0,00;7,00;0,00;0,00;1,00;0,00;1,00;0,00
2019-09-01;64,00;0,00;36,00;8,17;46,30;177,78;56,89;18,29;100,57;137,14;4,57;21,00;21,00;15,00;6,00;21,33;9,14;54,86;12,19;0,00;8,00;2,00;10,00;1,00;1,00;1,00;1,00;1,00;8,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-09-08;72,00;0,00;23,00;9,51;58,42;183,60;57,60;9,00;90,00;117,00;4,50;14,00;19,00;14,00;1,00;31,50;15,00;40,50;18,00;0,00;8,00;0,00;8,00;1,00;3,00;3,00;4,00;0,00;3,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-09-15;47,00;0,00;33,00;1,34;52,37;166,31;47,00;9,40;75,20;131,60;4,70;12,00;16,00;11,00;5,00;19,71;12,13;57,61;6,06;0,00;3,92;0,00;9,00;0,00;0,00;3,00;0,00;1,00;0,00;3,00;1,00;1,00;0,00;0,00;0,00
2019-09-22;78,00;0,00;25,00;9,58;36,95;120,55;42,55;9,75;68,25;107,25;9,75;8,00;7,00;11,00;11,00;21,00;4,50;39,00;15,00;0,00;12,32;4,11;16,00;0,00;0,00;3,00;1,00;3,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-09-29;64,00;0,00;16,00;34,04;36,77;120,89;35,56;18,29;73,14;109,71;4,57;14,00;8,00;11,00;3,00;24,38;7,62;25,90;7,62;0,00;2,00;2,00;9,00;1,00;0,00;1,00;1,00;3,00;3,00;1,00;0,00;0,00;0,00;1,00;0,00
2019-10-06;52,00;0,00;22,00;15,05;31,47;114,40;45,07;10,40;52,00;135,20;10,40;4,00;11,00;19,00;7,00;10,71;10,71;35,18;4,59;0,00;4,00;2,00;7,00;1,00;1,00;0,00;1,00;3,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00
2019-10-13;59,00;0,00;13,00;8,05;26,82;83,29;27,76;9,83;39,33;78,67;0,00;5,00;4,00;1,00;0,00;13,62;12,10;22,69;4,54;0,00;7,87;0,00;4,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-20;39,00;0,00;33,00;5,38;30,93;92,18;24,82;9,75;39,00;97,50;9,75;12,00;4,00;5,00;1,00;12,00;7,50;15,00;0,00;0,00;11,70;0,00;4,00;0,00;0,00;1,00;0,00;0,00;5,00;0,00;0,00;0,00;1,00;1,00;0,00
2019-10-27;37,00;0,00;19,00;4,11;20,56;97,55;23,55;9,25;27,75;120,25;4,63;7,00;5,00;7,00;1,00;17,76;4,44;37,00;5,92;0,00;8,22;0,00;7,00;5,00;0,00;0,00;0,00;4,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00
2019-11-03;37,00;0,00;32,00;17,81;16,44;92,50;37,00;9,25;27,75;64,75;4,63;7,00;3,00;5,00;1,00;4,63;4,63;26,21;3,08;0,00;12,33;0,00;3,00;0,00;0,00;1,00;0,00;0,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00
2019-11-10;38,00;0,00;25,00;4,07;14,93;89,82;27,64;9,50;28,50;57,00;9,50;5,00;9,00;5,00;1,00;15,20;7,60;21,28;6,08;0,00;21,11;0,00;1,00;4,00;1,00;0,00;1,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-17;27,00;0,00;30,00;10,80;16,20;67,50;30,38;9,00;18,00;72,00;4,50;10,00;4,00;9,00;1,00;15,00;3,00;15,00;4,50;0,00;30,86;0,00;9,00;0,00;1,00;3,00;1,00;4,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-24;32,00;0,00;33,00;15,30;20,87;71,11;32,00;10,67;32,00;74,67;5,33;1,00;5,00;3,00;1,00;13,71;4,57;22,86;4,57;0,00;44,00;2,00;0,00;1,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-01;44,00;0,00;25,00;2,75;19,25;69,67;29,33;4,40;26,40;114,40;4,40;8,00;3,00;9,00;5,00;12,14;6,07;15,17;7,59;0,00;168,00;0,00;4,00;1,00;1,00;1,00;1,00;1,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-08;28,00;0,00;30,00;5,33;14,67;87,50;31,50;4,67;28,00;93,33;4,67;9,00;7,00;3,00;1,00;11,79;1,47;30,95;5,89;0,00;160,00;0,00;4,00;1,00;0,00;0,00;0,00;5,00;3,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-12-15;29,00;0,00;21,00;5,52;17,95;68,88;32,63;4,83;29,00;67,67;4,83;8,00;3,00;3,00;3,00;21,37;7,63;18,32;9,16;0,00;116,00;2,07;1,00;1,00;4,00;0,00;0,00;1,00;3,00;1,00;0,00;0,00;0,00;0,00;0,00
