Semaine;London (GB);Paris (FR);Amsterdam (NL);Roma (IT);Lille (FR);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;95,00;54,45;24,33;64,35;0,77;15,32;33,00;21,00;16,00;19,00;25,00;24,00;26,00;2,00;4,00;18,00;2,00;8,00;3,00;8,00;7,00;4,00;3,00;3,00;1,00;4,00;3,00;0,50;1,00;0,50;1,00;0,00;0,50
2019-01-13;90,00;60,00;21,92;63,62;0,78;13,97;32,00;21,00;18,00;19,00;25,00;26,00;26,00;2,00;5,00;19,00;3,00;7,00;3,00;6,00;7,00;5,00;4,00;3,00;1,00;6,00;2,00;1,00;2,00;0,50;1,00;0,50;0,50
2019-01-20;77,00;49,42;19,54;61,60;0,77;12,32;29,00;20,00;17,00;17,00;21,00;24,00;20,00;1,00;5,00;16,00;3,00;6,00;3,00;6,00;8,00;4,00;4,00;3,00;1,00;4,00;3,00;1,00;2,00;0,50;1,00;0,00;0,50
2019-01-27;87,00;55,68;20,88;46,61;0,78;15,54;25,00;20,00;12,00;17,00;21,00;20,00;23,00;1,00;4,00;18,00;2,00;7,00;2,00;7,00;7,00;4,00;3,00;2,00;1,00;3,00;3,00;1,00;1,00;1,00;1,00;0,00;0,50
2019-02-03;91,00;58,75;19,58;41,64;0,77;15,42;32,00;24,00;10,00;21,00;23,00;18,00;22,00;2,00;5,00;17,00;2,00;7,00;3,00;7,00;9,00;3,00;2,00;2,00;0,50;6,00;3,00;1,00;2,00;0,50;1,00;0,50;0,50
2019-02-10;79,00;59,25;18,59;40,27;0,77;15,49;26,00;21,00;13,00;20,00;23,00;21,00;25,00;2,00;5,00;19,00;3,00;6,00;3,00;7,00;7,00;4,00;3,00;2,00;1,00;4,00;2,00;1,00;2,00;0,50;1,00;0,00;0,50
2019-02-17;74,00;60,13;18,50;38,54;0,77;16,96;24,00;21,00;14,00;20,00;19,00;19,00;23,00;2,00;5,00;19,00;13,00;6,00;3,00;6,00;7,00;3,00;3,00;2,00;1,00;4,00;3,00;1,00;2,00;1,00;1,00;0,00;0,50
2019-02-24;78,00;53,55;17,46;39,00;0,78;17,16;27,00;19,00;13,00;18,00;21,00;18,00;23,00;2,00;5,00;19,00;2,00;6,00;2,00;6,00;10,00;3,00;3,00;1,00;1,00;4,00;3,00;1,00;2,00;1,00;1,00;0,00;0,50
2019-03-03;75,00;55,38;19,62;39,80;0,77;12,24;24,00;19,00;11,00;21,00;21,00;19,00;23,00;2,00;5,00;19,00;3,00;7,00;3,00;6,00;8,00;4,00;3,00;1,00;1,00;4,00;3,00;1,00;2,00;1,00;1,00;0,50;0,50
2019-03-10;77,00;58,61;19,54;36,96;0,77;15,40;27,00;19,00;12,00;22,00;19,00;20,00;24,00;2,00;4,00;21,00;4,00;8,00;3,00;7,00;10,00;4,00;3,00;2,00;1,00;5,00;3,00;1,00;2,00;1,00;1,00;0,50;0,50
