Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;51,00;23,00;34,00;24,00;2,00;25,00;22,00;1,00;15,00;16,00;12,00;1,00;3,00;1,00;29,00;3,00;0,50;14,00;8,00;1,00;19,00;2,00;13,00;0,50;0,00;16,00;11,00;5,00;10,00;7,00;10,00;0,50;13,00;0,50;0,00;7,00;0,00;1,00;0,50;20,00;13,00;3,00;6,00;8,00
2019-01-13;52,00;24,00;43,00;28,00;1,00;28,00;27,00;1,00;17,00;17,00;10,00;2,00;3,00;0,50;28,00;2,00;1,00;13,00;8,00;1,00;19,00;2,00;11,00;1,00;1,00;16,00;13,00;7,00;12,00;10,00;12,00;0,50;11,00;0,50;0,00;8,00;0,00;1,00;0,50;22,00;15,00;2,00;5,00;8,00
2019-01-20;45,00;22,00;36,00;25,00;1,00;24,00;23,00;0,50;18,00;16,00;12,00;1,00;4,00;0,50;23,00;3,00;0,50;16,00;9,00;2,00;17,00;2,00;23,00;0,00;0,50;17,00;10,00;7,00;13,00;7,00;12,00;1,00;14,00;0,50;0,50;6,00;0,00;1,00;0,50;29,00;17,00;4,00;11,00;11,00
2019-01-27;48,00;26,00;38,00;38,00;1,00;27,00;29,00;0,50;21,00;19,00;14,00;1,00;4,00;0,50;29,00;3,00;0,00;20,00;9,00;1,00;20,00;8,00;15,00;0,50;0,50;18,00;13,00;9,00;13,00;10,00;14,00;1,00;7,00;0,50;0,50;7,00;0,00;1,00;0,50;26,00;17,00;2,00;10,00;9,00
2019-02-03;50,00;25,00;39,00;30,00;2,00;28,00;31,00;0,50;22,00;19,00;12,00;1,00;3,00;0,50;28,00;3,00;1,00;17,00;10,00;2,00;21,00;10,00;15,00;0,50;0,50;19,00;14,00;6,00;13,00;7,00;13,00;1,00;4,00;0,50;0,00;7,00;0,00;1,00;1,00;26,00;15,00;3,00;9,00;9,00
2019-02-10;52,00;24,00;32,00;27,00;1,00;28,00;27,00;0,50;24,00;19,00;10,00;1,00;4,00;0,50;28,00;4,00;1,00;17,00;7,00;2,00;19,00;7,00;19,00;1,00;0,00;29,00;15,00;7,00;14,00;7,00;13,00;0,50;4,00;0,50;0,00;8,00;0,00;1,00;0,50;26,00;14,00;2,00;7,00;8,00
2019-02-17;51,00;28,00;38,00;28,00;1,00;25,00;32,00;0,00;19,00;18,00;12,00;1,00;3,00;0,00;25,00;3,00;0,50;16,00;13,00;1,00;18,00;8,00;16,00;0,50;0,00;37,00;14,00;7,00;16,00;8,00;15,00;0,50;2,00;0,50;0,50;7,00;0,00;1,00;1,00;26,00;13,00;2,00;8,00;7,00
2019-02-24;51,00;24,00;40,00;26,00;1,00;31,00;32,00;0,50;26,00;18,00;10,00;1,00;3,00;0,50;27,00;4,00;0,50;19,00;12,00;1,00;19,00;7,00;16,00;0,00;0,00;23,00;15,00;7,00;13,00;7,00;12,00;0,50;3,00;0,50;0,00;5,00;0,50;1,00;0,50;24,00;11,00;2,00;8,00;7,00
2019-03-03;55,00;25,00;31,00;20,00;1,00;28,00;29,00;0,50;20,00;20,00;8,00;1,00;3,00;0,50;23,00;3,00;0,50;16,00;7,00;1,00;13,00;4,00;14,00;0,50;0,50;18,00;14,00;4,00;12,00;8,00;12,00;0,50;3,00;0,50;0,50;6,00;0,00;2,00;0,50;24,00;11,00;1,00;7,00;6,00
2019-03-10;54,00;26,00;39,00;22,00;0,50;28,00;30,00;0,50;18,00;16,00;8,00;0,50;2,00;0,50;24,00;3,00;0,50;14,00;6,00;1,00;16,00;5,00;11,00;0,50;0,00;16,00;10,00;6,00;12,00;9,00;11,00;0,50;3,00;0,50;0,00;5,00;0,00;1,00;0,50;13,00;8,00;1,00;6,00;4,00
2019-03-17;40,00;20,00;29,00;15,00;1,00;23,00;21,00;0,50;14,00;13,00;7,00;1,00;3,00;0,50;16,00;2,00;0,00;11,00;6,00;1,00;11,00;4,00;9,00;0,00;0,00;11,00;6,00;3,00;10,00;6,00;8,00;0,00;2,00;0,50;0,00;4,00;0,00;0,50;0,50;10,00;8,00;1,00;7,00;3,00
2019-03-24;40,00;16,00;22,00;16,00;0,50;16,00;13,00;0,50;10,00;10,00;6,00;1,00;2,00;0,00;10,00;3,00;0,50;12,00;5,00;1,00;9,00;2,00;7,00;0,00;0,00;7,00;8,00;3,00;7,00;6,00;9,00;0,50;1,00;0,50;0,00;4,00;0,00;0,50;0,50;8,00;3,00;1,00;3,00;2,00
2019-03-31;40,00;20,00;15,00;13,00;1,00;16,00;13,00;0,50;11,00;9,00;5,00;1,00;3,00;0,50;11,00;2,00;0,50;10,00;4,00;0,50;8,00;1,00;6,00;0,00;0,00;7,00;6,00;2,00;6,00;5,00;4,00;0,50;6,00;0,50;0,50;2,00;0,00;1,00;0,00;8,00;3,00;1,00;3,00;2,00
2019-04-07;37,00;18,00;17,00;12,00;0,50;16,00;14,00;0,50;8,00;7,00;6,00;0,50;2,00;0,50;10,00;2,00;0,50;7,00;3,00;1,00;4,00;1,00;6,00;0,50;0,50;6,00;5,00;2,00;7,00;5,00;4,00;0,50;5,00;0,50;0,50;2,00;0,00;0,50;0,00;6,00;2,00;0,50;1,00;1,00
2019-04-14;39,00;14,00;12,00;10,00;1,00;17,00;10,00;0,50;6,00;7,00;4,00;0,00;2,00;0,50;10,00;1,00;0,50;8,00;3,00;0,50;3,00;1,00;4,00;0,00;0,00;6,00;6,00;1,00;3,00;4,00;3,00;0,50;3,00;0,50;0,00;1,00;0,00;0,50;1,00;7,00;2,00;0,50;0,50;0,50
2019-04-21;45,00;14,00;11,00;8,00;1,00;15,00;8,00;0,50;3,00;4,00;4,00;0,50;2,00;0,00;7,00;2,00;0,50;5,00;2,00;1,00;3,00;0,50;2,00;0,50;0,50;3,00;5,00;2,00;3,00;4,00;2,00;0,00;2,00;0,50;0,50;2,00;0,00;1,00;0,50;7,00;2,00;0,50;0,50;1,00
2019-04-28;35,00;11,00;4,00;4,00;0,50;9,00;4,00;0,50;2,00;1,00;1,00;0,50;2,00;0,50;4,00;2,00;0,50;4,00;2,00;0,50;3,00;0,50;2,00;0,50;0,00;2,00;4,00;2,00;2,00;2,00;3,00;0,00;3,00;0,00;0,50;2,00;0,50;0,50;0,00;5,00;1,00;1,00;0,50;1,00
2019-05-05;26,00;3,00;4,00;3,00;0,50;6,00;4,00;0,50;1,00;1,00;1,00;0,50;1,00;0,50;4,00;1,00;0,50;4,00;1,00;1,00;3,00;0,50;1,00;0,00;0,00;2,00;5,00;1,00;1,00;2,00;3,00;0,50;2,00;0,50;0,00;1,00;0,50;0,00;0,50;6,00;2,00;0,50;0,50;1,00
2019-05-12;22,00;2,00;4,00;4,00;0,00;5,00;3,00;0,50;2,00;1,00;1,00;0,50;1,00;0,50;4,00;1,00;0,50;3,00;1,00;0,50;3,00;0,00;1,00;0,50;0,50;1,00;4,00;2,00;1,00;1,00;2,00;0,00;1,00;0,50;0,00;1,00;0,00;0,00;0,50;5,00;2,00;0,50;1,00;0,50
2019-05-19;27,00;2,00;6,00;4,00;0,00;4,00;4,00;1,00;1,00;2,00;1,00;0,50;2,00;0,50;5,00;1,00;0,00;4,00;1,00;1,00;3,00;1,00;2,00;0,50;0,50;1,00;3,00;1,00;1,00;1,00;2,00;0,50;2,00;0,00;0,00;2,00;0,00;0,50;0,00;5,00;1,00;0,50;1,00;0,50
2019-05-26;35,00;3,00;4,00;3,00;0,50;5,00;3,00;0,50;2,00;2,00;1,00;0,50;1,00;0,00;7,00;1,00;0,50;4,00;2,00;1,00;2,00;0,00;1,00;0,50;0,50;2,00;5,00;1,00;2,00;1,00;2,00;0,50;1,00;0,50;0,00;2,00;0,00;0,50;0,50;7,00;2,00;0,50;0,50;1,00
2019-06-02;33,00;2,00;8,00;3,00;0,00;4,00;3,00;0,50;2,00;1,00;1,00;0,50;2,00;0,50;5,00;1,00;0,50;5,00;2,00;1,00;3,00;0,00;1,00;1,00;0,00;2,00;7,00;1,00;2,00;1,00;3,00;0,50;1,00;0,50;0,00;2,00;0,00;0,50;0,50;5,00;2,00;0,00;1,00;1,00
2019-06-09;38,00;3,00;5,00;4,00;0,50;9,00;3,00;0,50;2,00;2,00;2,00;0,00;1,00;0,00;8,00;1,00;0,50;7,00;2,00;1,00;3,00;0,50;1,00;0,50;0,00;3,00;12,00;1,00;1,00;2,00;2,00;0,00;2,00;0,50;0,50;2,00;0,00;0,50;0,50;7,00;2,00;0,00;1,00;0,50
2019-06-16;38,00;4,00;5,00;6,00;0,50;6,00;4,00;0,00;2,00;2,00;2,00;0,50;3,00;0,50;7,00;2,00;0,50;7,00;4,00;1,00;6,00;0,50;2,00;0,50;0,00;4,00;9,00;3,00;2,00;2,00;2,00;0,50;3,00;0,50;0,00;1,00;0,50;0,50;0,50;6,00;2,00;0,50;0,50;0,50
2019-06-23;44,00;3,00;6,00;8,00;0,50;9,00;5,00;0,50;3,00;3,00;1,00;0,00;3,00;0,50;7,00;1,00;0,50;6,00;2,00;1,00;7,00;0,50;2,00;0,50;0,00;4,00;8,00;3,00;2,00;2,00;3,00;0,50;3,00;0,00;0,00;2,00;0,50;1,00;0,50;9,00;4,00;1,00;1,00;0,50
2019-06-30;49,00;3,00;9,00;9,00;0,50;12,00;7,00;0,50;4,00;4,00;2,00;0,50;2,00;0,50;9,00;2,00;0,50;15,00;4,00;1,00;5,00;0,50;3,00;0,50;0,00;5,00;9,00;2,00;3,00;3,00;4,00;0,50;5,00;0,50;0,50;2,00;0,00;1,00;0,50;8,00;3,00;1,00;1,00;1,00
2019-07-07;52,00;3,00;12,00;7,00;0,00;15,00;8,00;0,50;5,00;5,00;3,00;0,50;3,00;0,50;12,00;2,00;0,50;21,00;4,00;1,00;10,00;0,00;5,00;0,50;0,00;5,00;8,00;4,00;3,00;1,00;5,00;0,00;4,00;0,50;0,50;4,00;0,00;0,50;0,50;10,00;4,00;1,00;1,00;1,00
2019-07-14;56,00;9,00;13,00;10,00;0,50;17,00;8,00;1,00;6,00;6,00;2,00;0,50;3,00;0,00;13,00;2,00;0,50;13,00;3,00;2,00;9,00;0,50;3,00;0,50;0,00;5,00;10,00;3,00;3,00;2,00;6,00;0,50;4,00;0,50;0,50;4,00;0,00;0,50;0,50;10,00;4,00;1,00;1,00;1,00
2019-07-21;62,00;19,00;20,00;10,00;1,00;25,00;9,00;0,50;6,00;7,00;4,00;0,50;5,00;0,50;14,00;2,00;0,50;12,00;4,00;1,00;9,00;0,50;4,00;0,50;0,00;10,00;11,00;9,00;3,00;4,00;7,00;0,00;6,00;0,50;0,50;3,00;0,00;1,00;1,00;13,00;6,00;1,00;2,00;1,00
2019-07-28;64,00;6,00;14,00;12,00;0,50;17,00;10,00;0,50;6,00;6,00;3,00;0,50;4,00;0,50;16,00;2,00;1,00;16,00;5,00;1,00;10,00;1,00;4,00;1,00;0,00;7,00;11,00;4,00;6,00;3,00;5,00;1,00;5,00;0,50;0,00;5,00;0,00;0,50;0,50;16,00;6,00;1,00;2,00;1,00
