Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;49,00;379,75;61,25;12,25;24,50;33,00;38,00;18,00;29,00;15,00;9,00;10,00;12,00;14,00;21,00;5,00;56,00;6,68;10,02;95,77;5,57;59,76;3,59;2,39;2,39;46,00;15,00;30,00;1,00;45,41;26,29;40,63;7,17;5,00;10,00;8,00
2019-01-13;47,00;409,57;60,43;20,14;26,86;33,00;33,00;18,00;31,00;15,00;9,00;10,00;11,00;12,00;18,00;5,00;59,00;6,71;11,19;90,64;5,60;59,05;2,41;2,41;2,41;45,00;15,00;31,00;2,00;47,00;26,51;39,77;7,23;5,00;10,00;8,00
2019-01-20;46,00;414,00;59,14;13,14;26,29;30,00;42,00;20,00;28,00;15,00;8,00;10,00;11,00;11,00;18,00;4,00;53,00;6,73;10,10;90,88;5,61;58,11;3,63;2,42;2,42;48,00;16,00;32,00;2,00;40,10;28,31;37,74;7,08;5,00;8,00;8,00
2019-01-27;38,00;386,33;50,67;19,00;19,00;27,00;30,00;17,00;28,00;14,00;9,00;8,00;13,00;11,00;18,00;4,00;53,00;5,59;10,06;72,65;5,59;54,63;2,38;2,38;2,38;60,00;17,00;20,00;2,00;41,56;26,13;35,63;8,31;5,00;5,00;6,00
2019-02-03;37,00;388,50;55,50;12,33;24,67;29,00;29,00;21,00;30,00;16,00;9,00;10,00;13,00;12,00;18,00;5,00;55,00;6,73;11,21;68,39;5,61;59,68;3,58;2,39;2,39;45,00;15,00;20,00;2,00;44,16;26,26;41,77;7,16;4,00;7,00;7,00
2019-02-10;36,00;396,00;48,00;18,00;24,00;30,00;29,00;21,00;33,00;16,00;9,00;9,00;14,00;12,00;19,00;4,00;57,00;7,88;11,25;68,63;4,50;58,80;2,40;2,40;2,40;47,00;15,00;20,00;2,00;43,20;27,60;40,80;9,60;6,00;6,00;7,00
2019-02-17;37,00;419,33;55,50;18,50;24,67;31,00;29,00;21,00;32,00;14,00;10,00;9,00;14,00;14,00;20,00;3,00;57,00;7,85;11,21;74,00;5,61;66,84;2,39;2,39;2,39;48,00;16,00;18,00;2,00;45,35;29,84;40,58;9,55;5,00;6,00;7,00
2019-02-24;39,00;416,00;58,50;19,50;32,50;31,00;29,00;24,00;33,00;16,00;10,00;9,00;15,00;11,00;20,00;4,00;58,00;8,91;11,14;66,86;5,57;74,45;2,36;2,36;2,36;47,00;15,00;21,00;2,00;46,09;30,73;39,00;8,27;5,00;4,00;7,00
2019-03-03;37,00;400,83;49,33;18,50;24,67;31,00;29,00;21,00;37,00;14,00;9,00;10,00;14,00;11,00;19,00;4,00;69,00;5,61;12,33;78,48;4,48;68,03;2,39;2,39;2,39;53,00;17,00;19,00;2,00;42,97;35,81;41,77;8,35;5,00;6,00;6,00
2019-03-10;42,00;390,00;54,00;18,00;24,00;31,00;27,00;20,00;37,00;14,00;8,00;9,00;15,00;11,00;19,00;3,00;58,00;6,81;14,76;71,51;7,95;62,40;2,40;2,40;2,40;48,00;15,00;17,00;2,00;45,60;27,60;39,60;9,60;5,00;5,00;7,00
