Semaine;Martinique (LC);Guadeloupe (GP);Saint Martin (ile d Amérique du nord) (MF);Republique Dominicaine (DO);Sainte Lucie (LC);Barbade (BB)
2019-01-06;76,00;98,80;6,08;18,24;4,56;3,00
2019-01-13;68,00;94,27;6,18;13,91;3,09;6,00
2019-01-20;61,00;92,28;6,26;17,21;1,56;3,00
2019-01-27;65,00;88,21;7,74;10,83;3,10;3,00
2019-02-03;61,00;86,93;7,63;13,73;6,10;2,00
2019-02-10;62,00;79,05;7,75;10,85;4,65;2,00
2019-02-17;56,00;79,33;6,22;10,89;3,11;3,00
2019-02-24;57,00;87,81;7,70;12,32;3,08;3,00
2019-03-03;53,00;81,06;6,24;10,91;4,68;3,00
2019-03-10;52,00;71,88;9,18;9,18;3,06;3,00
2019-03-17;54,00;72,51;6,17;7,71;3,09;3,00
2019-03-24;50,00;67,19;6,25;7,81;3,13;2,00
2019-03-31;43,00;59,89;6,14;7,68;3,07;3,00
2019-04-07;47,00;65,19;4,55;6,06;3,03;3,00
2019-04-14;40,00;61,54;4,62;7,69;3,08;3,00
2019-04-21;39,00;63,96;4,68;10,92;3,12;6,00
2019-04-28;39,00;59,28;4,68;6,24;3,12;3,00
2019-05-05;41,00;59,22;4,56;7,59;3,04;2,00
2019-05-12;38,00;51,68;4,56;6,08;3,04;2,00
2019-05-19;34,00;58,73;4,64;6,18;1,55;3,00
2019-05-26;31,00;52,70;4,65;6,20;1,55;3,00
2019-06-02;39,00;54,60;4,68;7,80;3,12;3,00
2019-06-09;37,00;50,88;3,08;6,17;1,54;2,00
2019-06-16;40,00;56,92;3,08;7,69;3,08;3,00
2019-06-23;40,00;56,92;4,62;6,15;3,08;3,00
2019-06-30;43,00;56,82;4,61;7,68;1,54;3,00
2019-07-07;45,00;58,97;4,66;6,21;1,55;3,00
2019-07-14;44,00;60,69;3,03;7,59;3,03;3,00
2019-07-21;43,00;67,57;4,61;6,14;3,07;3,00
2019-07-28;53,00;65,47;4,68;9,35;6,24;4,00
2019-08-04;49,00;68,91;6,13;9,19;3,06;4,00
2019-08-11;49,00;68,91;6,13;9,19;3,06;4,00
2019-08-18;48,00;69,68;4,65;10,84;3,10;3,00
2019-08-25;53,00;63,91;6,24;9,35;4,68;4,00
2019-09-01;46,00;59,80;4,60;9,20;3,07;6,00
2019-09-08;44,00;57,66;4,55;7,59;3,03;2,00
2019-09-15;44,00;54,62;4,55;9,10;3,03;2,00
2019-09-22;42,00;60,67;4,67;7,78;1,56;3,00
2019-09-29;46,00;56,73;4,60;7,67;1,53;2,00
2019-10-06;41,00;56,19;4,56;6,07;3,04;2,00
2019-10-13;43,00;58,36;4,61;7,68;3,07;3,00
