Semaine;Polynesie (PF);Nouvelle Caledonie (NC);Fidji (FJ);Vanuatu (VU);Iles Cook (CK)
2019-01-06;61,00;9,00;9,00;1,00;0,50
2019-01-13;62,00;10,00;10,00;2,00;1,00
2019-01-20;57,00;9,00;11,00;1,00;2,00
2019-01-27;53,00;8,00;9,00;1,00;1,00
2019-02-03;49,00;7,00;7,00;1,00;1,00
2019-02-10;56,00;9,00;9,00;1,00;2,00
2019-02-17;54,00;9,00;7,00;2,00;4,00
2019-02-24;49,00;10,00;7,00;1,00;2,00
2019-03-03;47,00;13,00;9,00;1,00;6,00
2019-03-10;43,00;14,00;21,00;2,00;1,00
2019-03-17;50,00;8,00;15,00;2,00;1,00
2019-03-24;42,00;9,00;12,00;4,00;2,00
2019-03-31;49,00;9,00;15,00;2,00;1,00
2019-04-07;46,00;9,00;10,00;1,00;1,00
2019-04-14;43,00;4,00;13,00;1,00;0,50
2019-04-21;45,00;8,00;9,00;1,00;1,00
2019-04-28;45,00;6,00;9,00;2,00;2,00
2019-05-05;52,00;8,00;10,00;1,00;1,00
2019-05-12;52,00;11,00;10,00;2,00;2,00
2019-05-19;49,00;6,00;9,00;1,00;1,00
2019-05-26;44,00;3,00;10,00;1,00;1,00
2019-06-02;43,00;8,00;13,00;2,00;2,00
2019-06-09;45,00;8,00;11,00;3,00;4,00
2019-06-16;66,00;7,00;11,00;2,00;1,00
2019-06-23;56,00;9,00;6,00;2,00;1,00
2019-06-30;62,00;10,00;5,00;1,00;3,00
2019-07-07;56,00;10,00;9,00;0,50;2,00
2019-07-14;62,00;11,00;5,00;2,00;2,00
2019-07-21;66,00;11,00;7,00;1,00;1,00
2019-07-28;61,00;8,00;7,00;1,00;6,00
2019-08-04;63,00;10,00;8,00;2,00;2,00
2019-08-11;61,00;7,00;7,00;1,00;2,00
2019-08-18;65,00;6,00;8,00;1,00;3,00
2019-08-25;63,00;10,00;6,00;1,00;1,00
2019-09-01;55,00;10,00;7,00;2,00;1,00
2019-09-08;65,00;9,00;7,00;1,00;1,00
2019-09-15;53,00;9,00;11,00;1,00;1,00
2019-09-22;45,00;7,00;11,00;1,00;1,00
2019-09-29;48,00;7,00;12,00;2,00;0,50
2019-10-06;46,00;10,00;11,00;2,00;2,00
2019-10-13;49,00;10,00;6,00;2,00;2,00
2019-10-20;48,00;9,00;6,00;3,00;2,00
2019-10-27;49,00;7,00;5,00;0,50;0,50
2019-11-03;57,00;9,00;6,00;1,00;1,00
2019-11-10;52,00;11,00;7,00;2,00;1,00
2019-11-17;51,00;10,00;7,00;0,50;1,00
2019-11-24;45,00;6,00;8,00;1,00;2,00
2019-12-01;42,00;5,00;5,00;1,00;1,00
2019-12-08;87,00;4,00;7,00;2,00;1,00
2019-12-15;67,00;11,00;8,00;1,00;0,50
2019-12-22;78,00;14,00;7,00;1,00;1,00
2019-12-29;74,00;19,00;8,00;2,00;3,00
2020-01-05;60,00;14,00;8,00;1,00;2,00
2020-01-12;55,00;13,00;5,00;1,00;1,00
2020-01-19;56,00;9,00;6,00;1,00;1,00
2020-01-26;54,00;8,00;5,00;1,00;2,00
2020-02-02;64,00;11,00;4,00;1,00;2,00
2020-02-09;52,00;13,00;6,00;0,50;2,00
2020-02-16;61,00;9,00;15,00;1,00;2,00
2020-02-23;45,00;8,00;11,00;1,00;1,00
2020-03-01;43,00;6,00;6,00;1,00;1,00
2020-03-08;50,00;9,00;6,00;2,00;0,00
2020-03-15;43,00;9,00;13,00;2,00;1,00
2020-03-22;55,00;8,00;6,00;0,50;1,00
2020-03-29;43,00;9,00;8,00;1,00;8,00
2020-04-05;73,00;8,00;11,00;5,00;4,00
2020-04-12;53,00;12,00;7,00;1,00;0,50
2020-04-19;54,00;11,00;8,00;0,50;1,00
2020-04-26;56,00;8,00;8,00;1,00;2,00
2020-05-03;51,00;10,00;12,00;1,00;1,00
2020-05-10;48,00;9,00;5,00;1,00;0,50
2020-05-17;46,00;5,00;4,00;1,00;1,00
2020-05-24;47,00;10,00;6,00;1,00;1,00
2020-05-31;53,00;7,00;8,00;0,50;1,00
2020-06-07;52,00;6,00;4,00;0,50;2,00
2020-06-14;52,00;6,00;3,00;0,50;1,00
2020-06-21;65,00;6,00;4,00;1,00;0,00
2020-06-28;52,00;6,00;3,00;1,00;0,00
2020-07-05;53,00;6,00;3,00;0,50;1,00
2020-07-12;70,00;6,00;4,00;1,00;1,00
2020-07-19;60,00;5,00;5,00;2,00;1,00
2020-07-26;63,00;6,00;4,00;2,00;1,00
2020-08-02;72,00;7,00;3,00;1,00;0,50
2020-08-09;70,00;7,00;4,00;1,00;1,00
2020-08-16;66,00;8,00;3,00;1,00;1,00
2020-08-23;64,00;9,00;17,00;1,00;1,00
2020-08-30;57,00;7,00;8,00;1,00;1,00
2020-09-06;53,00;7,00;5,00;1,00;0,50
2020-09-13;55,00;6,00;11,00;0,50;0,00
2020-09-20;48,00;5,00;6,00;0,50;1,00
2020-09-27;50,00;6,00;6,00;1,00;1,00
2020-10-04;49,00;13,00;6,00;1,00;0,50
2020-10-11;48,00;6,00;7,00;1,00;0,50
2020-10-18;52,00;8,00;6,00;1,00;1,00
2020-10-25;44,00;3,00;7,00;0,50;1,00
2020-11-01;42,00;5,00;4,00;0,50;0,00
2020-11-08;56,00;5,00;14,00;1,00;0,50
2020-11-15;50,00;8,00;5,00;1,00;1,00
2020-11-22;49,00;6,00;6,00;0,50;0,50
2020-11-29;39,00;6,00;8,00;0,50;0,50
2020-12-06;56,00;7,00;5,00;1,00;1,00
2020-12-13;46,00;8,00;7,00;1,00;1,00
2020-12-20;60,00;9,00;5,00;1,00;0,50
