Semaine;Réunion (RE);Mayotte (YT);Maurice (MU);Seychelles (SC);Zanzibar (TZ);Madagascar (MG)
2019-01-06;44,00;8,00;32,00;11,00;9,00;6,00
2019-01-13;44,00;9,00;30,00;10,00;9,00;5,00
2019-01-20;43,00;9,00;26,00;11,00;9,00;5,00
2019-01-27;39,00;8,00;25,00;11,00;3,00;3,00
2019-02-03;34,00;10,00;23,00;13,00;1,00;3,00
2019-02-10;37,00;8,00;27,00;11,00;1,00;4,00
2019-02-17;35,00;16,00;26,00;10,00;2,00;3,00
2019-02-24;35,00;9,00;25,00;12,00;1,00;4,00
2019-03-03;38,00;8,00;25,00;11,00;1,00;4,00
2019-03-10;37,00;9,00;24,00;10,00;1,00;3,00
2019-03-17;31,00;9,00;21,00;9,00;1,00;4,00
2019-03-24;34,00;10,00;21,00;9,00;1,00;3,00
2019-03-31;40,00;10,00;20,00;8,00;7,00;4,00
2019-04-07;41,00;10,00;21,00;8,00;8,00;6,00
2019-04-14;36,00;10,00;21,00;9,00;6,00;4,00
2019-04-21;38,00;10,00;24,00;9,00;7,00;4,00
2019-04-28;39,00;8,00;21,00;10,00;7,00;4,00
2019-05-05;40,00;8,00;20,00;8,00;6,00;4,00
2019-05-12;33,00;10,00;19,00;8,00;7,00;3,00
2019-05-19;42,00;9,00;20,00;8,00;6,00;4,00
2019-05-26;35,00;9,00;18,00;7,00;5,00;4,00
2019-06-02;35,00;8,00;18,00;7,00;6,00;4,00
2019-06-09;37,00;8,00;20,00;8,00;6,00;4,00
2019-06-16;38,00;9,00;22,00;9,00;10,00;4,00
2019-06-23;38,00;11,00;21,00;9,00;7,00;5,00
2019-06-30;40,00;11,00;23,00;8,00;8,00;7,00
2019-07-07;38,00;11,00;20,00;7,00;8,00;10,00
2019-07-14;39,00;10,00;20,00;9,00;8,00;6,00
2019-07-21;36,00;8,00;24,00;9,00;8,00;4,00
2019-07-28;44,00;9,00;24,00;10,00;11,00;5,00
2019-08-04;42,00;9,00;26,00;13,00;8,00;8,00
2019-08-11;43,00;9,00;28,00;18,00;8,00;5,00
2019-08-18;44,00;10,00;25,00;14,00;8,00;5,00
2019-08-25;42,00;9,00;25,00;11,00;8,00;5,00
2019-09-01;37,00;11,00;23,00;10,00;10,00;5,00
2019-09-08;38,00;7,00;24,00;10,00;9,00;5,00
2019-09-15;40,00;8,00;21,00;9,00;9,00;4,00
2019-09-22;39,00;9,00;23,00;9,00;10,00;4,00
