Semaine;Nice (FR);Paris (FR);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;54,00;475,20;442,80;399,60;302,40;10,80;162,00;118,80;216,00;141,43;87,43;126,00;234,00;256,50;72,00;9,00;90,00;546,00;18,00;48,00;14,00;55,00;41,00;46,00;23,76;76,68;9,72;32,40;20,00;5,00;10,00;5,00;14,00;2,00;3,00
2019-01-13;56,00;412,36;371,64;376,73;252,00;9,33;140,00;102,67;201,09;140,00;78,91;114,55;228,67;233,33;60,67;9,33;84,00;476,00;16,80;33,60;19,00;36,00;37,00;43,00;22,19;73,96;11,62;29,58;15,00;9,00;7,00;5,00;12,00;2,00;1,00
2019-01-20;52,00;390,00;395,20;369,20;270,40;10,40;166,40;114,40;197,60;132,60;85,80;101,40;195,00;212,33;52,00;8,67;80,89;473,78;17,33;40,44;13,00;41,00;38,00;40,00;23,35;71,10;10,61;20,16;17,00;5,00;17,00;3,00;15,00;1,00;1,00
2019-01-27;50,00;355,00;325,00;345,00;220,00;10,00;150,00;110,00;186,84;128,95;86,84;118,42;190,91;200,00;50,00;9,09;100,00;531,25;18,75;43,75;18,00;42,00;36,00;41,00;23,40;77,66;7,45;23,40;14,00;6,00;9,00;5,00;12,00;2,00;0,00
2019-02-03;51,00;377,40;311,10;372,30;275,40;10,20;173,40;102,00;206,55;127,50;81,60;132,60;217,91;236,45;60,27;9,27;85,00;464,67;17,00;39,67;15,00;38,00;45,00;45,00;24,44;71,19;11,69;24,44;15,00;9,00;12,00;5,00;11,00;2,00;2,00
2019-02-10;51,00;387,60;321,30;372,30;244,80;10,20;163,20;112,20;191,25;132,60;81,60;124,95;194,73;222,55;64,91;4,64;79,33;453,33;17,00;39,67;18,00;40,00;37,00;43,00;22,31;57,38;6,38;25,50;16,00;7,00;10,00;4,00;12,00;3,00;1,00
2019-02-17;54,00;399,60;340,20;388,80;248,40;10,80;183,60;108,00;190,29;120,86;95,14;138,86;211,50;211,50;63,00;9,00;90,00;510,00;12,00;42,00;17,00;37,00;39,00;41,00;23,29;66,71;9,53;27,53;20,00;6,00;8,00;7,00;14,00;2,00;1,00
2019-02-24;53,00;376,30;307,40;402,80;254,40;10,60;190,80;116,60;169,10;123,67;85,81;133,76;194,33;203,17;57,42;4,42;82,44;435,78;17,67;35,33;16,00;34,00;37,00;35,00;22,26;56,18;8,48;24,38;14,00;7,00;9,00;5,00;10,00;2,00;3,00
2019-03-03;57,00;383,45;285,00;399,00;228,00;9,50;161,50;104,50;181,36;126,95;88,09;142,50;206,08;201,69;52,62;8,77;79,80;450,30;11,40;39,90;24,00;43,00;37,00;38,00;25,33;67,56;9,50;27,44;18,00;8,00;11,00;5,00;11,00;1,00;2,00
2019-03-10;64,00;394,67;314,67;426,67;256,00;10,67;181,33;117,33;174,08;117,76;89,60;133,12;192,00;224,00;59,43;13,71;87,27;442,18;11,64;40,73;17,00;42,00;35,00;45,00;23,47;62,93;6,40;25,60;14,00;6,00;9,00;3,00;12,00;2,00;2,00
2019-03-17;60,00;403,64;294,55;430,91;260,00;10,00;160,00;110,00;177,39;120,00;96,52;146,09;193,85;221,54;55,38;9,23;90,00;444,00;18,00;36,00;19,00;39,00;34,00;42,00;24,64;57,86;5,36;23,57;12,00;8,00;6,00;4,00;8,00;2,00;1,00
2019-03-24;60,00;325,00;250,00;370,00;240,00;10,00;160,00;110,00;174,78;101,74;99,13;133,04;193,85;226,15;41,54;9,23;90,00;438,00;18,00;42,00;18,00;37,00;42,00;37,00;24,64;53,57;10,71;24,64;16,00;5,00;5,00;5,00;16,00;1,00;1,00
2019-03-31;71,00;324,57;268,79;400,64;243,43;10,14;172,43;121,71;174,96;114,11;96,36;152,14;195,25;213,00;53,25;8,88;100,58;431,92;17,75;41,42;17,00;40,00;42,00;50,00;29,67;52,99;10,60;26,49;15,00;9,00;9,00;6,00;17,00;1,00;1,00
2019-04-07;81,00;405,00;293,63;445,50;273,38;10,13;182,25;121,50;202,50;126,56;106,31;149,34;207,00;252,00;67,50;9,00;98,36;433,93;17,36;46,29;23,00;40,00;34,00;47,00;21,04;51,55;11,57;25,25;17,00;12,00;14,00;3,00;14,00;2,00;1,00
