Semaine;Martinique (LC);Guadeloupe (GP);Saint Martin (ile d Amérique du nord) (MF);Republique Dominicaine (DO);Sainte Lucie (LC);Barbade (BB)
2019-01-06;6,00;17,00;7,00;92,00;58,00;318,00
2019-01-13;4,00;19,00;8,00;88,00;63,00;208,00
2019-01-20;7,00;16,00;9,00;84,00;43,00;378,00
2019-01-27;3,00;12,00;7,00;65,00;35,00;144,00
2019-02-03;4,00;14,00;6,00;70,00;49,00;172,00
2019-02-10;4,00;21,00;6,00;55,00;54,00;156,00
2019-02-17;4,00;9,00;7,00;59,00;38,00;148,00
2019-02-24;5,00;16,00;5,00;52,00;39,00;170,00
2019-03-03;3,00;9,00;4,00;56,00;50,00;222,00
2019-03-10;4,00;9,00;8,00;55,00;37,00;128,00
2019-03-17;3,00;7,00;4,00;56,00;32,00;216,00
2019-03-24;5,00;11,00;7,00;55,00;33,00;180,00
2019-03-31;6,00;6,00;3,00;56,00;39,00;186,00
2019-04-07;3,00;8,00;5,00;54,00;32,00;84,00
2019-04-14;4,00;9,00;5,00;54,00;28,00;104,00
2019-04-21;2,00;5,00;5,00;56,00;30,00;112,00
2019-04-28;5,00;4,00;4,00;59,00;31,00;125,00
2019-05-05;3,00;5,00;2,00;61,00;38,00;180,00
2019-05-12;2,00;8,00;2,00;62,00;32,00;108,00
2019-05-19;3,00;6,00;4,00;63,00;29,00;162,00
2019-05-26;1,00;7,00;4,00;54,00;29,00;56,00
2019-06-02;5,00;8,00;3,00;73,00;29,00;130,00
2019-06-09;3,00;8,00;6,00;88,00;31,00;81,00
2019-06-16;5,00;6,00;6,00;90,00;30,00;130,00
2019-06-23;3,00;8,00;3,00;71,00;26,00;75,00
2019-06-30;2,00;7,00;4,00;73,00;26,00;104,00
2019-07-07;4,00;6,00;5,00;60,00;32,00;100,00
2019-07-14;6,00;7,00;6,00;61,00;33,00;168,00
2019-07-21;5,00;7,00;4,00;64,00;30,00;130,00
2019-07-28;3,00;8,00;5,00;58,00;37,00;84,00
2019-08-04;3,00;7,00;4,00;67,00;29,00;180,00
2019-08-11;2,00;8,00;5,00;70,00;32,00;124,00
2019-08-18;2,00;7,00;3,00;68,00;31,00;120,00
2019-08-25;6,00;9,00;3,00;61,00;35,00;204,00
2019-09-01;5,00;11,00;4,00;74,00;33,00;165,00
2019-09-08;6,00;8,00;4,00;61,00;35,00;156,00
2019-09-15;5,00;10,00;4,00;60,00;37,00;145,00
2019-09-22;5,00;7,00;3,00;90,00;39,00;160,00
2019-09-29;5,00;11,00;4,00;63,00;33,00;140,00
2019-10-06;5,00;8,00;8,00;58,00;35,00;125,00
2019-10-13;4,00;8,00;5,00;56,00;29,00;108,00
2019-10-20;7,00;8,00;5,00;54,00;27,00;196,00
2019-10-27;6,00;8,00;3,00;42,00;34,00;162,00
2019-11-03;6,00;9,00;4,00;52,00;33,00;168,00
2019-11-10;5,00;11,00;6,00;51,00;33,00;145,00
2019-11-17;5,00;10,00;8,00;47,00;29,00;130,00
2019-11-24;7,00;9,00;6,00;47,00;25,00;161,00
2019-12-01;7,00;7,00;4,00;47,00;30,00;168,00
2019-12-08;5,00;8,00;7,00;40,00;23,00;110,00
2019-12-15;6,00;10,00;7,00;41,00;28,00;156,00
2019-12-22;5,00;10,00;9,00;67,00;36,00;190,00
2019-12-29;10,00;15,00;8,00;91,00;51,00;240,00
2020-01-05;9,00;24,00;9,00;100,00;57,00;220,50
2020-01-12;7,00;20,00;7,00;82,00;51,00;350,00
2020-01-19;9,00;19,00;8,00;72,00;57,00;360,00
2020-01-26;5,00;16,00;6,00;65,00;48,00;190,00
2020-02-02;4,00;15,00;8,00;67,00;38,00;140,00
2020-02-09;8,00;19,00;8,00;62,00;47,00;264,00
2020-02-16;7,00;16,00;8,00;59,00;40,00;224,00
2020-02-23;7,00;15,00;5,00;56,00;41,00;210,00
2020-03-01;6,00;10,00;4,00;49,00;39,00;174,00
2020-03-08;3,00;9,00;3,00;63,00;57,00;99,00
2020-03-15;7,00;5,00;4,00;71,00;35,00;231,00
