Semaine;Polynesie (PF);Nouvelle Caledonie (NC);Fidji (FJ);Vanuatu (VU);Iles Cook (CK)
2019-01-06;12,00;3,00;34,00;2,00;2,00
2019-01-13;9,00;3,00;36,00;2,00;3,00
2019-01-20;8,00;2,00;28,00;1,00;3,00
2019-01-27;10,00;1,00;29,00;1,00;4,00
2019-02-03;10,00;2,00;27,00;0,50;6,00
2019-02-10;9,00;3,00;28,00;1,00;7,00
2019-02-17;8,00;3,00;26,00;2,00;3,00
2019-02-24;9,00;3,00;23,00;3,00;2,00
2019-03-03;7,00;2,00;24,00;2,00;16,00
2019-03-10;6,00;4,00;25,00;1,00;2,00
2019-03-17;9,00;3,00;32,00;1,00;2,00
2019-03-24;7,00;3,00;25,00;1,00;2,00
2019-03-31;6,00;2,00;33,00;1,00;3,00
2019-04-07;8,00;1,00;25,00;1,00;2,00
2019-04-14;9,00;3,00;32,00;1,00;2,00
2019-04-21;9,00;2,00;22,00;1,00;1,00
2019-04-28;12,00;3,00;26,00;1,00;1,00
2019-05-05;19,00;2,00;28,00;3,00;1,00
2019-05-12;10,00;2,00;34,00;0,50;2,00
2019-05-19;11,00;2,00;29,00;1,00;1,00
2019-05-26;14,00;2,00;32,00;1,00;2,00
2019-06-02;7,00;1,00;25,00;2,00;2,00
2019-06-09;7,00;1,00;28,00;1,00;3,00
2019-06-16;7,00;1,00;27,00;1,00;2,00
2019-06-23;8,00;2,00;29,00;3,00;2,00
2019-06-30;8,00;2,00;21,00;1,00;4,00
2019-07-07;10,00;2,00;30,00;1,00;2,00
2019-07-14;6,00;2,00;23,00;0,50;2,00
2019-07-21;9,00;4,00;25,00;1,00;2,00
2019-07-28;10,00;2,00;20,00;1,00;1,00
2019-08-04;11,00;2,00;25,00;1,00;2,00
2019-08-11;12,00;4,00;26,00;1,00;2,00
2019-08-18;10,00;2,00;24,00;1,00;2,00
2019-08-25;14,00;2,00;26,00;1,00;2,00
2019-09-01;8,00;2,00;28,00;1,00;2,00
2019-09-08;9,00;2,00;28,00;2,00;2,00
2019-09-15;8,00;2,00;55,00;2,00;3,00
2019-09-22;7,00;2,00;50,00;2,00;2,00
2019-09-29;13,00;2,00;39,00;3,00;2,00
2019-10-06;12,00;3,00;100,00;3,00;2,00
2019-10-13;7,00;1,00;30,00;1,00;3,00
2019-10-20;11,00;4,00;27,00;2,00;1,00
2019-10-27;6,00;4,00;26,00;2,00;2,00
2019-11-03;8,00;1,00;27,00;2,00;2,00
2019-11-10;9,00;1,00;31,00;2,00;2,00
2019-11-17;8,00;3,00;28,00;1,00;2,00
2019-11-24;7,00;2,00;22,00;1,00;2,00
2019-12-01;7,00;3,00;26,00;1,00;1,00
2019-12-08;9,00;5,00;20,00;1,00;2,00
2019-12-15;9,00;4,00;24,00;2,00;2,00
2019-12-22;11,00;6,00;41,00;3,00;3,00
2019-12-29;11,00;3,00;34,00;3,00;2,00
2020-01-05;14,00;4,00;32,00;3,00;3,00
2020-01-12;10,00;2,00;36,00;2,00;2,00
2020-01-19;8,00;3,00;27,00;2,00;2,00
2020-01-26;5,00;3,00;26,00;2,00;2,00
2020-02-02;9,00;2,00;28,00;3,00;2,00
2020-02-09;14,00;3,00;23,00;3,00;2,00
2020-02-16;6,00;3,00;25,00;2,00;3,00
2020-02-23;9,00;3,00;23,00;1,00;2,00
2020-03-01;6,00;2,00;28,00;3,00;1,00
2020-03-08;9,00;3,00;26,00;2,00;2,00
2020-03-15;5,00;1,00;20,00;2,00;2,00
2020-03-22;8,00;2,00;18,00;1,00;1,00
2020-03-29;10,00;2,00;17,00;2,00;1,00
2020-04-05;9,00;3,00;21,00;3,00;2,00
2020-04-12;11,00;2,00;21,00;2,00;1,00
2020-04-19;9,00;2,00;28,00;1,00;1,00
2020-04-26;15,00;2,00;23,00;1,00;1,00
2020-05-03;9,00;2,00;25,00;2,00;2,00
2020-05-10;9,00;2,00;23,00;0,50;2,00
2020-05-17;8,00;2,00;23,00;2,00;3,00
2020-05-24;9,00;2,00;19,00;1,00;2,00
2020-05-31;12,00;2,00;24,00;1,00;2,00
2020-06-07;10,00;1,00;16,00;1,00;2,00
2020-06-14;10,00;3,00;18,00;1,00;1,00
2020-06-21;11,00;3,00;19,00;1,00;2,00
2020-06-28;9,00;4,00;26,00;2,00;3,00
2020-07-05;10,00;4,00;17,00;1,00;1,00
2020-07-12;9,00;2,00;18,00;1,00;1,00
2020-07-19;12,00;3,00;21,00;1,00;9,00
2020-07-26;10,00;2,00;18,00;1,00;1,00
2020-08-02;11,00;2,00;15,00;2,00;2,00
2020-08-09;11,00;3,00;26,00;1,00;3,00
2020-08-16;10,00;2,00;29,00;2,00;1,00
2020-08-23;10,00;3,00;23,00;2,00;2,00
2020-08-30;9,00;2,00;20,00;1,00;2,00
2020-09-06;8,00;2,00;19,00;1,00;0,50
2020-09-13;14,00;2,00;19,00;1,00;1,00
2020-09-20;6,00;1,00;20,00;1,00;2,00
2020-09-27;8,00;4,00;18,00;2,00;1,00
2020-10-04;10,00;9,00;22,00;1,00;1,00
2020-10-11;8,00;2,00;20,00;0,50;2,00
2020-10-18;8,00;3,00;17,00;1,00;1,00
2020-10-25;11,00;3,00;19,00;0,50;1,00
2020-11-01;7,00;2,00;15,00;1,00;1,00
2020-11-08;8,00;3,00;20,00;1,00;1,00
2020-11-15;7,00;2,00;22,00;1,00;1,00
2020-11-22;7,00;1,00;20,00;2,00;2,00
2020-11-29;7,00;2,00;22,00;1,00;1,00
2020-12-06;6,00;2,00;16,00;1,00;1,00
2020-12-13;11,00;2,00;24,00;1,00;2,00
2020-12-20;10,00;2,00;18,00;3,00;0,50
2020-12-27;10,00;2,00;24,00;1,00;2,00
2021-01-03;10,00;2,00;22,00;1,00;2,00
2021-01-10;14,00;3,00;18,00;1,00;1,00
2021-01-17;6,00;4,00;21,00;2,00;2,00
2021-01-24;10,00;2,00;16,00;1,00;0,50
2021-01-31;10,00;1,00;16,00;1,00;2,00
2021-02-07;7,00;3,00;14,00;1,00;1,00
2021-02-14;6,00;2,00;16,00;1,00;2,00
2021-02-21;6,00;4,00;15,00;2,00;1,00
2021-02-28;5,00;3,00;15,00;2,00;1,00
2021-03-07;10,00;3,00;24,00;2,00;2,00
2021-03-14;11,00;2,00;19,00;1,00;1,00
2021-03-21;8,00;1,00;21,00;1,00;1,00
2021-03-28;9,00;2,00;15,00;1,00;1,00
2021-04-04;16,00;2,00;15,00;1,00;2,00
2021-04-11;6,00;2,00;16,00;3,00;1,00
2021-04-18;5,00;2,00;14,00;1,00;1,00
2021-04-25;5,00;2,00;12,00;0,50;0,50
2021-05-02;6,00;1,00;11,00;1,00;1,00
2021-05-09;7,00;2,00;12,00;1,00;1,00
2021-05-16;5,00;2,00;11,00;1,00;2,00
2021-05-23;5,00;1,00;11,00;0,00;2,00
2021-05-30;6,00;3,00;12,00;0,50;1,00
2021-06-06;5,00;2,00;14,00;1,00;0,50
2021-06-13;6,00;1,00;10,00;1,00;1,00
2021-06-20;5,00;1,00;12,00;0,50;1,00
2021-06-27;7,00;1,00;11,00;0,00;0,50
2021-07-04;6,00;1,00;17,00;1,00;1,00
2021-07-11;7,00;1,00;18,00;1,00;1,00
2021-07-18;7,00;1,00;14,00;2,00;2,00
2021-07-25;12,00;1,00;61,00;0,50;1,00
2021-08-01;10,00;2,00;13,00;1,00;1,00
2021-08-08;9,00;1,00;12,00;0,50;1,00
2021-08-15;10,00;1,00;11,00;1,00;0,50
2021-08-22;7,00;1,00;12,00;1,00;2,00
2021-08-29;10,00;1,00;16,00;0,50;1,00
2021-09-05;5,00;2,00;10,00;0,00;1,00
2021-09-12;4,00;1,00;14,00;1,00;2,00
2021-09-19;5,00;2,00;13,00;0,00;0,50
2021-09-26;5,00;1,00;10,00;0,50;1,00
2021-10-03;6,00;1,00;16,00;0,50;1,00
2021-10-10;5,00;1,00;13,00;1,00;2,00
2021-10-17;4,00;2,00;11,00;0,50;0,50
2021-10-24;6,00;1,00;15,00;0,50;1,00
2021-10-31;6,00;1,00;14,00;1,00;1,00
2021-11-07;5,00;2,00;24,00;0,50;1,00
2021-11-14;9,00;2,00;51,00;1,00;1,00
2021-11-21;4,00;1,00;17,00;0,50;2,00
2021-11-28;5,00;2,00;13,00;1,00;1,00
2021-12-05;4,00;3,00;12,00;0,50;0,50
2021-12-12;3,00;10,00;15,00;0,50;2,00
2021-12-19;4,00;2,00;15,00;1,00;1,00
2021-12-26;8,00;2,00;22,00;1,00;2,00
2022-01-02;7,00;1,00;17,00;1,00;2,00
2022-01-09;20,00;1,00;21,00;1,00;2,00
2022-01-16;18,00;4,00;44,00;6,00;2,00
2022-01-23;9,00;2,00;27,00;1,00;2,00
2022-01-30;10,00;1,00;21,00;1,00;3,00
2022-02-06;7,00;2,00;20,00;1,00;1,00
2022-02-13;7,00;2,00;19,00;1,00;1,00
2022-02-20;6,00;1,00;18,00;1,00;1,00
2022-02-27;4,00;2,00;20,00;2,00;1,00
