Semaine;Réunion (RE);Mayotte (YT);Maurice (MU);Seychelles (SC);Zanzibar (TZ);Madagascar (MG)
2019-01-06;19,00;2,11;211,11;105,56;0,00;14,00
2019-01-13;12,00;2,00;180,00;88,00;1,00;15,00
2019-01-20;14,00;1,17;191,33;102,67;1,17;14,00
2019-01-27;15,00;1,07;147,86;94,29;1,07;13,00
2019-02-03;12,00;2,00;134,00;74,00;2,00;16,00
2019-02-10;9,00;2,25;146,25;101,25;2,25;12,00
2019-02-17;15,00;2,14;124,29;92,14;0,00;10,00
2019-02-24;10,00;4,00;128,00;78,00;1,00;17,00
2019-03-03;14,00;7,00;161,00;91,00;0,00;16,00
2019-03-10;11,00;1,10;140,80;81,40;0,00;9,00
2019-03-17;16,00;4,57;141,71;102,86;2,29;11,00
2019-03-24;13,00;2,17;132,17;84,50;0,00;12,00
2019-03-31;12,00;2,40;127,20;91,20;2,40;10,00
2019-04-07;10,00;4,00;132,00;80,00;1,00;12,00
2019-04-14;10,00;2,50;120,00;97,50;1,25;17,00
2019-04-21;12,00;2,40;165,60;81,60;1,20;11,00
2019-04-28;12,00;1,00;126,00;68,00;1,00;7,00
2019-05-05;18,00;1,13;112,50;81,00;2,25;16,00
2019-05-12;8,00;2,00;122,00;78,00;1,00;13,00
2019-05-19;10,00;2,00;124,00;78,00;2,00;16,00
2019-05-26;13,00;1,08;138,67;65,00;1,08;12,00
2019-06-02;16,00;2,29;141,71;84,57;2,29;11,00
2019-06-09;17,00;1,06;153,00;76,50;2,13;13,00
2019-06-16;13,00;2,17;125,67;93,17;0,00;12,00
2019-06-23;15,00;2,14;117,86;81,43;1,07;11,00
2019-06-30;9,00;0,00;130,50;94,50;1,13;13,00
2019-07-07;12,00;2,00;124,00;72,00;2,00;24,00
2019-07-14;12,00;2,40;148,80;93,60;2,40;9,00
2019-07-21;12,00;2,00;126,00;86,00;2,00;13,00
2019-07-28;13,00;2,17;138,67;97,50;2,17;15,00
2019-08-04;42,00;1,05;140,70;90,30;1,05;10,00
2019-08-11;13,00;1,08;138,67;91,00;2,17;13,00
2019-08-18;17,00;4,25;138,13;74,38;2,13;16,00
2019-08-25;12,00;1,00;132,00;84,00;0,00;11,00
2019-09-01;15,00;2,14;137,14;92,14;1,07;12,00
2019-09-08;17,00;2,13;159,38;91,38;1,06;16,00
2019-09-15;15,00;2,14;141,43;81,43;6,43;11,00
2019-09-22;13,00;2,17;156,00;82,33;2,17;14,00
2019-09-29;17,00;4,25;125,38;82,88;0,00;11,00
2019-10-06;14,00;4,67;147,00;95,67;1,17;11,00
2019-10-13;9,00;4,50;126,00;94,50;1,13;10,00
2019-10-20;13,00;6,50;119,17;78,00;1,08;12,00
2019-10-27;11,00;1,10;110,00;81,40;1,10;15,00
2019-11-03;54,00;2,16;123,12;79,92;0,00;11,00
2019-11-10;18,00;1,00;114,00;58,00;2,00;10,00
2019-11-17;13,00;4,33;101,83;73,67;2,17;14,00
2019-11-24;10,00;4,00;104,00;60,00;2,00;9,00
2019-12-01;9,00;1,13;105,75;74,25;1,13;7,00
2019-12-08;14,00;4,00;84,00;54,00;1,00;10,00
2019-12-15;13,00;2,17;97,50;75,83;2,17;12,00
2019-12-22;14,00;2,00;130,00;76,00;2,00;17,00
2019-12-29;13,00;2,17;195,00;104,00;2,17;31,00
2020-01-05;18,00;4,50;209,25;112,50;2,25;19,00
2020-01-12;20,00;2,22;193,33;108,89;2,22;15,00
2020-01-19;16,00;2,29;182,86;107,43;1,14;16,00
2020-01-26;12,00;4,80;184,80;117,60;2,40;13,00
2020-02-02;12,00;1,20;160,80;108,00;2,40;15,00
2020-02-09;11,00;4,40;145,20;81,40;1,10;15,00
2020-02-16;13,00;4,33;143,00;97,50;2,17;14,00
2020-02-23;11,00;4,40;129,80;77,00;0,00;12,00
2020-03-01;13,00;4,33;99,67;80,17;2,17;10,00
2020-03-08;17,00;2,13;97,75;78,63;2,13;10,00
2020-03-15;9,00;6,75;96,75;83,25;1,13;7,00
2020-03-22;13,00;4,33;52,00;47,67;1,08;6,00
2020-03-29;12,00;4,00;38,00;46,00;1,00;9,00
2020-04-05;11,00;2,20;68,20;61,60;1,10;6,00
2020-04-12;13,00;2,17;136,50;56,33;1,08;13,00
2020-04-19;10,00;4,00;60,00;58,00;1,00;8,00
2020-04-26;9,00;2,25;60,75;49,50;2,25;9,00
2020-05-03;8,00;6,00;44,00;46,00;0,00;10,00
2020-05-10;7,00;4,67;60,67;46,67;0,00;8,00
2020-05-17;8,00;2,00;50,00;46,00;1,00;7,00
2020-05-24;9,00;2,25;63,00;58,50;0,00;3,00
2020-05-31;10,00;4,00;58,00;42,00;1,00;9,00
