Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;11,00;27,00;3,00;0,00;2,00;21,00;2,00;4,00;16,00;24,00;1,00;1,00;1,00;1,00;15,00;1,00;1,00;1,00;1,00;0,50;1,00;3,00;2,00;0,00;0,50;0,00;0,00;1,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00
2019-01-13;12,00;28,00;2,00;0,00;2,00;21,00;2,00;5,00;18,00;20,00;2,00;1,00;2,00;1,00;18,00;1,00;0,50;0,50;1,00;0,50;1,00;4,00;1,00;0,00;0,50;0,00;0,00;1,00;0,00;0,00;0,50;0,00;0,50;0,00;0,50;0,00;0,00;0,00;0,00;0,00
2019-01-20;10,00;28,00;2,00;0,00;1,00;18,00;3,00;4,00;18,00;27,00;1,00;2,00;2,00;1,00;18,00;1,00;0,50;0,50;1,00;0,50;1,00;2,00;1,00;0,00;0,00;0,00;0,50;1,00;0,00;0,00;0,50;0,00;0,50;0,00;0,00;0,50;0,00;0,00;0,00;0,00
2019-01-27;6,00;29,00;1,00;0,00;2,00;22,00;3,00;5,00;16,00;26,00;1,00;2,00;2,00;1,00;16,00;1,00;0,50;0,50;1,00;1,00;1,00;3,00;2,00;0,50;0,50;0,50;0,00;1,00;0,50;0,00;0,50;0,00;0,50;0,00;0,00;0,50;0,00;0,00;0,00;0,00
2019-02-03;6,00;27,00;2,00;0,00;2,00;20,00;3,00;4,00;17,00;23,00;2,00;3,00;1,00;2,00;15,00;0,50;0,50;1,00;1,00;0,50;1,00;3,00;2,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,50;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;6,00;29,00;3,00;0,00;2,00;21,00;4,00;6,00;18,00;24,00;2,00;3,00;1,00;2,00;14,00;1,00;0,00;1,00;1,00;1,00;1,00;3,00;1,00;0,00;0,50;0,00;0,50;1,00;0,50;0,00;0,50;0,50;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;8,00;31,00;2,00;0,00;3,00;24,00;2,00;5,00;19,00;25,00;1,00;3,00;1,00;1,00;15,00;1,00;0,50;0,50;1,00;1,00;2,00;3,00;2,00;0,00;0,50;0,00;0,50;1,00;0,50;0,50;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;8,00;32,00;2,00;0,00;3,00;20,00;3,00;7,00;21,00;32,00;2,00;4,00;1,00;1,00;19,00;1,00;0,50;1,00;1,00;1,00;1,00;4,00;3,00;0,00;0,50;0,50;0,50;3,00;0,00;0,50;0,50;0,00;0,50;0,00;0,00;0,50;0,00;0,00;0,00;0,00
2019-03-03;8,00;32,00;3,00;0,00;2,00;24,00;5,00;7,00;21,00;34,00;2,00;4,00;2,00;1,00;18,00;1,00;0,50;1,00;1,00;1,00;2,00;3,00;2,00;0,00;0,50;0,00;0,50;2,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00
2019-03-10;6,00;34,00;3,00;0,00;2,00;26,00;4,00;7,00;20,00;29,00;1,00;3,00;2,00;1,00;18,00;1,00;0,50;1,00;0,50;1,00;2,00;4,00;2,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;7,00;36,00;4,00;0,00;1,00;29,00;5,00;9,00;24,00;31,00;1,00;4,00;1,00;1,00;20,00;1,00;0,50;1,00;1,00;1,00;2,00;3,00;3,00;0,00;0,50;0,00;0,50;2,00;0,00;0,00;0,50;0,00;0,00;0,50;0,50;0,00;0,50;0,00;0,00;0,00
2019-03-24;8,00;34,00;3,00;0,00;2,00;28,00;5,00;9,00;23,00;32,00;1,00;3,00;1,00;2,00;17,00;1,00;0,50;0,50;1,00;1,00;2,00;4,00;3,00;0,00;1,00;0,00;0,00;2,00;0,50;0,50;0,50;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,50
2019-03-31;14,00;33,00;3,00;0,00;2,00;23,00;4,00;9,00;20,00;36,00;1,00;2,00;2,00;2,00;17,00;1,00;0,50;1,00;1,00;1,00;2,00;4,00;4,00;0,00;0,50;0,00;0,50;2,00;0,50;0,00;0,50;0,00;0,50;0,50;0,50;0,00;0,00;0,00;0,00;0,00
2019-04-07;15,00;36,00;2,00;0,00;2,00;31,00;4,00;8,00;22,00;37,00;2,00;2,00;2,00;2,00;18,00;1,00;0,50;1,00;1,00;1,00;3,00;6,00;4,00;0,50;0,50;0,00;0,00;2,00;0,00;0,00;0,50;0,00;0,50;0,50;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;20,00;35,00;3,00;0,00;2,00;26,00;5,00;6,00;23,00;32,00;2,00;2,00;2,00;2,00;17,00;1,00;0,50;0,50;1,00;1,00;4,00;6,00;6,00;0,00;0,50;0,00;0,00;2,00;0,00;0,00;1,00;0,00;0,50;0,50;0,00;0,50;0,00;0,00;0,00;0,00
2019-04-21;21,00;37,00;3,00;0,00;2,00;35,00;4,00;6,00;26,00;41,00;2,00;2,00;2,00;2,00;22,00;2,00;0,50;1,00;2,00;1,00;4,00;7,00;6,00;0,00;0,50;0,00;0,50;3,00;0,00;0,50;0,50;0,00;0,50;0,50;0,50;0,00;0,00;0,00;0,00;0,00
2019-04-28;16,00;41,00;3,00;0,00;1,00;33,00;4,00;7,00;29,00;38,00;2,00;2,00;2,00;3,00;19,00;2,00;0,00;1,00;2,00;1,00;3,00;5,00;4,00;0,50;0,50;0,00;0,50;2,00;0,00;0,50;0,50;0,00;0,50;0,50;0,50;0,00;0,00;0,00;0,00;0,00
2019-05-05;15,00;40,00;3,00;0,00;2,00;34,00;5,00;8,00;25,00;41,00;2,00;1,00;2,00;3,00;24,00;1,00;0,50;1,00;1,00;0,50;2,00;6,00;3,00;0,00;0,50;0,50;0,50;2,00;0,00;0,50;0,50;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;14,00;37,00;3,00;0,50;1,00;33,00;5,00;6,00;26,00;37,00;2,00;2,00;2,00;2,00;22,00;1,00;0,50;1,00;1,00;0,50;2,00;5,00;3,00;0,50;0,00;0,00;0,00;2,00;0,00;0,50;0,00;0,50;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00
