Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;42,00;312,00;132,00;0,00;42,00;261,33;4,67;116,67;144,67;107,63;47,25;81,38;36,75;23,56;42,00;10,24;12,29;10,96;9,13;3,65;14,61;17,00;5,00;21,00;1,00;0,00;19,00;4,00;0,00;3,00;3,00;4,00;0,00;1,00;1,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00
2019-01-13;45,00;303,75;106,88;0,00;50,63;252,00;4,50;112,50;130,50;140,29;45,00;79,41;34,41;34,77;53,18;12,27;3,07;12,60;16,20;12,60;7,20;24,00;3,00;24,00;4,00;0,00;15,00;0,00;0,00;7,00;3,00;0,00;0,00;4,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00
2019-01-20;43,00;258,00;92,14;0,00;49,14;210,22;4,78;76,44;100,33;112,88;51,06;56,44;26,88;25,60;29,69;9,21;7,17;1,79;1,79;5,38;10,75;8,00;4,00;27,00;6,00;0,00;15,00;0,00;1,00;5,00;1,00;1,00;1,00;3,00;1,00;1,00;1,00;1,00;0,00;1,00;0,00;1,00;0,00
2019-01-27;18,00;240,00;138,00;0,00;60,00;184,50;4,50;58,50;108,00;113,14;36,00;69,43;38,57;38,12;49,76;7,41;7,41;3,60;9,00;5,40;12,60;14,00;5,00;10,00;1,00;0,00;9,00;1,00;0,00;1,00;1,00;1,00;1,00;4,00;0,00;1,00;0,00;0,00;1,00;0,00;1,00;0,00;0,00
2019-02-03;22,00;242,00;99,00;0,00;55,00;171,60;4,40;52,80;101,20;74,25;41,25;79,75;33,00;45,00;40,00;10,00;5,00;1,83;1,83;7,33;11,00;10,00;5,00;16,00;7,00;1,00;49,00;3,00;1,00;4,00;3,00;3,00;1,00;5,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;0,00;0,00
2019-02-10;24,00;252,00;120,00;0,00;72,00;187,20;9,60;76,80;100,80;74,67;40,00;72,00;42,67;24,00;41,74;9,39;8,35;9,23;1,85;11,08;7,38;17,00;3,00;16,00;3,00;0,00;9,00;3,00;0,00;1,00;0,00;0,00;0,00;4,00;0,00;4,00;1,00;0,00;0,00;1,00;0,00;1,00;0,00
2019-02-17;28,00;257,60;84,00;0,00;39,20;163,33;4,67;56,00;93,33;94,18;38,18;45,82;58,55;31,00;37,00;8,00;5,00;3,73;1,87;9,33;7,47;15,00;12,00;12,00;4,00;0,00;7,00;1,00;1,00;5,00;1,00;4,00;0,00;7,00;0,00;3,00;0,00;0,00;0,00;0,00;1,00;1,00;0,00
2019-02-24;37,00;252,83;98,67;0,00;61,67;171,13;9,25;41,63;92,50;97,79;34,36;68,71;47,57;19,53;41,11;5,14;9,25;5,55;7,40;11,10;9,25;19,00;9,00;17,00;3,00;1,00;11,00;3,00;4,00;0,00;1,00;0,00;1,00;4,00;0,00;1,00;1,00;0,00;0,00;0,00;1,00;1,00;0,00
2019-03-03;33,00;220,00;71,50;0,00;49,50;207,43;4,71;33,00;89,57;88,00;33,00;66,00;41,25;26,81;55,69;13,41;0,00;1,83;5,50;7,33;1,83;14,00;12,00;15,00;4,00;0,00;7,00;1,00;1,00;4,00;1,00;3,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;0,00
2019-03-10;31,00;235,60;124,00;0,00;43,40;212,57;4,43;57,57;84,14;74,92;38,75;56,83;38,75;36,17;29,97;10,33;6,20;10,94;10,94;16,41;12,76;22,00;9,00;14,00;6,00;0,00;8,00;1,00;1,00;6,00;8,00;3,00;0,00;0,00;3,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
