Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;44,00;169,71;81,71;50,29;176,00;14,67;29,33;733,33;29,33;11,00;55,00;330,00;77,00;366,67;14,67;33,00;143,00;40,86;44,00;40,86;34,57;13,00;13,00;81,00;7,00;7,00;0,00;11,00;4,00;7,00;14,00;47,00;0,00;23,83;23,83;0,00;183,33;3,00;7,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;58,00;103,11;51,56;64,44;199,78;43,50;29,00;514,75;29,00;29,00;29,00;266,80;69,60;305,47;3,87;19,33;127,60;34,49;47,03;34,49;23,51;14,25;10,18;79,37;7,12;3,00;18,00;7,00;7,00;14,00;3,00;34,00;0,00;34,44;16,31;3,63;119,63;3,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;62,00;103,33;75,78;41,33;124,00;15,50;23,25;403,00;31,00;28,18;28,18;129,64;39,45;207,88;3,65;14,59;91,18;27,03;49,28;19,08;23,85;6,00;39,00;52,00;0,00;3,00;7,00;20,00;10,00;0,00;3,00;46,00;7,00;12,40;19,49;0,00;74,40;7,00;7,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;29,00;87,00;43,50;65,25;72,50;36,25;29,00;355,25;43,50;40,60;23,20;162,40;63,80;210,25;10,88;29,00;58,00;37,06;29,00;9,67;16,11;16,00;10,00;58,00;26,00;3,00;7,00;13,00;13,00;6,00;3,00;29,00;3,00;7,25;23,56;0,00;61,63;10,00;6,00;3,00;0,00;0,00;0,00;0,00
2019-02-03;27,00;74,25;60,75;54,00;101,25;13,50;20,25;297,00;20,25;16,20;21,60;183,60;37,80;192,86;7,71;30,86;77,14;14,29;30,18;30,18;6,35;7,00;10,00;60,00;0,00;3,00;3,00;3,00;17,00;7,00;7,00;24,00;0,00;30,60;19,80;3,60;46,80;10,00;7,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;37,00;92,50;30,83;43,17;117,17;7,40;14,80;370,00;22,20;10,57;31,71;126,86;52,86;277,50;0,00;22,20;85,10;32,38;29,29;20,04;13,88;13,00;17,00;64,00;0,00;3,00;7,00;11,00;11,00;7,00;3,00;24,00;0,00;26,43;15,86;0,00;82,81;0,00;7,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;41,00;116,17;61,50;54,67;109,33;41,00;32,80;451,00;32,80;11,71;17,57;134,71;41,00;234,82;7,45;41,00;63,36;17,35;44,15;26,81;11,04;17,00;3,00;86,00;3,00;0,00;7,00;7,00;11,00;7,00;0,00;34,00;0,00;23,17;14,26;0,00;71,30;10,00;7,00;0,00;3,00;0,00;0,00;0,00
2019-02-24;41,00;95,67;88,83;68,33;102,50;32,80;49,20;459,20;32,80;29,29;17,57;134,71;41,00;193,82;3,73;22,36;74,55;9,46;29,96;37,85;6,31;13,33;7,18;58,43;7,18;0,00;3,00;4,00;11,00;10,00;14,00;24,00;0,00;19,61;19,61;0,00;57,04;3,00;7,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;34,00;115,60;74,80;61,20;88,40;34,00;42,50;391,00;34,00;11,33;11,33;141,67;39,67;207,78;11,33;7,56;49,11;14,57;27,52;14,57;14,57;10,30;7,21;76,24;7,21;0,00;0,00;11,00;14,00;0,00;0,00;20,00;0,00;12,53;12,53;10,74;64,42;3,00;3,00;10,00;0,00;0,00;0,00;0,00
2019-03-10;20,00;66,67;106,67;40,00;106,67;26,67;13,33;273,33;20,00;25,00;25,00;165,00;55,00;192,00;0,00;8,00;88,00;23,08;23,08;15,38;9,23;3,00;13,00;49,00;0,00;0,00;10,00;3,00;10,00;3,00;7,00;3,00;0,00;0,00;12,73;0,00;47,27;0,00;3,00;3,00;0,00;0,00;0,00;0,00
