Semaine;Nice (FR);Paris (FR);London (GB);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;42,00;616,00;644,00;308,00;226,80;12,60;180,60;264,60;273,00;289,80;105,00;176,40;179,20;126,00;123,20;16,80;91,00;120,75;14,00;59,50;21,00;105,00;54,00;75,00;17,06;44,63;28,88;56,44;9,00;9,00;5,00;5,00;15,00;3,00;3,00
2019-01-13;45,00;585,00;600,00;315,00;216,82;20,45;175,91;261,82;184,09;278,18;102,27;155,45;143,44;106,88;112,50;14,06;83,08;145,38;17,31;69,23;21,00;117,00;67,50;81,00;21,18;35,74;35,74;64,85;7,00;11,00;4,00;3,00;16,00;1,00;4,00
2019-01-20;43,00;516,00;587,67;258,00;240,80;25,80;180,60;240,80;206,40;240,80;111,80;176,30;151,93;94,60;86,00;11,47;86,00;141,04;22,36;41,28;19,28;80,07;66,72;50,41;13,03;32,58;35,18;36,48;5,00;10,00;15,00;3,00;9,00;1,00;1,00
2019-01-27;18,00;648,00;756,00;360,00;220,50;9,00;180,00;292,50;175,50;324,00;153,00;211,50;138,00;96,00;120,00;18,00;55,80;122,40;21,60;75,60;13,50;106,50;51,00;70,50;19,38;37,38;6,92;23,54;9,00;10,00;6,00;6,00;8,00;1,00;1,00
2019-02-03;22,00;880,00;924,00;418,00;228,80;13,20;176,00;246,40;184,80;312,40;123,20;220,00;151,25;74,25;93,50;16,50;55,85;110,00;11,85;52,46;19,07;79,20;61,60;68,93;11,65;42,71;3,88;46,59;5,00;14,00;4,00;4,00;9,00;3,00;4,00
2019-02-10;24,00;912,00;936,00;384,00;200,00;20,00;184,00;244,00;148,00;284,00;148,00;184,00;180,00;111,00;111,00;21,00;44,57;125,14;18,86;68,57;22,50;99,00;45,00;55,50;14,67;24,00;4,00;49,33;5,00;7,00;7,00;11,00;9,00;0,00;0,00
2019-02-17;28,00;504,00;574,00;294,00;220,00;12,00;172,00;280,00;156,00;252,00;132,00;200,00;151,20;106,40;103,60;16,80;59,50;119,00;52,50;59,50;20,63;91,37;48,63;47,16;17,33;30,67;4,00;50,67;15,00;12,00;5,00;4,00;17,00;3,00;1,00
2019-02-24;37,00;795,50;795,50;370,00;217,89;16,44;238,44;238,44;160,33;234,33;123,33;185,00;133,77;130,92;102,46;5,69;56,38;137,43;8,81;56,38;29,60;78,44;63,64;44,40;23,79;23,79;7,93;43,61;12,00;7,00;4,00;4,00;4,00;1,00;1,00
2019-03-03;33,00;676,50;709,50;330,00;189,75;12,38;301,13;251,63;148,50;239,25;148,50;202,13;123,75;112,75;77,00;11,00;57,32;133,74;12,16;53,84;18,00;82,50;64,50;51,00;17,16;46,20;6,60;31,68;12,00;4,00;13,00;3,00;11,00;0,00;4,00
2019-03-10;31,00;635,50;635,50;341,00;252,43;22,14;203,71;305,57;163,86;252,43;150,57;203,71;126,82;95,82;90,18;19,73;58,56;146,39;37,89;82,67;33,95;85,62;81,19;47,24;9,43;57,96;9,43;52,57;16,00;12,00;5,00;6,00;9,00;1,00;0,00
2019-03-17;22,00;770,00;792,00;374,00;206,80;8,80;158,40;246,40;167,20;237,60;149,60;184,80;115,50;101,75;66,00;8,25;58,67;111,83;7,33;69,67;19,07;85,07;46,93;58,67;19,41;29,76;3,88;37,53;9,00;12,00;4,00;5,00;10,00;8,00;0,00
