Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;45,00;61,88;7,50;0,94;7,50;28,00;1,00;2,00;19,00;270,00;18,00;9,00;4,50;7,11;194,21;7,11;2,37;6,00;2,00;8,00;1,00;93,10;10,86;21,72;6,21;0,00;1,00;0,00;1,00;7,00;1,00;0,00;0,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00;0,50;0,00;0,00
2019-01-13;45,00;65,63;5,63;0,00;7,50;28,00;0,50;1,00;17,00;265,50;13,50;13,50;9,00;7,11;142,11;7,11;1,18;6,00;4,00;6,00;1,00;105,52;9,31;18,62;4,66;0,50;0,50;0,00;0,00;10,00;2,00;0,00;1,00;2,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;49,00;54,44;7,26;0,00;3,63;26,00;2,00;1,00;24,00;289,55;22,27;8,91;8,91;7,00;126,00;7,00;0,00;6,00;2,00;6,00;1,00;93,41;10,72;27,56;6,13;0,50;2,00;0,00;0,50;11,00;2,00;0,50;0,00;1,00;0,00;1,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00
2019-01-27;41,00;61,50;5,59;0,00;7,45;28,00;1,00;1,00;18,00;259,67;18,22;4,56;9,11;7,24;127,82;7,24;1,21;4,00;1,00;11,00;0,50;100,92;9,46;23,65;3,15;0,00;0,00;0,00;0,50;8,00;1,00;0,00;0,50;1,00;0,50;0,50;0,50;0,50;0,00;0,00;0,00;0,00;0,00
2019-02-03;51,00;56,67;7,56;0,00;9,44;29,00;1,00;1,00;22,00;236,45;13,91;9,27;4,64;9,71;111,71;7,29;2,43;4,00;3,00;6,00;0,50;100,45;9,27;17,00;6,18;0,00;2,00;1,00;0,50;8,00;2,00;0,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;50,00;55,56;9,26;0,00;7,41;34,00;2,00;4,00;20,00;231,82;22,73;9,09;4,55;4,76;109,52;9,52;2,38;4,00;3,00;3,00;0,50;100,00;9,38;23,44;4,69;0,00;0,50;0,00;0,00;8,00;2,00;0,00;0,00;3,00;0,00;1,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00
2019-02-17;44,00;67,83;7,33;0,00;3,67;31,00;3,00;1,00;28,00;246,40;17,60;13,20;4,40;6,95;108,84;9,26;2,32;7,00;1,00;6,00;0,50;109,24;9,10;22,76;4,55;0,00;2,00;0,00;0,00;11,00;0,00;1,00;0,50;2,00;0,00;1,00;0,00;0,00;0,50;0,00;0,00;0,50;0,00
2019-02-24;49,00;71,62;7,54;0,00;7,54;27,00;1,00;3,00;20,00;262,82;13,36;8,91;4,45;9,80;117,60;9,80;2,45;7,00;2,00;7,00;0,50;110,65;9,48;20,55;6,32;0,00;0,50;0,00;0,50;7,00;1,00;0,00;0,00;1,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,50
2019-03-03;54,00;65,17;5,59;0,00;9,31;33,00;2,00;4,00;25,00;265,50;18,00;13,50;9,00;7,36;125,18;7,36;1,23;6,00;3,00;8,00;1,00;114,17;15,43;23,14;4,63;0,00;0,50;0,00;2,00;12,00;0,00;0,00;0,00;2,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;62,00;105,76;7,29;0,00;9,12;29,00;2,00;2,00;20,00;252,43;22,14;13,29;4,43;9,54;102,54;9,54;2,38;9,00;3,00;7,00;1,00;110,05;10,85;24,80;7,75;0,50;1,00;0,00;1,00;8,00;2,00;0,00;0,50;2,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
