Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;78,00;6,00;6,00;1,00;12,00;9,00;3,00;3,00;0,00;6,72;0,00;32,28;71,28;6,00;1,00;30,00;4,00;4,95;0,00;58,19;2,48;0,00;3,00;6,00;1,00;0,00;4,00;0,00;9,00;4,00;10,00;6,00;0,00;6,00;3,00;0,00;0,00;3,00;4,00;3,00;0,00;0,00;0,00;0,00
2019-01-13;87,00;7,00;1,00;1,00;1,00;11,00;4,00;1,00;3,00;0,00;2,72;28,55;91,08;0,00;0,00;18,00;3,00;2,49;0,00;63,39;1,24;0,00;6,00;0,00;0,00;1,00;4,00;0,00;6,00;3,00;6,00;3,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-01-20;72,00;1,00;8,00;1,00;4,00;7,00;4,00;6,00;0,00;5,43;1,36;21,74;73,36;3,00;1,00;18,00;1,00;2,48;0,00;50,90;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;4,00;1,00;1,00;10,00;0,00;14,00;3,00;0,00;1,00;0,00;6,00;0,00;1,00;0,00;0,00;0,00
2019-01-27;69,00;1,00;3,00;3,00;1,00;4,00;6,00;1,00;1,00;0,00;1,38;20,70;67,62;1,00;1,00;14,00;3,00;2,51;1,25;51,44;1,25;0,00;3,00;3,00;1,00;1,00;3,00;0,00;6,00;7,00;7,00;6,00;0,00;6,00;3,00;0,00;0,00;0,00;4,00;1,00;1,00;0,00;0,00;0,00
2019-02-03;52,00;3,00;4,00;0,00;7,00;5,00;4,00;1,00;0,00;0,00;0,00;23,26;75,26;3,00;1,00;9,00;1,00;3,71;0,00;34,67;1,24;0,00;11,00;1,00;0,00;3,00;1,00;0,00;11,00;3,00;8,00;10,00;0,00;4,00;1,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;66,00;4,00;10,00;3,00;6,00;4,00;1,00;0,00;0,00;1,35;0,00;10,78;61,96;1,00;1,00;19,00;1,00;2,49;1,25;57,28;0,00;1,00;19,00;0,00;1,00;3,00;0,00;0,00;8,00;7,00;3,00;10,00;0,00;10,00;1,00;1,00;1,00;1,00;8,00;0,00;1,00;0,00;0,00;0,00
2019-02-17;67,00;0,00;15,00;1,00;3,00;1,00;1,00;0,00;0,00;1,37;1,37;9,57;77,94;1,00;0,00;14,00;1,00;4,96;0,00;52,11;1,24;0,00;6,00;3,00;0,00;0,00;0,00;0,00;8,00;4,00;6,00;0,00;1,00;6,00;1,00;0,00;0,00;1,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;65,00;3,00;10,00;1,00;1,00;3,00;3,00;3,00;1,00;2,77;2,77;23,51;99,57;4,00;1,00;18,00;0,00;5,00;0,00;41,25;1,25;0,00;5,00;1,00;0,00;3,00;0,00;0,00;4,00;3,00;1,00;5,00;0,00;8,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;66,00;6,00;10,00;1,00;0,00;6,00;4,00;1,00;0,00;0,00;0,00;9,43;76,78;0,00;0,00;14,00;0,00;1,25;0,00;34,87;0,00;0,00;8,00;1,00;3,00;0,00;0,00;0,00;1,00;7,00;6,00;7,00;0,00;8,00;1,00;0,00;0,00;0,00;4,00;1,00;0,00;0,00;0,00;0,00
2019-03-10;48,00;1,00;7,00;0,00;4,00;7,00;1,00;3,00;3,00;0,00;0,00;9,60;57,60;1,00;1,00;10,00;3,00;1,26;0,00;36,63;2,53;0,00;7,00;1,00;0,00;0,00;1,00;0,00;1,00;7,00;1,00;3,00;0,00;7,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;74,00;0,00;4,00;0,00;3,00;3,00;0,00;4,00;1,00;0,00;1,37;15,07;58,93;0,00;0,00;10,00;0,00;1,25;0,00;35,12;0,00;0,00;1,00;1,00;0,00;1,00;6,00;1,00;4,00;3,00;3,00;1,00;0,00;6,00;1,00;0,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;54,00;3,00;7,00;1,00;3,00;3,00;0,00;0,00;0,00;1,35;0,00;6,75;56,70;0,00;1,00;13,00;1,00;6,14;1,23;23,32;1,23;0,00;9,00;0,00;0,00;0,00;3,00;1,00;7,00;3,00;1,00;6,00;0,00;7,00;1,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;47,00;3,00;7,00;0,00;4,00;1,00;0,00;3,00;0,00;0,00;0,00;9,40;42,97;1,00;0,00;9,00;1,00;2,47;0,00;35,87;1,24;0,00;7,00;0,00;0,00;0,00;3,00;0,00;3,00;1,00;6,00;6,00;0,00;16,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;58,00;0,00;9,00;1,00;3,00;0,00;0,00;1,00;0,00;0,00;0,00;5,52;63,52;0,00;0,00;10,00;0,00;6,30;1,26;36,57;0,00;0,00;3,00;1,00;0,00;0,00;0,00;0,00;6,00;3,00;1,00;3,00;0,00;6,00;1,00;0,00;0,00;3,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;32,00;3,00;3,00;1,00;1,00;1,00;1,00;1,00;1,00;1,33;1,33;6,67;77,33;0,00;1,00;3,00;0,00;1,23;1,23;39,38;2,46;0,00;4,00;0,00;0,00;3,00;3,00;0,00;3,00;3,00;0,00;3,00;0,00;4,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;34,00;0,00;9,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;5,44;50,32;0,00;1,00;12,00;0,00;1,26;1,26;18,89;0,00;0,00;3,00;1,00;0,00;0,00;1,00;0,00;1,00;1,00;1,00;0,00;0,00;7,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;44,00;3,00;9,00;0,00;1,00;4,00;1,00;3,00;1,00;4,13;1,38;6,88;39,88;1,00;0,00;4,00;3,00;2,51;1,26;30,17;1,26;0,00;3,00;3,00;0,00;0,00;0,00;0,00;3,00;3,00;1,00;0,00;0,00;10,00;0,00;1,00;0,00;0,00;3,00;1,00;0,00;0,00;0,00;0,00
2019-05-05;34,00;3,00;3,00;1,00;3,00;1,00;1,00;0,00;0,00;1,36;0,00;6,80;59,84;0,00;0,00;6,00;1,00;0,00;0,00;30,36;0,00;0,00;1,00;1,00;0,00;1,00;1,00;0,00;3,00;1,00;0,00;1,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;44,00;1,00;10,00;3,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00;6,67;53,33;0,00;0,00;4,00;0,00;1,22;1,22;40,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;3,00;1,00;3,00;0,00;6,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;45,00;1,00;4,00;1,00;0,00;4,00;3,00;3,00;1,00;1,36;1,36;5,45;51,82;0,00;0,00;10,00;4,00;1,25;1,25;27,50;1,25;1,00;3,00;0,00;0,00;0,00;1,00;0,00;9,00;0,00;1,00;4,00;0,00;9,00;1,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;53,00;2,00;8,00;3,00;8,00;6,00;0,00;12,00;0,00;0,00;0,00;24,46;129,10;14,00;2,00;9,00;2,00;0,00;0,00;61,63;1,23;0,00;5,00;8,00;0,00;2,00;0,00;0,00;5,00;3,00;2,00;21,00;2,00;12,00;8,00;0,00;3,00;2,00;3,00;3,00;0,00;0,00;2,00;0,00
2019-06-02;63,00;1,00;9,00;3,00;1,00;4,00;3,00;1,00;1,00;0,00;0,00;4,02;57,64;1,00;1,00;3,00;3,00;2,47;0,00;29,65;0,00;0,00;7,00;0,00;0,00;0,00;4,00;0,00;0,00;3,00;3,00;4,00;0,00;1,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;51,00;1,00;7,00;0,00;1,00;4,00;3,00;0,00;1,00;1,34;0,00;8,05;80,53;0,00;0,00;6,00;0,00;1,24;1,24;27,37;1,24;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;3,00;0,00;6,00;0,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00
2019-06-16;53,00;4,00;4,00;0,00;0,00;1,00;3,00;3,00;0,00;0,00;0,00;5,44;55,72;0,00;3,00;4,00;0,00;7,40;0,00;43,14;2,47;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;3,00;3,00;3,00;0,00;10,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-06-23;62,00;0,00;12,00;3,00;3,00;0,00;1,00;0,00;0,00;0,00;0,00;5,51;71,64;0,00;1,00;1,00;3,00;2,48;0,00;27,28;0,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;6,00;3,00;1,00;1,00;0,00;1,00;2,00;0,00;0,00;3,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-06-30;62,00;2,00;15,00;11,00;3,00;5,00;0,00;2,00;0,00;2,76;0,00;1,38;57,87;0,00;0,00;6,00;0,00;7,44;0,00;43,40;7,44;0,00;5,00;0,00;0,00;0,00;0,00;0,00;3,00;2,00;8,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00
2019-07-07;54,00;0,00;9,00;0,00;1,00;1,00;4,00;7,00;0,00;2,70;0,00;6,75;47,25;0,00;1,00;6,00;3,00;2,45;0,00;35,59;15,95;0,00;3,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;4,00;4,00;0,00;7,00;0,00;0,00;0,00;3,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-07-14;67,00;0,00;18,00;7,00;0,00;3,00;1,00;8,00;0,00;0,00;0,00;2,73;53,33;0,00;0,00;6,00;3,00;8,69;1,24;13,65;1,24;0,00;3,00;1,00;0,00;0,00;0,00;0,00;3,00;3,00;1,00;1,00;0,00;4,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-07-21;65,00;14,00;14,00;5,00;0,00;20,00;2,00;2,00;0,00;1,35;1,35;4,06;81,25;0,00;3,00;8,00;0,00;5,00;2,50;33,75;2,50;0,00;3,00;0,00;0,00;0,00;0,00;6,00;3,00;12,00;3,00;2,00;0,00;9,00;0,00;0,00;0,00;2,00;3,00;0,00;2,00;0,00;2,00;0,00
