Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;45,00;900,00;1095,00;195,00;540,00;540,00;7,50;330,00;90,00;176,54;103,85;131,54;183,46;135,00;405,00;78,75;11,25;290,00;410,00;20,00;110,00;22,50;86,25;52,50;54,38;15,00;35,00;38,75;15,00;7,00;4,00;2,00;4,00;23,00;2,00;2,00
2019-01-13;45,00;930,00;1035,00;210,00;525,00;495,00;7,50;315,00;90,00;169,62;107,31;131,54;190,38;135,00;382,50;78,75;11,25;255,00;400,00;25,00;140,00;22,50;84,38;41,25;54,38;18,75;27,50;50,00;22,50;8,00;5,00;3,00;8,00;18,00;1,00;3,00
2019-01-20;49,00;722,75;833,00;159,25;392,00;571,67;8,17;326,67;114,33;168,00;101,50;140,00;203,00;117,60;333,20;58,80;9,80;259,70;411,60;19,60;112,70;18,15;87,11;50,81;58,07;17,59;30,15;40,21;13,82;8,00;4,00;5,00;9,00;18,00;3,00;1,00
2019-01-27;41,00;792,67;874,67;191,33;492,00;656,00;10,25;369,00;123,00;157,17;88,83;123,00;181,08;112,75;317,75;71,75;10,25;307,50;358,75;25,63;97,38;18,64;91,32;44,73;57,77;19,22;34,59;47,41;16,66;9,00;2,00;5,00;5,00;19,00;2,00;2,00
2019-02-03;51,00;726,75;816,00;165,75;420,75;527,00;8,50;340,00;102,00;156,40;98,60;129,20;187,00;112,20;336,60;71,40;20,40;250,36;352,36;18,55;92,73;24,56;83,11;43,44;47,22;14,03;38,25;45,90;17,85;5,00;4,00;4,00;5,00;13,00;1,00;3,00
2019-02-10;50,00;700,00;837,50;162,50;425,00;583,33;8,33;300,00;116,67;160,00;96,67;126,67;170,00;110,00;370,00;70,00;10,00;270,00;370,00;20,00;90,00;22,22;74,07;40,74;53,70;21,79;33,33;41,03;19,23;9,00;7,00;4,00;10,00;16,00;3,00;5,00
2019-02-17;44,00;924,00;997,33;205,33;572,00;748,00;11,00;462,00;154,00;186,15;104,92;132,00;206,46;143,00;429,00;66,00;22,00;288,44;396,00;24,44;97,78;22,00;82,50;45,83;58,67;15,09;37,71;45,26;17,60;7,00;4,00;2,00;13,00;14,00;2,00;3,00
2019-02-24;49,00;996,33;1110,67;212,33;702,33;555,33;8,17;392,00;114,33;196,00;108,50;143,50;192,50;117,60;362,60;78,40;9,80;259,70;382,20;19,60;102,90;20,73;84,81;43,35;52,77;19,34;32,24;41,26;15,47;10,00;7,00;3,00;7,00;17,00;2,00;1,00
2019-03-03;54,00;918,00;999,00;216,00;553,50;648,00;9,00;432,00;126,00;205,88;114,75;141,75;205,88;162,00;421,20;86,40;10,80;309,27;407,45;24,55;108,00;26,07;94,97;57,72;63,31;15,43;32,14;43,71;20,57;10,00;10,00;4,00;13,00;20,00;1,00;4,00
2019-03-10;62,00;1054,00;1116,00;232,50;651,00;744,00;10,33;496,00;144,67;189,44;96,44;134,33;234,22;134,33;392,67;72,33;10,33;281,38;457,85;19,08;114,46;24,42;93,94;46,97;69,52;26,57;36,69;54,41;18,98;14,00;4,00;3,00;7,00;23,00;1,00;6,00
2019-03-17;59,00;944,00;1032,50;206,50;575,25;668,67;9,83;413,00;137,67;183,94;97,18;152,71;183,94;141,60;436,60;82,60;11,80;285,17;452,33;24,58;118,00;25,81;94,03;51,63;59,00;19,24;35,91;41,04;21,80;6,00;6,00;4,00;11,00;32,00;0,50;4,00
2019-03-24;59,00;958,75;1032,50;206,50;590,00;708,00;9,83;413,00;137,67;183,94;121,47;149,24;190,88;153,40;424,80;82,60;23,60;270,42;422,83;19,67;127,83;16,59;88,50;53,47;53,47;20,09;31,38;43,94;17,57;9,00;7,00;2,00;11,00;21,00;2,00;4,00
2019-03-31;59,00;929,25;1032,50;206,50;575,25;708,00;9,83;432,67;137,67;197,82;107,59;145,76;225,59;153,40;413,00;94,40;23,60;309,75;427,75;29,50;113,08;20,28;84,81;57,16;59,00;26,93;37,20;50,02;16,67;10,00;7,00;7,00;8,00;23,00;3,00;5,00
2019-04-07;61,00;930,25;1082,75;213,50;549,00;691,33;10,17;427,00;122,00;176,22;94,89;149,11;203,33;132,17;376,17;71,17;20,33;262,77;384,77;18,77;112,62;20,33;81,33;59,15;64,70;17,79;25,42;41,94;21,60;10,00;6,00;1,00;11,00;19,00;2,00;4,00
2019-04-14;61,00;1525,00;1067,50;228,75;671,00;752,33;10,17;427,00;142,33;196,56;108,44;125,39;210,11;132,17;376,17;71,17;20,33;305,00;370,69;18,77;98,54;27,73;81,33;42,52;53,61;16,52;26,69;45,75;22,88;11,00;6,00;3,00;10,00;26,00;3,00;5,00
2019-04-21;55,00;838,75;948,75;178,75;536,25;660,00;9,17;385,00;110,00;185,63;113,44;127,19;209,69;143,00;407,00;88,00;22,00;315,00;360,00;20,00;100,00;22,00;89,83;53,17;64,17;20,47;28,14;39,65;15,35;9,00;5,00;2,00;14,00;21,00;2,00;4,00
