Semaine;Martinique (LC);Guadeloupe (GP);Saint Martin (ile d Amérique du nord) (MF);Republique Dominicaine (DO);Sainte Lucie (LC);Barbade (BB)
2019-01-06;9,00;9,00;12,00;78,00;36,00;44,00
2019-01-13;7,00;7,00;14,00;84,00;38,50;45,00
2019-01-20;5,00;5,00;10,00;60,00;27,50;43,00
2019-01-27;6,00;6,00;9,00;69,00;27,00;39,00
2019-02-03;5,00;2,50;7,50;57,50;22,50;38,00
2019-02-10;5,00;5,00;10,00;60,00;25,00;43,00
2019-02-17;5,00;5,00;10,00;60,00;25,00;45,00
2019-02-24;5,00;2,50;10,00;60,00;22,50;42,00
2019-03-03;4,00;8,00;12,00;100,00;40,00;44,00
2019-03-10;4,00;4,00;12,00;100,00;36,00;42,00
2019-03-17;4,00;4,00;16,00;92,00;36,00;43,00
2019-03-24;4,00;4,00;12,00;88,00;32,00;42,00
2019-03-31;3,00;3,00;9,00;63,00;21,00;38,00
2019-04-07;4,00;4,00;12,00;116,00;28,00;34,00
2019-04-14;3,00;3,00;9,00;63,00;18,00;35,00
2019-04-21;3,00;3,00;9,00;60,00;21,00;36,00
2019-04-28;3,00;3,00;9,00;57,00;24,00;35,00
2019-05-05;3,00;3,00;9,00;60,00;21,00;36,00
2019-05-12;3,00;3,00;9,00;66,00;24,00;33,00
2019-05-19;2,00;2,00;6,00;40,00;14,00;35,00
2019-05-26;4,00;4,00;12,00;124,00;32,00;41,00
2019-06-02;4,00;4,00;12,00;276,00;32,00;42,00
2019-06-09;4,00;4,00;12,00;360,00;32,00;41,00
2019-06-16;8,00;2,67;10,67;266,67;24,00;42,00
2019-06-23;20,00;2,86;11,43;171,43;25,71;52,00
2019-06-30;3,00;3,00;9,00;72,00;24,00;45,00
2019-07-07;2,00;4,00;8,00;40,00;16,00;43,00
2019-07-14;3,00;3,00;9,00;60,00;21,00;41,00
2019-07-21;3,00;3,00;9,00;51,00;27,00;38,00
2019-07-28;4,00;8,00;12,00;64,00;32,00;41,00
2019-08-04;3,00;3,00;12,00;42,00;24,00;37,00
2019-08-11;3,00;3,00;9,00;42,00;21,00;36,00
2019-08-18;4,00;4,00;12,00;56,00;28,00;39,00
2019-08-25;4,00;2,00;6,00;28,00;14,00;43,00
2019-09-01;5,00;5,00;7,50;32,50;17,50;38,00
2019-09-08;3,00;3,00;9,00;42,00;21,00;32,00
2019-09-15;4,00;4,00;8,00;56,00;24,00;36,00
2019-09-22;4,00;4,00;12,00;60,00;24,00;33,00
2019-09-29;4,00;4,00;12,00;48,00;24,00;33,00
2019-10-06;3,00;3,00;9,00;36,00;18,00;29,00
2019-10-13;4,00;4,00;8,00;56,00;24,00;32,00
2019-10-20;4,00;4,00;12,00;56,00;24,00;30,00
2019-10-27;3,00;3,00;9,00;36,00;18,00;30,00
2019-11-03;4,00;4,00;12,00;56,00;24,00;30,00
2019-11-10;3,00;3,00;6,00;45,00;21,00;33,00
2019-11-17;5,00;2,50;5,00;37,50;17,50;36,00
2019-11-24;4,00;4,00;12,00;52,00;28,00;31,00
2019-12-01;5,00;5,00;7,50;35,00;17,50;31,00
2019-12-08;5,00;5,00;7,50;35,00;15,00;32,00
2019-12-15;5,00;2,50;7,50;32,50;17,50;35,00
2019-12-22;5,00;5,00;10,00;40,00;22,50;41,00
2019-12-29;5,00;5,00;12,50;42,50;30,00;49,00
2020-01-05;7,00;7,00;17,50;70,00;42,00;53,00
2020-01-12;7,00;7,00;17,50;66,50;35,00;48,00
2020-01-19;7,00;7,00;14,00;63,00;38,50;47,00
2020-01-26;4,00;8,00;12,00;60,00;32,00;36,00
2020-02-02;6,00;6,00;12,00;57,00;24,00;40,00
2020-02-09;6,00;6,00;12,00;51,00;39,00;39,00
2020-02-16;6,00;6,00;12,00;60,00;30,00;42,00
2020-02-23;7,00;7,00;10,50;70,00;31,50;38,00
2020-03-01;5,00;5,00;7,50;45,00;20,00;36,00
2020-03-08;4,00;8,00;16,00;88,00;32,00;37,00
2020-03-15;4,00;8,00;8,00;80,00;16,00;27,00
2020-03-22;4,00;4,00;4,00;44,00;12,00;21,00
2020-03-29;3,00;3,00;3,00;27,00;9,00;20,00
2020-04-05;4,00;4,00;4,00;36,00;12,00;25,00
2020-04-12;4,00;4,00;4,00;40,00;12,00;20,00
2020-04-19;3,00;3,00;3,00;24,00;12,00;22,00
2020-04-26;3,00;3,00;3,00;30,00;9,00;20,00
2020-05-03;4,00;4,00;4,00;40,00;16,00;21,00
2020-05-10;3,00;3,00;6,00;30,00;12,00;20,00
2020-05-17;3,00;3,00;3,00;30,00;12,00;23,00
2020-05-24;3,00;3,00;3,00;33,00;12,00;20,00
2020-05-31;3,00;3,00;6,00;36,00;9,00;18,00
2020-06-07;3,00;3,00;6,00;39,00;15,00;23,00
2020-06-14;4,00;4,00;8,00;44,00;20,00;25,00
2020-06-21;3,00;3,00;6,00;33,00;12,00;25,00
2020-06-28;4,00;4,00;8,00;48,00;16,00;24,00
2020-07-05;4,00;4,00;8,00;52,00;20,00;37,00
2020-07-12;3,00;3,00;6,00;42,00;15,00;54,00
2020-07-19;4,00;8,00;8,00;56,00;20,00;44,00
2020-07-26;4,00;2,00;4,00;28,00;8,00;37,00
2020-08-02;4,00;4,00;8,00;48,00;16,00;29,00
2020-08-09;4,00;4,00;8,00;48,00;20,00;28,00
2020-08-16;2,00;2,00;2,00;26,00;8,00;32,00
2020-08-23;3,00;3,00;3,00;33,00;12,00;26,00
2020-08-30;3,00;3,00;3,00;36,00;15,00;24,00
2020-09-06;5,00;5,00;5,00;27,50;12,50;24,00
2020-09-13;3,00;3,00;3,00;36,00;15,00;31,00
2020-09-20;3,00;3,00;6,00;39,00;15,00;25,00
2020-09-27;4,00;4,00;4,00;56,00;20,00;23,00
2020-10-04;3,00;3,00;6,00;39,00;15,00;27,00
2020-10-11;5,00;2,50;2,50;32,50;12,50;25,00
2020-10-18;4,00;8,00;8,00;52,00;20,00;25,00
2020-10-25;3,00;3,00;3,00;39,00;15,00;24,00
2020-11-01;2,00;2,00;4,00;20,00;8,00;19,00
2020-11-08;4,00;8,00;8,00;52,00;20,00;24,00
2020-11-15;3,00;3,00;6,00;36,00;12,00;24,00
2020-11-22;3,00;3,00;6,00;33,00;15,00;25,00
2020-11-29;4,00;4,00;4,00;52,00;16,00;27,00
2020-12-06;3,00;3,00;6,00;39,00;12,00;23,00
2020-12-13;4,00;4,00;4,00;52,00;20,00;25,00
2020-12-20;3,00;6,00;6,00;39,00;15,00;24,00
2020-12-27;4,00;4,00;12,00;56,00;24,00;29,00
2021-01-03;3,00;3,00;6,00;45,00;18,00;29,00
2021-01-10;3,00;3,00;6,00;45,00;21,00;28,00
2021-01-17;3,00;3,00;6,00;42,00;21,00;25,00
2021-01-24;3,00;3,00;6,00;45,00;18,00;27,00
2021-01-31;3,00;6,00;6,00;42,00;18,00;29,00
2021-02-07;3,00;3,00;6,00;45,00;18,00;27,00
2021-02-14;4,00;4,00;12,00;60,00;24,00;28,00
2021-02-21;3,00;3,00;9,00;57,00;21,00;27,00
2021-02-28;4,00;4,00;12,00;72,00;32,00;28,00
2021-03-07;4,00;4,00;12,00;76,00;32,00;30,00
2021-03-14;4,00;4,00;12,00;80,00;32,00;28,00
2021-03-21;4,00;4,00;12,00;80,00;32,00;27,00
2021-03-28;3,00;6,00;9,00;60,00;24,00;30,00
2021-04-04;5,00;5,00;10,00;55,00;20,00;34,00
2021-04-11;4,00;4,00;8,00;40,00;18,00;34,00
2021-04-18;5,00;5,00;10,00;52,50;25,00;32,00
2021-04-25;4,00;8,00;12,00;76,00;32,00;29,00
2021-05-02;5,00;5,00;7,50;50,00;22,50;32,00
2021-05-09;4,00;8,00;12,00;88,00;32,00;32,00
2021-05-16;4,00;8,00;12,00;88,00;36,00;32,00
2021-05-23;4,00;4,00;16,00;84,00;32,00;32,00
2021-05-30;4,00;8,00;12,00;96,00;36,00;34,00
2021-06-06;4,00;8,00;12,00;88,00;36,00;32,00
2021-06-13;4,00;8,00;16,00;84,00;36,00;37,00
2021-06-20;3,00;6,00;9,00;63,00;30,00;33,00
2021-06-27;5,00;5,00;10,00;52,50;22,50;40,00
2021-07-04;4,00;8,00;16,00;92,00;40,00;35,00
2021-07-11;20,00;14,29;8,57;60,00;28,57;34,00
2021-07-18;5,00;5,00;10,00;52,50;22,50;37,00
2021-07-25;3,00;3,00;12,00;60,00;21,00;35,00
2021-08-01;4,00;8,00;12,00;84,00;32,00;36,00
2021-08-08;4,00;4,00;6,00;42,00;14,00;34,00
2021-08-15;4,00;8,00;12,00;68,00;28,00;34,00
2021-08-22;4,00;8,00;12,00;64,00;24,00;29,00
2021-08-29;4,00;4,00;8,00;60,00;20,00;29,00
2021-09-05;3,00;3,00;6,00;48,00;18,00;29,00
2021-09-12;4,00;8,00;8,00;64,00;24,00;31,00
2021-09-19;4,00;8,00;8,00;64,00;24,00;28,00
2021-09-26;5,00;5,00;5,00;45,00;12,50;30,00
2021-10-03;4,00;8,00;8,00;68,00;24,00;31,00
2021-10-10;4,00;8,00;12,00;72,00;32,00;30,00
2021-10-17;3,00;6,00;6,00;51,00;18,00;31,00
2021-10-24;5,00;5,00;7,50;40,00;15,00;30,00
2021-10-31;4,00;8,00;8,00;68,00;24,00;27,00
2021-11-07;4,00;8,00;12,00;64,00;32,00;27,00
2021-11-14;4,00;8,00;12,00;64,00;24,00;29,00
2021-11-21;4,00;8,00;12,00;68,00;56,00;29,00
2021-11-28;4,00;8,00;8,00;68,00;36,00;100,00
2021-12-05;3,00;3,00;9,00;54,00;24,00;33,00
2021-12-12;3,00;6,00;9,00;63,00;24,00;31,00
2021-12-19;2,00;2,00;4,00;38,00;14,00;28,00
2021-12-26;3,00;6,00;9,00;60,00;27,00;33,00
2022-01-02;3,00;3,00;12,00;66,00;30,00;32,00
2022-01-09;3,00;3,00;9,00;66,00;30,00;32,00
2022-01-16;3,00;3,00;9,00;63,00;27,00;38,00
2022-01-23;3,00;3,00;12,00;66,00;30,00;35,00
2022-01-30;3,00;3,00;12,00;69,00;27,00;38,00
2022-02-06;4,00;4,00;16,00;92,00;36,00;31,00
2022-02-13;4,00;4,00;16,00;88,00;32,00;37,00
2022-02-20;3,00;3,00;12,00;66,00;30,00;35,00
2022-02-27;2,00;2,00;8,00;50,00;18,00;38,00
