Semaine;Polynesie (PF);Nouvelle Caledonie (NC);Fidji (FJ);Vanuatu (VU);Iles Cook (CK)
2019-01-06;28,00;2,00;49,00;1,00;3,00
2019-01-13;28,00;2,00;40,00;2,00;3,00
2019-01-20;31,00;2,00;39,00;2,00;2,00
2019-01-27;27,00;2,00;39,00;1,00;3,00
2019-02-03;26,00;2,00;41,00;2,00;2,00
2019-02-10;25,00;2,00;36,00;1,00;2,00
2019-02-17;25,00;3,00;38,00;2,00;2,00
2019-02-24;25,00;1,00;40,00;1,00;2,00
2019-03-03;30,00;1,00;52,00;1,00;3,00
2019-03-10;22,00;2,00;43,00;1,00;2,00
2019-03-17;22,00;1,00;43,00;2,00;2,00
2019-03-24;22,00;3,00;38,00;1,00;1,00
2019-03-31;20,00;2,00;37,00;1,00;2,00
2019-04-07;21,00;2,00;35,00;1,00;2,00
2019-04-14;18,00;2,00;37,00;1,00;3,00
2019-04-21;21,00;2,00;40,00;1,00;2,00
2019-04-28;20,00;2,00;33,00;1,00;2,00
2019-05-05;20,00;2,00;40,00;1,00;2,00
2019-05-12;22,00;3,00;38,00;1,00;3,00
2019-05-19;22,00;2,00;46,00;1,00;2,00
2019-05-26;27,00;2,00;44,00;1,00;2,00
2019-06-02;21,00;2,00;100,00;1,00;2,00
2019-06-09;22,00;1,00;46,00;1,00;2,00
2019-06-16;23,00;1,00;45,00;1,00;2,00
2019-06-23;21,00;2,00;41,00;1,00;2,00
2019-06-30;21,00;2,00;36,00;1,00;2,00
2019-07-07;20,00;1,00;40,00;1,00;3,00
2019-07-14;21,00;2,00;40,00;1,00;3,00
2019-07-21;22,00;3,00;38,00;0,50;3,00
2019-07-28;21,00;2,00;41,00;1,00;2,00
2019-08-04;19,00;1,00;39,00;1,00;2,00
2019-08-11;22,00;3,00;35,00;3,00;2,00
2019-08-18;25,00;1,00;35,00;1,00;2,00
2019-08-25;27,00;1,00;35,00;1,00;2,00
2019-09-01;21,00;2,00;36,00;1,00;2,00
2019-09-08;19,00;1,00;32,00;1,00;1,00
2019-09-15;20,00;2,00;38,00;1,00;2,00
2019-09-22;18,00;2,00;33,00;1,00;2,00
2019-09-29;21,00;2,00;29,00;1,00;3,00
2019-10-06;20,00;1,00;32,00;2,00;2,00
2019-10-13;17,00;2,00;33,00;2,00;2,00
2019-10-20;19,00;3,00;34,00;2,00;2,00
2019-10-27;18,00;1,00;28,00;1,00;1,00
2019-11-03;19,00;3,00;33,00;1,00;2,00
2019-11-10;18,00;3,00;29,00;2,00;3,00
2019-11-17;20,00;2,00;32,00;1,00;2,00
