Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;43,00;25,00;19,00;19,00;0,00;86,00;6,88;6,88;0,00;0,00;73,71;79,86;6,14;13,44;0,00;72,56;5,38;6,62;84,35;11,58;36,38
2019-01-13;56,00;62,00;19,00;37,00;0,00;43,75;12,25;0,00;7,00;12,44;80,89;80,89;12,44;5,33;0,00;80,00;5,33;147,64;56,00;18,67;6,79
2019-01-20;43,00;43,00;30,00;24,00;12,00;75,25;5,38;0,00;17,92;0,00;104,43;86,00;0,00;0,00;0,00;72,56;5,38;20,64;36,12;12,04;73,96
2019-01-27;36,00;12,00;18,00;24,00;0,00;72,00;17,14;0,00;12,00;0,00;105,00;90,00;6,00;5,54;0,00;74,77;30,46;13,71;140,57;0,00;24,00
2019-02-03;19,00;19,00;0,00;18,00;0,00;55,27;43,18;0,00;12,09;6,33;101,33;88,67;0,00;0,00;0,00;48,86;5,43;6,91;93,27;0,00;12,09
2019-02-10;31,00;25,00;0,00;19,00;0,00;74,06;18,94;6,89;6,89;6,20;120,90;77,50;0,00;0,00;0,00;82,67;23,25;20,67;113,67;0,00;6,89
2019-02-17;26,00;26,00;13,00;0,00;0,00;64,13;19,07;0,00;12,13;0,00;117,00;130,00;6,50;0,00;0,00;75,11;5,78;0,00;117,87;19,07;13,87
2019-02-24;31,00;31,00;0,00;25,00;6,00;24,11;31,00;0,00;0,00;12,40;86,80;93,00;6,20;5,64;5,64;84,55;14,09;13,78;82,67;0,00;18,94
2019-03-03;44,00;38,00;19,00;38,00;13,00;63,36;24,64;12,32;19,36;6,29;78,57;84,86;0,00;0,00;0,00;96,25;0,00;6,77;62,62;6,77;6,77
2019-03-10;44,00;44,00;12,00;12,00;0,00;24,64;51,04;7,04;12,32;12,57;69,14;81,71;6,29;0,00;0,00;44,00;0,00;0,00;81,23;6,77;25,38
2019-03-17;19,00;19,00;6,00;19,00;0,00;63,91;31,09;6,91;19,00;15,83;104,50;85,50;6,33;0,00;5,43;76,00;0,00;13,82;70,82;19,00;13,82
2019-03-24;51,00;32,00;6,00;6,00;0,00;38,69;51,00;7,03;19,34;15,00;81,00;81,00;6,00;0,00;5,37;83,21;5,37;0,00;25,50;0,00;0,00
2019-03-31;50,00;44,00;6,00;13,00;0,00;31,03;31,03;0,00;18,97;21,88;71,88;62,50;6,25;0,00;5,26;115,79;13,16;13,33;18,33;0,00;18,33
2019-04-07;33,00;33,00;0,00;7,00;13,00;59,05;72,95;0,00;19,11;51,00;72,00;96,00;12,00;0,00;0,00;121,00;5,50;6,60;19,80;19,80;13,20
2019-04-14;34,00;14,00;27,00;7,00;7,00;20,40;20,40;6,80;32,30;0,00;83,45;117,45;12,36;7,85;0,00;204,00;13,08;6,80;54,40;54,40;34,00
2019-04-21;59,00;39,00;7,00;33,00;7,00;32,97;45,12;0,00;6,94;0,00;86,95;74,53;0,00;5,36;0,00;59,00;13,41;6,74;25,29;6,74;0,00
2019-04-28;36,00;36,00;18,00;18,00;0,00;60,00;5,14;12,00;12,00;0,00;48,00;84,00;6,00;5,54;0,00;119,08;5,54;0,00;30,86;12,00;12,00
