Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;33,00;86,17;88,00;42,17;80,67;79,50;85,50;46,50;49,50;33,00;17,00;30,00;20,00;13,00;13,00;20,00;13,00;7,00;7,00;10,00;20,00;13,00;7,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;46,00;86,48;58,88;62,56;49,68;75,68;62,32;48,97;46,00;53,00;43,00;30,00;17,00;13,00;10,00;33,00;43,00;13,00;13,00;13,00;7,00;10,00;3,00;7,00;3,00;0,00;0,00;0,00
2019-01-20;49,00;90,46;73,50;69,73;62,19;77,21;54,94;44,55;49,00;36,00;26,00;36,00;16,00;3,00;45,00;10,00;26,00;6,00;16,00;13,00;13,00;10,00;10,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;61,00;68,39;96,12;77,64;48,06;119,02;72,90;80,34;44,63;32,00;23,00;26,00;35,00;16,00;13,00;10,00;16,00;10,00;22,00;19,00;26,00;6,00;6,00;3,00;0,00;0,00;0,00;0,00
2019-02-03;49,00;72,59;67,15;54,44;32,67;59,39;43,06;22,27;19,30;43,00;40,00;26,00;13,00;16,00;26,00;17,00;16,00;13,00;16,00;10,00;13,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-02-10;17,00;62,33;47,22;60,44;34,00;30,91;41,73;17,00;34,00;23,00;30,00;23,00;17,00;3,00;10,00;7,00;10,00;3,00;13,00;7,00;7,00;3,00;3,00;0,00;0,00;0,00;3,00;0,00
2019-02-17;48,00;66,46;88,62;57,23;27,69;40,50;48,00;24,00;16,50;14,00;10,00;27,00;20,00;17,00;17,00;38,00;27,00;3,00;20,00;10,00;7,00;0,00;3,00;3,00;0,00;0,00;0,00;3,00
2019-02-24;66,00;106,33;115,50;71,50;69,67;106,50;69,00;40,50;36,00;40,00;27,00;40,00;23,00;26,00;17,00;37,00;30,00;20,00;26,00;17,00;20,00;7,00;7,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;81,00;123,34;184,09;81,00;57,07;67,50;57,00;37,50;13,50;24,00;27,00;34,00;13,00;13,00;27,00;27,00;17,00;17,00;20,00;10,00;7,00;13,00;13,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;27,00;52,07;175,50;57,86;52,07;60,00;49,50;13,50;24,00;3,00;23,00;17,00;23,00;7,00;20,00;7,00;30,00;20,00;27,00;10,00;3,00;13,00;3,00;0,00;0,00;0,00;0,00;0,00
