Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;53,00;183,94;81,06;165,24;0,00;11,00;8,00;15,00;15,00
2019-01-13;49,00;156,19;64,31;134,75;6,13;4,00;19,00;23,00;15,00
2019-01-20;45,00;115,71;54,64;128,57;3,21;7,00;7,00;7,00;7,00
2019-01-27;22,00;97,43;37,71;110,00;3,14;7,00;11,00;18,00;7,00
2019-02-03;41,00;123,00;41,00;97,77;12,62;0,00;8,00;23,00;0,00
2019-02-10;42,00;120,00;57,00;90,00;0,00;11,00;12,00;8,00;4,00
2019-02-17;20,00;80,00;80,00;106,67;3,33;8,00;8,00;23,00;4,00
2019-02-24;34,00;77,27;52,55;86,55;6,18;4,00;11,00;15,00;11,00
2019-03-03;35,00;82,73;76,36;114,55;0,00;12,00;8,00;12,00;8,00
2019-03-10;30,00;99,00;63,00;111,00;0,00;4,00;19,00;8,00;8,00
2019-03-17;31,00;111,60;43,40;99,20;12,40;12,00;12,00;16,00;12,00
2019-03-24;20,00;126,67;43,33;166,67;10,00;16,00;16,00;12,00;4,00
2019-03-31;19,00;98,17;47,50;129,83;0,00;4,00;23,00;12,00;4,00
2019-04-07;12,00;75,00;33,00;90,00;0,00;8,00;8,00;12,00;4,00
2019-04-14;38,00;98,17;57,00;110,83;3,17;8,00;25,00;13,00;8,00
2019-04-21;24,00;75,00;24,00;114,00;0,00;4,00;12,00;4,00;0,00
2019-04-28;26,00;61,75;61,75;87,75;3,25;11,00;45,00;11,00;7,00
2019-05-05;37,00;52,42;46,25;77,08;3,08;4,00;0,00;7,00;11,00
2019-05-12;15,00;78,00;21,00;90,00;3,00;0,00;27,00;4,00;8,00
2019-05-19;34,00;55,64;24,73;154,55;3,09;22,00;22,00;7,00;4,00
2019-05-26;30,00;66,00;30,00;81,00;3,00;4,00;15,00;7,00;0,00
2019-06-02;21,00;66,00;36,00;81,00;6,00;4,00;11,00;0,00;4,00
2019-06-09;22,00;81,71;22,00;91,14;3,14;22,00;7,00;7,00;11,00
2019-06-16;30,00;60,00;51,00;117,00;0,00;4,00;8,00;8,00;11,00
2019-06-23;28,00;71,56;28,00;121,33;0,00;4,00;40,00;4,00;20,00
2019-06-30;45,00;57,00;33,00;126,00;0,00;4,00;16,00;4,00;12,00
2019-07-07;28,00;90,22;24,89;90,22;0,00;8,00;12,00;8,00;12,00
2019-07-14;46,00;128,80;73,60;131,87;9,20;17,00;8,00;0,00;8,00
2019-07-21;39,00;129,00;78,00;129,00;0,00;4,00;13,00;9,00;9,00
