Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;36,00;414,00;90,00;36,00;18,00;21,00;17,00;15,00;8,00;8,00;4,00;4,00;3,00
2019-01-13;34,00;374,00;102,00;34,00;34,00;25,00;29,00;14,00;12,00;4,00;9,00;8,00;4,00
2019-01-20;30,00;285,00;75,00;15,00;30,00;24,00;18,00;15,00;9,00;7,00;6,00;5,00;3,00
2019-01-27;22,00;231,00;55,00;22,00;22,00;33,00;15,00;6,00;9,00;12,00;5,00;5,00;0,00
2019-02-03;18,00;414,00;72,00;18,00;36,00;30,00;14,00;4,00;10,00;14,00;5,00;4,00;2,00
2019-02-10;28,00;322,00;56,00;28,00;14,00;30,00;16,00;4,00;13,00;17,00;11,00;10,00;1,00
2019-02-17;25,00;262,50;50,00;25,00;25,00;33,00;26,00;4,00;13,00;8,00;7,00;8,00;2,00
2019-02-24;29,00;333,50;72,50;29,00;29,00;30,00;18,00;2,00;13,00;11,00;7,00;8,00;4,00
2019-03-03;30,00;390,00;75,00;30,00;30,00;24,00;26,00;4,00;11,00;14,00;6,00;9,00;2,00
2019-03-10;24,00;288,00;48,00;24,00;24,00;29,00;17,00;3,00;11,00;11,00;9,00;10,00;2,00
2019-03-17;26,00;338,00;52,00;13,00;13,00;24,00;19,00;6,00;5,00;17,00;4,00;2,00;2,00
2019-03-24;35,00;420,00;87,50;35,00;35,00;37,00;21,00;6,00;13,00;11,00;6,00;16,00;4,00
2019-03-31;37,00;308,33;61,67;12,33;24,67;40,00;24,00;15,00;19,00;17,00;11,00;14,00;9,00
2019-04-07;46,00;429,33;107,33;30,67;30,67;33,00;27,00;14,00;9,00;13,00;2,00;13,00;4,00
2019-04-14;36,00;1800,00;126,00;54,00;36,00;35,00;33,00;19,00;12,00;16,00;10,00;9,00;7,00
2019-04-21;41,00;341,67;68,33;27,33;27,33;41,00;28,00;9,00;11,00;12,00;10,00;10,00;2,00
2019-04-28;34,00;374,00;68,00;17,00;34,00;23,00;18,00;20,00;10,00;5,00;10,00;9,00;6,00
2019-05-05;44,00;322,67;58,67;14,67;14,67;33,00;29,00;20,00;15,00;16,00;4,00;16,00;7,00
2019-05-12;49,00;343,00;98,00;16,33;16,33;37,00;21,00;10,00;6,00;11,00;7,00;8,00;0,00
