Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;23,00;34,00;23,00;11,00;0,00;11,50;0,00;0,00;0,00;0,00;88,17;46,00;0,00;0,00;0,00;0,00;0,00;10,73;0,00;10,73;21,47
2019-01-13;81,00;57,00;35,00;0,00;0,00;0,00;22,74;0,00;34,11;0,00;81,00;100,29;0,00;0,00;0,00;46,44;0,00;0,00;46,06;11,12;0,00
2019-01-20;69,00;46,00;35,00;11,00;0,00;11,27;11,27;0,00;0,00;0,00;80,50;46,00;11,50;0,00;11,86;22,64;11,86;10,98;0,00;0,00;23,52
2019-01-27;34,00;34,00;0,00;0,00;0,00;92,08;0,00;0,00;11,33;11,33;162,44;52,89;0,00;0,00;0,00;23,03;0,00;0,00;66,45;0,00;10,82
2019-02-03;47,00;35,00;24,00;0,00;0,00;59,44;0,00;11,06;0,00;11,75;164,50;94,00;0,00;0,00;0,00;47,00;11,75;0,00;23,50;0,00;23,50
2019-02-10;36,00;36,00;12,00;12,00;0,00;74,88;0,00;11,52;11,52;0,00;112,00;96,00;0,00;0,00;0,00;36,00;0,00;0,00;36,00;0,00;12,52
2019-02-17;24,00;24,00;12,00;0,00;0,00;49,41;0,00;0,00;35,29;12,00;196,00;60,00;0,00;0,00;0,00;49,09;12,00;0,00;12,80;0,00;12,80
2019-02-24;24,00;35,00;0,00;12,00;0,00;83,29;11,29;0,00;11,29;0,00;156,00;60,00;0,00;0,00;0,00;48,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;56,00;67,00;23,00;11,00;0,00;11,20;11,20;0,00;22,40;0,00;128,00;124,00;12,00;0,00;0,00;78,62;0,00;10,89;10,89;0,00;10,89
2019-03-10;46,00;57,00;35,00;34,00;0,00;47,44;0,00;11,50;0,00;11,50;111,17;88,17;0,00;0,00;0,00;35,05;23,00;0,00;11,10;0,00;0,00
2019-03-17;59,00;35,00;36,00;0,00;0,00;95,52;0,00;11,24;11,24;0,00;141,60;59,00;0,00;0,00;0,00;47,20;11,80;12,42;46,58;0,00;23,29
2019-03-24;0,00;0,00;12,00;24,00;0,00;34,00;0,00;17,00;8,00;0,00;21,00;27,00;0,00;0,00;11,00;55,00;11,00;0,00;15,00;0,00;7,00
2019-03-31;71,00;70,00;59,00;23,00;0,00;48,28;0,00;11,36;11,36;11,83;130,17;59,17;0,00;0,00;0,00;48,06;0,00;11,04;58,38;0,00;0,00
2019-04-07;45,00;88,00;67,00;22,00;11,00;56,25;0,00;11,25;43,59;0,00;175,91;126,82;12,27;10,98;0,00;57,07;10,98;11,25;67,50;0,00;33,75
2019-04-14;78,00;65,00;39,00;39,00;13,00;79,42;0,00;12,76;39,71;0,00;390,00;128,70;27,30;0,00;0,00;105,08;0,00;0,00;78,00;12,48;12,48
2019-04-21;65,00;90,00;26,00;39,00;0,00;52,28;12,72;12,72;25,43;28,44;203,13;134,06;0,00;0,00;0,00;52,00;13,00;12,68;65,00;0,00;12,68
2019-04-28;68,00;56,00;46,00;56,00;0,00;80,75;0,00;0,00;11,33;12,00;152,00;92,00;12,00;0,00;22,67;90,67;10,79;11,07;0,00;0,00;22,14
2019-05-05;68,00;34,00;46,00;23,00;11,00;35,42;11,33;0,00;11,33;12,00;152,00;104,00;0,00;0,00;0,00;34,54;10,79;0,00;0,00;11,07;22,14
2019-05-12;46,00;46,00;35,00;12,00;0,00;69,70;0,00;11,15;0,00;23,00;157,17;111,17;0,00;0,00;0,00;57,77;11,77;0,00;23,79;0,00;11,10
2019-05-19;46,00;57,00;12,00;12,00;0,00;80,85;0,00;0,00;0,00;0,00;115,00;122,67;11,50;0,00;0,00;46,00;34,23;0,00;11,10;0,00;11,10
2019-05-26;63,00;87,00;0,00;50,00;0,00;37,80;12,60;0,00;25,20;0,00;189,00;177,19;0,00;0,00;0,00;76,03;13,03;37,80;12,60;0,00;37,80
2019-06-02;47,00;46,00;47,00;12,00;0,00;84,03;0,00;24,21;0,00;11,75;176,25;164,50;11,75;0,00;0,00;106,02;22,95;10,97;10,97;0,00;23,50
2019-06-09;70,00;58,00;24,00;23,00;0,00;35,00;0,00;35,00;11,20;0,00;175,00;128,33;0,00;0,00;0,00;34,46;0,00;11,14;11,14;11,14;11,14
2019-06-16;12,00;48,00;24,00;24,00;24,00;78,00;0,00;12,00;37,50;0,00;160,00;96,00;0,00;0,00;0,00;109,09;24,00;0,00;12,00;0,00;12,00
2019-06-23;51,00;25,00;0,00;13,00;0,00;38,25;0,00;0,00;12,75;0,00;113,77;153,00;0,00;0,00;13,02;102,00;13,02;0,00;0,00;0,00;51,00
2019-06-30;48,00;48,00;12,00;12,00;24,00;60,71;0,00;0,00;24,00;0,00;148,00;184,00;0,00;0,00;0,00;71,47;0,00;0,00;0,00;12,39;12,39
2019-07-07;63,00;100,00;0,00;13,00;13,00;100,80;0,00;0,00;12,60;0,00;177,19;114,19;11,81;0,00;0,00;24,98;0,00;0,00;12,60;37,80;0,00
2019-07-14;67,00;67,00;41,00;67,00;0,00;67,00;13,96;0,00;13,96;11,82;216,76;177,35;0,00;0,00;0,00;27,02;12,97;0,00;14,02;12,47;38,95
2019-07-21;42,00;70,00;71,00;0,00;28,00;28,00;0,00;0,00;14,00;15,27;221,45;122,18;0,00;0,00;0,00;70,00;0,00;0,00;28,00;0,00;56,00
2019-07-28;73,00;29,00;15,00;29,00;44,00;104,49;14,31;0,00;44,37;0,00;210,89;178,44;0,00;0,00;0,00;88,25;14,16;14,28;44,43;58,72;28,57
2019-08-04;67,00;27,00;14,00;40,00;27,00;54,44;0,00;13,96;40,48;11,82;149,76;94,59;27,59;0,00;0,00;27,02;0,00;14,02;52,98;14,02;14,02
2019-08-11;49,00;49,00;25,00;0,00;0,00;61,60;0,00;0,00;0,00;0,00;269,50;65,33;12,25;0,00;11,98;62,07;0,00;0,00;0,00;23,71;36,35
2019-08-18;82,00;58,00;36,00;12,00;0,00;107,45;0,00;11,31;11,31;0,00;222,57;175,71;11,71;0,00;0,00;35,61;0,00;0,00;58,35;0,00;0,00
2019-08-25;0,00;12,00;36,00;35,00;0,00;17,00;8,00;0,00;8,00;3,00;42,00;6,00;0,00;0,00;0,00;77,00;11,00;15,00;0,00;7,00;0,00
2019-09-01;45,00;55,00;45,00;11,00;0,00;45,00;0,00;0,00;0,00;12,27;118,64;106,36;24,55;0,00;0,00;45,00;0,00;22,50;0,00;11,25;33,75
2019-09-08;58,00;35,00;47,00;35,00;0,00;94,78;0,00;0,00;11,32;0,00;174,00;116,00;0,00;0,00;0,00;0,00;0,00;10,97;23,51;10,97;0,00
2019-09-15;23,00;58,00;59,00;12,00;0,00;23,00;0,00;10,82;10,82;0,00;195,50;92,00;0,00;0,00;0,00;23,00;0,00;0,00;23,00;10,73;23,00
2019-09-22;12,00;11,00;35,00;23,00;0,00;37,50;0,00;0,00;0,00;0,00;164,00;72,00;12,00;0,00;0,00;46,91;12,00;0,00;0,00;0,00;0,00
2019-09-29;23,00;23,00;59,00;23,00;0,00;67,65;0,00;0,00;10,82;11,50;138,00;103,50;0,00;11,50;0,00;23,00;11,50;0,00;10,73;0,00;0,00
2019-10-06;0,00;12,00;36,00;35,00;12,00;42,00;0,00;17,00;0,00;0,00;69,00;15,00;0,00;0,00;0,00;22,00;22,00;7,00;22,00;0,00;0,00
2019-10-13;23,00;11,00;0,00;0,00;12,00;0,00;0,00;11,50;0,00;0,00;145,67;34,50;0,00;0,00;0,00;12,05;0,00;0,00;0,00;23,00;10,73
2019-10-20;22,00;45,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;146,67;11,00;0,00;0,00;0,00;10,48;10,48;0,00;22,00;0,00;11,00
2019-10-27;33,00;22,00;11,00;11,00;11,00;11,48;0,00;11,48;11,48;0,00;173,25;45,38;12,38;0,00;11,00;33,00;11,00;0,00;0,00;11,00;0,00
2019-11-03;33,00;22,00;0,00;0,00;0,00;0,00;0,00;11,48;0,00;12,38;103,13;24,75;24,75;0,00;0,00;43,65;10,65;11,00;0,00;0,00;11,00
2019-11-10;11,00;33,00;34,00;11,00;0,00;22,00;0,00;0,00;0,00;0,00;124,67;51,33;11,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;11,00
2019-11-17;11,00;0,00;22,00;11,00;0,00;33,00;0,00;0,00;0,00;11,00;40,33;11,00;0,00;0,00;0,00;22,00;0,00;33,00;33,00;0,00;0,00
2019-11-24;11,00;22,00;22,00;0,00;0,00;11,00;0,00;0,00;11,00;11,00;80,67;102,67;11,00;0,00;0,00;77,00;0,00;0,00;0,00;0,00;0,00
2019-12-01;56,00;11,00;0,00;0,00;0,00;11,20;0,00;0,00;0,00;0,00;80,00;12,00;0,00;0,00;0,00;22,62;0,00;10,89;10,89;10,89;0,00
2019-12-08;0,00;11,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;3,00;17,00;25,00;3,00;0,00;0,00;20,00;0,00;0,00;14,00;0,00;0,00
2019-12-15;45,00;22,00;11,00;0,00;0,00;11,25;0,00;0,00;11,25;0,00;175,91;45,00;0,00;0,00;10,71;22,50;0,00;0,00;0,00;10,86;21,72
2019-12-22;40,00;13,00;14,00;13,00;0,00;26,21;0,00;12,41;0,00;12,00;152,00;96,00;0,00;0,00;0,00;54,05;12,97;0,00;13,85;0,00;26,15
2019-12-29;26,00;13,00;13,00;13,00;0,00;26,00;0,00;0,00;0,00;0,00;74,29;37,14;11,14;0,00;0,00;79,08;13,00;0,00;0,00;12,24;12,24
2020-01-05;43,00;53,00;11,00;11,00;0,00;0,00;11,47;0,00;0,00;0,00;74,27;11,73;0,00;0,00;0,00;64,50;32,25;0,00;11,15;0,00;11,15
2020-01-12;0,00;0,00;42,00;0,00;0,00;30,00;0,00;0,00;7,00;0,00;19,00;29,00;5,00;0,00;0,00;19,00;10,00;0,00;0,00;13,00;20,00
2020-01-19;11,00;21,00;11,00;0,00;11,00;11,00;0,00;0,00;20,63;0,00;58,67;88,00;0,00;0,00;0,00;64,90;11,00;0,00;11,00;0,00;20,43
2020-01-26;32,00;63,00;32,00;11,00;11,00;32,00;0,00;0,00;11,13;0,00;64,00;96,00;0,00;0,00;10,67;52,27;10,67;0,00;11,20;0,00;0,00
2020-02-02;32,00;31,00;11,00;53,00;0,00;33,45;0,00;0,00;10,18;0,00;128,00;120,00;32,00;0,00;0,00;65,10;0,00;0,00;0,00;0,00;20,80
2020-02-09;11,00;0,00;21,00;11,00;0,00;63,25;0,00;11,00;20,63;11,00;99,00;51,33;0,00;0,00;0,00;22,00;22,00;11,00;11,00;0,00;0,00
2020-02-16;43,00;53,00;22,00;11,00;0,00;74,90;20,81;0,00;52,71;11,73;129,00;74,27;0,00;0,00;0,00;43,00;10,75;0,00;0,00;0,00;11,15
2020-02-23;41,00;40,00;51,00;10,00;10,00;72,10;0,00;0,00;0,00;0,00;118,90;53,30;0,00;9,71;0,00;50,71;0,00;0,00;0,00;9,46;0,00
2020-03-01;10,00;0,00;10,00;0,00;0,00;31,43;0,00;21,43;10,00;10,00;53,33;70,00;10,00;0,00;0,00;19,00;0,00;0,00;0,00;18,57;10,00
2020-03-08;20,00;20,00;30,00;20,00;10,00;40,00;0,00;0,00;0,00;0,00;52,00;40,00;12,00;0,00;0,00;30,00;10,00;0,00;0,00;0,00;0,00
2020-03-15;0,00;0,00;10,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;15,00;0,00;0,00;0,00;18,00;0,00;6,00;6,00;0,00;0,00
2020-03-22;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;7,00;10,00;0,00;0,00;0,00;9,00;9,00;0,00;0,00;0,00;0,00
2020-03-29;19,00;19,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,60;38,00;0,00;0,00;0,00;19,00;9,50;9,50;9,50;9,50;0,00
2020-04-05;21,00;10,00;0,00;0,00;0,00;9,80;9,80;0,00;0,00;0,00;33,60;54,60;12,60;0,00;0,00;0,00;0,00;0,00;0,00;11,31;0,00
2020-04-12;10,00;10,00;0,00;10,00;0,00;11,43;10,00;0,00;0,00;0,00;26,67;36,67;0,00;0,00;0,00;39,00;0,00;0,00;0,00;10,00;0,00
2020-04-19;10,00;0,00;0,00;10,00;10,00;20,00;0,00;0,00;0,00;10,00;43,33;16,67;0,00;0,00;10,00;20,00;10,00;0,00;20,00;0,00;10,00
2020-04-26;9,00;0,00;10,00;9,00;9,00;25,71;0,00;0,00;9,00;0,00;54,00;54,00;0,00;0,00;0,00;26,00;9,00;9,00;0,00;0,00;0,00
2020-05-03;20,00;29,00;10,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;20,00;72,00;0,00;0,00;0,00;20,00;0,00;9,23;9,23;0,00;9,23
2020-05-10;10,00;10,00;10,00;0,00;0,00;20,00;10,00;0,00;0,00;10,00;50,00;85,00;0,00;0,00;10,00;20,00;0,00;0,00;10,00;0,00;10,00
2020-05-17;11,00;21,00;21,00;21,00;0,00;23,57;11,00;11,00;0,00;0,00;69,67;77,00;0,00;0,00;0,00;11,00;0,00;0,00;20,43;11,00;20,43
2020-05-24;10,00;20,00;0,00;10,00;0,00;31,43;0,00;10,00;0,00;10,00;33,33;103,33;10,00;0,00;21,11;31,11;0,00;75,00;10,00;10,00;0,00
2020-05-31;20,00;10,00;10,00;40,00;10,00;20,00;0,00;20,00;10,00;12,00;60,00;92,00;12,00;9,47;0,00;77,89;18,95;9,23;9,23;0,00;20,00
2020-06-07;39,00;19,00;20,00;10,00;0,00;39,00;9,75;19,50;9,75;0,00;58,50;183,30;7,80;0,00;0,00;58,50;0,00;0,00;18,72;0,00;18,72
2020-06-14;70,00;70,00;20,00;50,00;0,00;91,00;0,00;19,60;29,40;11,67;89,44;248,89;11,67;0,00;19,38;39,85;19,38;9,33;20,22;20,22;9,33
2020-06-21;74,00;84,00;54,00;21,00;0,00;117,28;0,00;0,00;30,72;11,68;85,68;124,63;0,00;0,00;0,00;52,55;10,72;0,00;20,47;11,02;42,51
2020-06-28;42,00;31,00;21,00;42,00;0,00;126,00;0,00;9,80;51,80;11,45;122,18;194,73;0,00;0,00;0,00;31,23;20,46;10,89;10,89;0,00;10,89
2020-07-05;77,00;54,00;11,00;44,00;33,00;101,24;0,00;32,80;11,41;11,55;84,70;173,25;0,00;0,00;0,00;77,00;21,69;11,00;11,00;0,00;55,00
2020-07-12;90,00;89,00;34,00;34,00;0,00;78,75;11,25;11,25;33,75;11,74;144,78;113,48;0,00;0,00;0,00;33,61;0,00;11,05;44,21;0,00;44,21
2020-07-19;35,00;81,00;23,00;81,00;0,00;140,00;0,00;35,00;46,20;0,00;182,78;229,44;0,00;0,00;0,00;35,00;12,03;11,14;23,86;23,86;70,00
2020-07-26;35,00;12,00;35,00;47,00;23,00;93,80;0,00;23,80;35,00;0,00;186,67;151,67;11,67;0,00;0,00;35,00;22,97;23,86;11,14;11,14;23,86
2020-08-02;34,00;45,00;34,00;22,00;11,00;80,75;0,00;0,00;11,33;11,33;75,56;185,11;11,33;0,00;0,00;57,03;10,97;0,00;46,95;11,33;34,00
2020-08-09;11,00;22,00;43,00;0,00;0,00;63,25;11,00;20,63;0,00;0,00;80,67;121,00;18,33;0,00;0,00;44,00;0,00;0,00;22,00;0,00;0,00
2020-08-16;42,00;31,00;31,00;21,00;0,00;9,80;0,00;0,00;9,80;0,00;72,55;91,64;11,45;0,00;0,00;10,77;10,77;10,89;42,00;10,89;10,89
2020-08-23;21,00;10,00;0,00;41,00;10,00;21,00;0,00;9,80;21,00;0,00;100,80;121,80;12,60;0,00;0,00;11,05;11,05;0,00;11,31;0,00;21,00
2020-08-30;21,00;32,00;21,00;31,00;0,00;30,80;21,00;9,80;0,00;0,00;113,40;121,80;12,60;21,00;0,00;32,05;43,11;11,31;21,00;0,00;0,00
2020-09-06;31,00;42,00;31,00;10,00;10,00;83,14;0,00;0,00;9,86;0,00;112,38;104,63;0,00;0,00;0,00;52,38;10,69;10,85;20,15;10,85;10,85
2020-09-13;42,00;32,00;52,00;21,00;0,00;0,00;0,00;0,00;30,80;11,45;122,18;49,64;0,00;0,00;0,00;20,46;10,77;0,00;10,89;20,22;0,00
2020-09-20;0,00;0,00;10,00;51,00;0,00;36,00;0,00;0,00;22,00;3,00;39,00;3,00;8,00;9,00;0,00;9,00;0,00;19,00;0,00;13,00;6,00
2020-09-27;0,00;11,00;32,00;11,00;0,00;15,00;0,00;8,00;0,00;0,00;30,00;11,00;0,00;0,00;0,00;0,00;10,00;7,00;7,00;0,00;0,00
2020-10-04;0,00;0,00;22,00;11,00;0,00;8,00;0,00;0,00;8,00;0,00;19,00;8,00;0,00;0,00;0,00;10,00;0,00;0,00;21,00;0,00;7,00
2020-10-11;11,00;11,00;0,00;0,00;0,00;33,00;0,00;0,00;11,00;0,00;102,67;40,33;0,00;0,00;0,00;11,00;23,10;11,00;22,00;0,00;0,00
2020-10-18;0,00;11,00;0,00;22,00;0,00;38,00;0,00;0,00;0,00;0,00;22,00;6,00;0,00;0,00;0,00;30,00;10,00;0,00;0,00;0,00;0,00
2020-10-25;11,00;11,00;10,00;10,00;10,00;23,57;0,00;11,00;11,00;0,00;47,67;18,33;0,00;0,00;0,00;0,00;0,00;11,00;11,00;11,00;0,00
2020-11-01;10,00;0,00;10,00;0,00;0,00;10,00;0,00;10,00;10,00;0,00;10,00;16,67;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00
2020-11-08;11,00;11,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;18,33;29,33;0,00;0,00;0,00;11,00;0,00;11,00;0,00;0,00;0,00
2020-11-15;0,00;11,00;21,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;8,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00
2020-11-22;0,00;21,00;0,00;0,00;10,00;37,00;0,00;0,00;7,00;0,00;8,00;8,00;0,00;0,00;0,00;29,00;10,00;0,00;13,00;0,00;0,00
2020-11-29;10,00;0,00;21,00;10,00;0,00;0,00;0,00;0,00;0,00;10,00;26,67;10,00;16,67;0,00;0,00;0,00;10,00;0,00;10,00;0,00;0,00
2020-12-06;21,00;0,00;0,00;0,00;0,00;21,00;0,00;0,00;0,00;12,60;12,60;0,00;0,00;0,00;0,00;0,00;0,00;21,00;0,00;11,31;0,00
2020-12-13;21,00;11,00;11,00;11,00;0,00;11,20;0,00;0,00;0,00;0,00;12,60;46,20;21,00;0,00;0,00;10,50;10,50;0,00;10,50;0,00;0,00
2020-12-20;49,00;25,00;0,00;0,00;0,00;12,60;0,00;0,00;12,60;12,25;49,00;49,00;0,00;0,00;0,00;11,98;0,00;0,00;0,00;0,00;0,00
2020-12-27;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;22,67;0,00;24,00;12,00;0,00;0,00;0,00;12,00;0,00;0,00;12,00;22,50;22,50
2021-01-03;21,00;11,00;11,00;0,00;0,00;9,80;0,00;0,00;0,00;0,00;79,80;12,60;12,60;11,05;0,00;0,00;11,05;0,00;11,31;0,00;0,00
2021-01-10;0,00;21,00;10,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;11,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00
2021-01-17;0,00;0,00;11,00;31,00;0,00;0,00;0,00;7,00;0,00;3,00;8,00;8,00;0,00;0,00;10,00;29,00;10,00;13,00;13,00;0,00;7,00
