Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;100,00;101,79;60,71;114,29;0,00;4,00;0,00;16,00;4,00
2019-01-13;34,00;69,79;41,16;98,42;0,00;16,00;8,00;16,00;8,00
2019-01-20;46,00;72,54;37,15;125,62;0,00;8,00;16,00;4,00;20,00
2019-01-27;21,00;75,25;40,25;87,50;0,00;4,00;20,00;28,00;8,00
2019-02-03;35,00;73,68;47,89;130,79;0,00;17,00;0,00;21,00;34,00
2019-02-10;35,00;57,75;21,00;138,25;0,00;13,00;9,00;26,00;9,00
2019-02-17;39,00;60,27;60,27;124,09;0,00;9,00;17,00;17,00;9,00
2019-02-24;26,00;100,29;68,71;113,29;0,00;8,00;13,00;13,00;8,00
2019-03-03;37,00;51,10;22,90;91,62;3,52;4,00;12,00;4,00;4,00
2019-03-10;29,00;29,00;67,06;92,44;0,00;8,00;8,00;37,00;20,00
2019-03-17;35,00;51,58;22,11;82,89;3,68;4,00;8,00;8,00;0,00
2019-03-24;26,00;52,00;13,00;70,57;3,71;13,00;4,00;25,00;8,00
2019-03-31;51,00;45,72;12,31;73,86;15,83;4,00;0,00;4,00;4,00
2019-04-07;20,00;85,45;23,64;89,09;3,64;4,00;28,00;8,00;0,00
2019-04-14;38,00;85,05;9,05;117,62;0,00;5,00;5,00;9,00;0,00
2019-04-21;42,00;68,25;36,75;85,75;0,00;5,00;14,00;5,00;9,00
2019-04-28;62,00;35,43;8,86;69,09;3,54;12,00;8,00;8,00;0,00
2019-05-05;25,00;28,57;25,00;89,29;0,00;0,00;8,00;0,00;12,00
2019-05-12;38,00;50,67;21,71;92,29;0,00;4,00;8,00;0,00;4,00
2019-05-19;25,00;37,50;21,43;91,07;0,00;8,00;4,00;12,00;4,00
2019-05-26;50,00;50,00;23,21;50,00;0,00;4,00;0,00;18,00;4,00
2019-06-02;30,00;49,41;28,24;82,94;0,00;8,00;12,00;4,00;4,00
2019-06-09;43,00;53,75;25,08;78,83;0,00;4,00;4,00;4,00;12,00
2019-06-16;39,00;39,00;42,55;72,68;8,86;0,00;0,00;9,00;0,00
2019-06-23;42,00;14,61;27,39;87,65;0,00;14,00;9,00;14,00;5,00
2019-06-30;35,00;50,75;21,00;101,50;0,00;4,00;17,00;4,00;0,00
2019-07-07;50,00;53,57;23,21;85,71;14,29;18,00;22,00;18,00;4,00
2019-07-14;25,00;53,57;37,50;62,50;0,00;5,00;10,00;19,00;24,00
2019-07-21;41,00;35,65;19,61;121,22;5,35;0,00;25,00;10,00;15,00
2019-07-28;42,00;80,50;35,00;133,00;0,00;0,00;5,00;15,00;5,00
