Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;16,00;133,33;2,67;13,33;26,67;8,00;11,00;5,00;4,00;6,00;9,00;1,00;1,00
2019-01-13;25,00;125,00;2,78;22,22;22,22;8,00;8,00;7,00;7,00;4,00;4,00;2,00;3,00
2019-01-20;28,00;142,80;2,80;19,60;25,20;9,00;12,00;10,00;3,00;7,00;6,00;1,00;3,00
2019-01-27;16,00;136,00;2,67;21,33;16,00;10,00;9,00;2,00;4,00;4,00;4,00;1,00;1,00
2019-02-03;15,00;156,00;3,00;24,00;21,00;9,00;13,00;1,00;2,00;5,00;2,00;6,00;2,00
2019-02-10;19,00;155,17;3,17;34,83;22,17;16,00;13,00;3,00;4,00;2,00;3,00;5,00;0,00
2019-02-17;25,00;150,00;0,00;19,44;25,00;12,00;9,00;4,00;5,00;5,00;2,00;2,00;3,00
2019-02-24;21,00;171,00;3,00;36,00;30,00;12,00;9,00;7,00;4,00;7,00;9,00;5,00;4,00
2019-03-03;21,00;159,00;1,50;27,00;24,00;9,00;18,00;0,00;2,00;8,00;7,00;4,00;5,00
2019-03-10;25,00;150,00;2,78;25,00;30,56;15,00;12,00;3,00;5,00;4,00;5,00;3,00;3,00
2019-03-17;25,00;138,89;5,56;19,44;22,22;12,00;8,00;1,00;3,00;7,00;8,00;5,00;4,00
2019-03-24;28,00;186,67;3,11;28,00;24,89;16,00;8,00;1,00;2,00;6,00;2,00;4,00;2,00
2019-03-31;36,00;171,00;3,00;33,00;36,00;21,00;15,00;4,00;4,00;8,00;3,00;6,00;6,00
2019-04-07;47,00;193,88;2,94;41,13;52,88;16,00;18,00;8,00;6,00;10,00;4,00;6,00;4,00
2019-04-14;50,00;294,12;5,88;67,65;58,82;20,00;9,00;4,00;3,00;10,00;6,00;8,00;14,00
2019-04-21;39,00;164,36;2,79;52,93;41,79;13,00;17,00;7,00;3,00;7,00;3,00;5,00;5,00
2019-04-28;40,00;148,57;2,86;51,43;22,86;13,00;14,00;5,00;4,00;7,00;4,00;2,00;4,00
2019-05-05;32,00;130,91;2,91;32,00;20,36;12,00;13,00;3,00;6,00;5,00;7,00;5,00;4,00
2019-05-12;35,00;148,75;2,92;35,00;23,33;17,00;10,00;7,00;8,00;6,00;7,00;5,00;1,00
2019-05-19;37,00;159,38;2,85;31,31;39,85;14,00;19,00;9,00;4,00;4,00;6,00;9,00;3,00
2019-05-26;59,00;162,25;1,48;53,10;44,25;12,00;16,00;7,00;6,00;4,00;5,00;3,00;9,00
2019-06-02;35,00;172,08;0,00;23,33;32,08;17,00;20,00;4,00;6,00;5,00;8,00;4,00;6,00
2019-06-09;48,00;147,00;3,00;30,00;33,00;12,00;12,00;11,00;6,00;8,00;5,00;5,00;7,00
2019-06-16;48,00;141,18;5,65;28,24;31,06;22,00;9,00;9,00;4,00;9,00;9,00;6,00;5,00
2019-06-23;41,00;152,29;2,93;26,36;29,29;18,00;12,00;7,00;7,00;9,00;3,00;2,00;3,00
2019-06-30;46,00;140,88;2,88;23,00;37,38;21,00;12,00;5,00;6,00;9,00;7,00;5,00;1,00
2019-07-07;51,00;162,00;3,00;36,00;39,00;19,00;12,00;4,00;6,00;11,00;5,00;2,00;4,00
2019-07-14;54,00;156,32;2,84;34,11;36,95;23,00;14,00;5,00;6,00;16,00;7,00;6,00;2,00
2019-07-21;62,00;171,24;1,48;44,29;26,57;23,00;18,00;3,00;7,00;10,00;7,00;5,00;8,00
2019-07-28;54,00;174,00;6,00;39,00;39,00;22,00;18,00;6,00;7,00;8,00;7,00;7,00;7,00
2019-08-04;43,00;149,07;2,87;34,40;40,13;22,00;14,00;8,00;7,00;13,00;7,00;5,00;3,00
