Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;6,00;40,80;28,80;6,00;0,00;0,00;6,00;6,00;12,00;6,00;96,00;126,00;0,00;0,00;6,00;96,00;24,00;6,00;124,50;0,00;22,50
2019-01-13;18,00;28,80;28,80;6,00;6,00;35,00;0,00;6,00;6,00;10,80;133,20;144,00;0,00;0,00;6,00;96,00;24,00;0,00;62,18;13,09;24,55
2019-01-20;18,00;40,80;52,80;12,00;6,00;18,00;0,00;0,00;24,00;0,00;115,20;104,40;0,00;0,00;6,00;132,00;6,00;6,55;80,18;0,00;13,09
2019-01-27;47,00;28,92;18,08;12,05;0,00;35,00;0,00;0,00;6,00;7,23;151,85;141,00;0,00;0,00;11,75;70,50;17,63;6,27;94,00;6,27;23,50
2019-02-03;65,00;30,09;18,06;6,02;0,00;6,00;0,00;0,00;6,00;23,95;58,16;106,05;0,00;0,00;5,91;88,64;0,00;0,00;105,24;0,00;41,79
2019-02-10;24,00;43,20;24,00;6,00;0,00;18,00;0,00;6,00;0,00;13,71;144,00;137,14;0,00;0,00;0,00;93,00;24,00;0,00;82,50;6,00;12,00
2019-02-17;12,00;48,00;30,00;6,00;0,00;24,00;0,00;0,00;24,00;12,00;152,00;140,00;0,00;0,00;12,00;117,00;12,00;0,00;70,50;0,00;12,00
2019-02-24;37,00;56,10;17,90;0,00;0,00;37,00;0,00;0,00;0,00;6,73;185,00;137,91;6,73;0,00;5,69;113,85;11,38;0,00;55,50;0,00;6,17
2019-03-03;54,00;42,00;36,00;0,00;6,00;36,00;0,00;0,00;0,00;16,88;168,75;121,50;0,00;0,00;6,00;81,00;18,00;0,00;47,83;0,00;0,00
2019-03-10;12,00;60,00;18,00;6,00;0,00;24,00;0,00;6,00;0,00;12,00;240,00;136,00;0,00;6,00;0,00;87,00;36,00;12,00;69,00;0,00;12,00
2019-03-17;43,00;48,97;60,92;0,00;0,00;25,00;0,00;0,00;12,00;7,17;114,67;179,17;0,00;0,00;0,00;97,47;60,20;6,14;86,00;6,14;6,14
2019-03-24;55,00;60,98;29,89;0,00;0,00;36,00;0,00;0,00;0,00;6,88;223,44;120,31;0,00;0,00;0,00;101,32;55,00;6,29;42,43;6,29;18,86
2019-03-31;18,00;24,00;37,20;12,00;0,00;18,00;0,00;6,00;6,00;14,40;151,20;126,00;0,00;0,00;0,00;93,00;24,00;0,00;48,00;0,00;6,00
2019-04-07;43,00;60,92;5,97;5,97;0,00;12,00;0,00;6,00;6,00;17,92;222,17;172,00;0,00;0,00;0,00;83,13;11,47;0,00;79,86;6,14;30,71
2019-04-14;59,00;71,98;5,90;7,08;0,00;26,00;0,00;0,00;0,00;20,82;232,53;111,06;6,94;0,00;0,00;106,20;20,65;0,00;59,00;0,00;13,97
2019-04-21;65,00;65,00;13,24;13,24;6,02;32,00;0,00;7,00;13,00;0,00;205,26;177,89;0,00;0,00;5,91;112,27;26,59;6,19;97,50;20,12;26,31
2019-04-28;48,00;42,00;18,00;18,00;12,00;36,00;0,00;0,00;6,00;6,86;168,00;144,00;0,00;0,00;0,00;104,47;5,65;0,00;60,39;6,19;48,00
2019-05-05;71,00;71,00;23,67;11,83;5,92;36,00;0,00;6,00;6,00;6,76;169,05;202,86;0,00;0,00;5,92;115,38;17,75;0,00;94,15;29,33;47,85
2019-05-12;43,00;48,97;11,94;17,92;0,00;55,00;6,00;12,00;18,00;7,17;125,42;215,00;0,00;0,00;5,73;120,40;17,20;0,00;66,04;12,29;18,43
2019-05-19;60,00;36,00;36,00;6,00;6,00;12,00;0,00;6,00;18,00;7,06;183,53;183,53;0,00;0,00;0,00;111,00;24,00;6,15;60,00;18,46;29,23
2019-05-26;50,00;36,90;5,95;0,00;5,95;31,00;0,00;13,00;12,00;7,14;275,00;110,71;0,00;0,00;5,88;194,12;55,88;0,00;126,56;0,00;43,75
2019-06-02;54,00;30,00;54,00;0,00;6,00;60,00;0,00;6,00;12,00;7,20;216,00;208,80;7,20;0,00;6,00;147,00;36,00;6,17;64,80;35,49;60,17
2019-06-09;99,00;106,24;18,11;18,11;12,07;31,00;0,00;0,00;6,00;7,07;265,18;183,86;14,14;5,82;0,00;177,62;23,29;6,19;111,38;18,56;30,94
2019-06-16;62,00;81,08;25,04;0,00;0,00;25,00;12,00;6,00;6,00;6,89;196,33;148,11;0,00;0,00;0,00;233,24;0,00;12,40;124,00;0,00;37,20
2019-06-23;56,00;56,00;42,89;5,96;11,91;56,00;0,00;6,00;0,00;17,50;133,00;269,50;0,00;0,00;11,79;150,32;23,58;24,89;124,44;6,22;43,56
2019-06-30;61,00;55,02;41,86;5,98;17,94;18,00;0,00;0,00;24,00;7,18;233,24;157,88;7,18;0,00;5,81;174,29;29,05;6,26;86,03;12,51;12,51
2019-07-07;55,00;66,96;31,09;17,93;0,00;31,00;0,00;0,00;18,00;6,88;261,25;158,13;6,88;0,00;0,00;237,37;28,95;0,00;102,36;36,67;36,67
2019-07-14;70,00;63,97;38,62;0,00;0,00;57,00;0,00;0,00;19,00;31,50;185,50;154,00;14,00;0,00;20,42;291,67;11,67;0,00;102,67;38,89;24,89
2019-07-21;100,00;120,48;53,01;13,25;13,25;40,00;0,00;7,00;0,00;6,90;193,10;131,03;6,90;0,00;0,00;152,94;14,71;14,06;73,44;20,31;20,31
2019-07-28;58,00;44,71;44,71;19,33;13,29;45,00;6,00;6,00;13,00;0,00;232,00;119,41;0,00;5,80;0,00;127,60;43,50;0,00;155,19;12,54;39,19
2019-08-04;52,00;52,00;32,65;6,05;0,00;46,00;0,00;0,00;7,00;20,80;284,27;187,20;6,93;0,00;5,78;225,33;52,00;6,12;108,59;12,24;38,24
2019-08-11;74,00;68,03;5,97;5,97;0,00;43,00;0,00;6,00;25,00;7,05;352,38;183,24;0,00;0,00;0,00;150,96;23,68;6,17;111,00;12,33;55,50
