Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2019-01-06;23,00;4,00;1,00;1,00;2,00;2,00;3,00;3,00;0,50;0,50;0,50;2,00;2,00;0,00;0,50;0,50;0,00;0,00;0,00;0,00;0,00
2019-01-13;22,00;4,00;1,00;3,00;3,00;1,00;3,00;4,00;0,50;0,50;1,00;2,00;1,00;0,00;0,50;1,00;1,00;0,00;0,50;0,50;0,50
2019-01-20;22,00;3,00;1,00;3,00;1,00;2,00;4,00;2,00;0,50;0,00;1,00;1,00;1,00;0,50;0,50;0,50;1,00;0,50;0,00;0,50;0,00
2019-01-27;18,00;3,00;4,00;2,00;1,00;1,00;4,00;2,00;0,50;0,50;0,50;2,00;2,00;0,50;0,00;1,00;1,00;0,50;0,00;0,00;1,00
2019-02-03;14,00;4,00;2,00;2,00;1,00;1,00;3,00;1,00;0,50;0,50;1,00;1,00;1,00;0,00;0,00;0,50;1,00;0,50;0,00;0,50;0,00
2019-02-10;16,00;4,00;1,00;2,00;1,00;2,00;3,00;3,00;0,00;0,50;0,50;2,00;2,00;0,50;1,00;0,50;0,50;0,50;0,00;0,00;0,00
2019-02-17;18,00;5,00;1,00;3,00;1,00;1,00;4,00;3,00;0,50;1,00;0,50;1,00;1,00;1,00;0,00;0,00;0,50;0,50;0,50;0,00;0,50
2019-02-24;16,00;3,00;1,00;2,00;2,00;2,00;4,00;2,00;0,00;0,50;0,50;1,00;1,00;0,00;0,00;0,50;0,50;0,00;0,00;0,50;0,00
2019-03-03;17,00;3,00;1,00;2,00;1,00;2,00;4,00;3,00;0,50;0,50;0,50;1,00;0,00;1,00;0,00;0,50;0,50;0,50;0,00;0,00;0,00
2019-03-10;20,00;4,00;2,00;1,00;3,00;2,00;4,00;3,00;0,00;1,00;0,50;1,00;1,00;0,50;0,00;0,50;1,00;0,50;0,00;0,00;0,50
