Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;21,00;37,00;23,00;71,00;0,00;6,00;4,00;4,00;4,00
2019-01-13;20,00;27,00;18,00;57,00;2,00;4,00;5,00;6,00;7,00
2019-01-20;17,00;32,00;20,00;59,00;3,00;2,00;2,00;6,00;4,00
2019-01-27;18,00;25,00;26,00;53,00;1,00;4,00;3,00;13,00;5,00
2019-02-03;16,00;30,00;21,00;48,00;1,00;2,00;4,00;18,00;2,00
2019-02-10;19,00;37,00;20,00;43,00;3,00;2,00;3,00;18,00;6,00
2019-02-17;17,00;27,00;13,00;45,00;3,00;3,00;6,00;17,00;2,00
2019-02-24;13,00;25,00;14,00;34,00;1,00;1,00;3,00;13,00;5,00
2019-03-03;16,00;31,00;13,00;45,00;4,00;2,00;8,00;18,00;4,00
2019-03-10;14,00;25,00;20,00;44,00;1,00;2,00;3,00;21,00;2,00
2019-03-17;14,00;29,00;13,00;37,00;2,00;4,00;5,00;20,00;4,00
2019-03-24;19,00;21,00;12,00;39,00;1,00;1,00;9,00;22,00;1,00
2019-03-31;14,00;35,00;13,00;56,00;3,00;1,00;6,00;4,00;1,00
2019-04-07;18,00;24,00;12,00;48,00;1,00;3,00;5,00;6,00;4,00
2019-04-14;12,00;22,00;8,00;69,00;2,00;2,00;1,00;5,00;3,00
2019-04-21;18,00;16,00;12,00;63,00;1,00;4,00;5,00;4,00;5,00
2019-04-28;19,00;25,00;11,00;51,00;1,00;1,00;4,00;6,00;1,00
2019-05-05;14,00;24,00;7,00;53,00;2,00;0,00;5,00;3,00;4,00
2019-05-12;14,00;17,00;5,00;48,00;1,00;1,00;3,00;4,00;1,00
2019-05-19;18,00;12,00;10,00;40,00;2,00;1,00;8,00;3,00;5,00
