Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;19,00;24,43;5,43;0,00;0,00;0,00;0,00;0,00;0,00;3,17;60,17;38,00;0,00;0,00;5,43;46,14;0,00;0,00;0,00;5,00;5,00
2019-01-13;46,00;27,06;0,00;0,00;0,00;5,00;0,00;0,00;0,00;13,14;36,14;36,14;3,29;0,00;0,00;35,18;0,00;5,00;0,00;0,00;9,00
2019-01-20;39,00;34,82;0,00;0,00;0,00;4,00;0,00;4,00;0,00;3,25;48,75;39,00;0,00;0,00;0,00;96,20;0,00;0,00;0,00;0,00;22,00
2019-01-27;26,00;35,58;4,11;8,21;0,00;0,00;0,00;0,00;0,00;16,25;22,75;58,50;3,25;5,20;0,00;70,20;7,80;0,00;0,00;4,00;9,00
2019-02-03;19,00;46,14;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;19,00;57,00;0,00;0,00;5,43;35,29;0,00;0,00;5,00;0,00;0,00
2019-02-10;23,00;50,06;9,47;0,00;0,00;0,00;0,00;0,00;0,00;9,86;32,86;39,43;0,00;0,00;5,11;33,22;0,00;0,00;0,00;5,00;9,00
2019-02-17;51,00;41,35;0,00;0,00;0,00;5,00;0,00;0,00;5,00;3,40;37,40;95,20;3,40;0,00;0,00;61,74;5,37;0,00;0,00;0,00;0,00
2019-02-24;75,00;51,39;13,89;0,00;0,00;5,00;0,00;0,00;0,00;3,41;40,91;75,00;0,00;0,00;0,00;18,75;0,00;0,00;9,00;0,00;5,00
2019-03-03;34,00;63,75;4,25;0,00;0,00;0,00;0,00;0,00;0,00;10,20;37,40;68,00;0,00;0,00;0,00;49,69;0,00;0,00;0,00;10,00;0,00
2019-03-10;34,00;43,92;4,25;0,00;0,00;0,00;0,00;0,00;5,00;3,40;34,00;71,40;0,00;0,00;5,23;47,08;10,46;0,00;5,00;5,00;5,00
2019-03-17;58,00;62,14;9,67;0,00;0,00;0,00;0,00;0,00;0,00;10,24;13,65;102,35;0,00;0,00;0,00;68,55;5,27;0,00;0,00;5,00;10,00
2019-03-24;43,00;67,97;9,71;0,00;0,00;0,00;0,00;0,00;0,00;13,23;33,08;76,08;0,00;5,38;5,38;64,50;5,38;0,00;5,00;0,00;5,00
2019-03-31;50,00;69,44;0,00;0,00;0,00;9,00;0,00;0,00;5,00;10,00;60,00;136,67;0,00;5,26;0,00;73,68;0,00;0,00;0,00;0,00;9,00
2019-04-07;36,00;41,54;9,69;0,00;4,15;5,00;0,00;5,00;5,00;3,27;68,73;98,18;3,27;0,00;0,00;100,29;0,00;0,00;0,00;0,00;23,00
2019-04-14;29,00;73,19;5,52;0,00;0,00;5,00;5,00;0,00;15,00;3,22;54,78;138,56;0,00;0,00;0,00;134,45;0,00;0,00;0,00;0,00;24,00
2019-04-21;75,00;88,89;4,17;0,00;0,00;0,00;0,00;0,00;0,00;20,45;57,95;109,09;0,00;5,36;0,00;187,50;0,00;0,00;0,00;0,00;9,00
2019-04-28;42,00;42,00;4,20;0,00;0,00;14,00;0,00;0,00;5,00;10,50;63,00;105,00;0,00;0,00;10,50;99,75;0,00;0,00;9,00;0,00;23,00
2019-05-05;32,00;73,74;4,17;0,00;0,00;5,00;0,00;0,00;5,00;0,00;64,00;124,44;0,00;0,00;5,33;109,33;0,00;0,00;5,00;0,00;18,00
2019-05-12;32,00;47,30;0,00;4,17;0,00;0,00;0,00;0,00;0,00;9,60;86,40;96,00;0,00;0,00;5,33;128,00;0,00;5,00;0,00;5,00;9,00
2019-05-19;41,00;31,43;4,10;13,67;0,00;0,00;0,00;0,00;14,00;10,25;54,67;146,92;0,00;0,00;0,00;95,67;5,47;0,00;0,00;5,00;5,00
2019-05-26;45,00;45,00;9,55;13,64;9,55;18,00;0,00;9,00;5,00;10,38;65,77;114,23;3,46;0,00;5,29;92,65;5,29;0,00;5,00;5,00;5,00
2019-06-02;94,00;125,79;0,00;8,29;0,00;4,00;0,00;0,00;4,00;10,07;73,86;57,07;10,07;0,00;0,00;268,57;0,00;0,00;4,00;9,00;22,00
