Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2019-01-06;41,00;82,00;5,13;10,25;10,25;2,00;3,00;6,00;0,00;24,60;0,00;4,10;2,05;0,00;0,00;3,00;5,00;0,00;0,00;0,00;0,00
2019-01-13;29,00;67,67;9,67;9,67;9,67;3,00;12,00;7,00;0,00;4,14;2,07;4,14;0,00;0,00;1,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-01-20;38,00;57,00;4,75;9,50;4,75;1,00;1,00;4,00;0,00;4,22;4,22;0,00;0,00;0,00;3,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;32,00;74,67;10,67;10,67;10,67;0,00;5,00;1,00;1,00;4,00;4,00;4,00;2,00;1,00;1,00;7,00;1,00;0,00;0,00;0,00;0,00
2019-02-03;28,00;74,67;9,33;4,67;9,33;3,00;15,00;4,00;0,00;4,00;2,00;0,00;2,00;1,00;0,00;0,00;4,00;1,00;1,00;0,00;0,00
2019-02-10;28,00;93,33;4,67;9,33;4,67;4,00;12,00;6,00;0,00;2,00;2,00;4,00;0,00;0,00;4,00;3,00;4,00;0,00;0,00;0,00;1,00
2019-02-17;38,00;114,00;28,50;9,50;9,50;7,00;4,00;6,00;3,00;2,11;0,00;0,00;2,11;1,00;1,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-02-24;20,00;90,00;5,00;10,00;10,00;3,00;13,00;6,00;0,00;2,00;0,00;4,00;0,00;3,00;4,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-03-03;30,00;100,00;10,00;10,00;20,00;6,00;7,00;4,00;0,00;4,29;4,29;4,29;4,29;1,00;1,00;1,00;1,00;0,00;0,00;0,00;2,00
2019-03-10;33,00;110,00;5,50;11,00;11,00;4,00;15,00;7,00;0,00;4,13;0,00;2,06;0,00;4,00;4,00;3,00;4,00;0,00;1,00;0,00;0,00
2019-03-17;44,00;105,60;8,80;17,60;8,80;3,00;6,00;15,00;0,00;2,00;0,00;4,00;0,00;3,00;1,00;1,00;1,00;0,00;1,00;1,00;0,00
2019-03-24;47,00;94,00;4,70;4,70;9,40;9,00;12,00;9,00;0,00;2,14;0,00;2,14;2,14;0,00;1,00;3,00;1,00;1,00;0,00;1,00;0,00
2019-03-31;63,00;90,00;18,00;18,00;9,00;0,00;16,00;10,00;1,00;4,20;4,20;0,00;2,10;4,00;0,00;3,00;1,00;3,00;0,00;0,00;0,00
2019-04-07;51,00;132,60;10,20;10,20;10,20;1,00;21,00;10,00;0,00;7,85;1,96;1,96;0,00;1,00;1,00;3,00;8,00;0,00;0,00;4,00;0,00
2019-04-14;73,00;228,13;9,13;27,38;18,25;9,00;12,00;14,00;0,00;8,11;0,00;4,06;2,03;5,00;6,00;2,00;12,00;0,00;0,00;0,00;0,00
2019-04-21;61,00;132,17;10,17;20,33;20,33;0,00;12,00;10,00;1,00;4,07;4,07;0,00;4,07;0,00;1,00;1,00;6,00;1,00;0,00;0,00;0,00
2019-04-28;48,00;105,60;9,60;19,20;9,60;6,00;14,00;7,00;0,00;4,00;0,00;4,00;0,00;3,00;3,00;3,00;6,00;1,00;1,00;1,00;0,00
2019-05-05;50,00;120,00;10,00;20,00;20,00;3,00;13,00;11,00;1,00;4,17;0,00;4,17;0,00;1,00;3,00;3,00;4,00;0,00;0,00;1,00;0,00
2019-05-12;56,00;93,33;9,33;18,67;9,33;4,00;23,00;12,00;0,00;4,00;0,00;4,00;2,00;0,00;1,00;1,00;7,00;0,00;1,00;0,00;0,00
2019-05-19;67,00;105,29;9,57;9,57;19,14;4,00;38,00;17,00;3,00;4,19;2,09;4,19;4,19;1,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00
2019-05-26;73,00;91,25;9,13;9,13;18,25;4,00;21,00;11,00;0,00;8,11;2,03;2,03;0,00;0,00;7,00;3,00;4,00;1,00;0,00;0,00;0,00
2019-06-02;70,00;150,00;10,00;5,00;10,00;4,00;26,00;10,00;0,00;4,12;0,00;4,12;4,12;0,00;3,00;4,00;3,00;0,00;0,00;0,00;0,00
2019-06-09;77,00;154,00;9,63;19,25;19,25;6,00;19,00;8,00;0,00;0,00;2,03;4,05;4,05;3,00;1,00;1,00;4,00;3,00;0,00;0,00;0,00
2019-06-16;65,00;139,29;9,29;18,57;18,57;1,00;15,00;13,00;0,00;4,06;2,03;2,03;4,06;1,00;1,00;6,00;7,00;3,00;0,00;0,00;0,00
2019-06-23;95,00;152,00;9,50;38,00;28,50;3,00;15,00;24,00;3,00;4,13;2,07;4,13;4,13;0,00;3,00;3,00;15,00;0,00;0,00;0,00;0,00
2019-06-30;76,00;180,50;9,50;19,00;19,00;3,00;16,00;13,00;3,00;4,00;2,00;8,00;4,00;1,00;7,00;4,00;10,00;1,00;3,00;0,00;0,00
2019-07-07;87,00;164,33;9,67;19,33;19,33;6,00;14,00;13,00;0,00;8,29;4,14;8,29;4,14;1,00;6,00;1,00;11,00;0,00;0,00;3,00;0,00
2019-07-14;89,00;227,44;9,89;19,78;19,78;4,00;9,00;15,00;0,00;16,18;2,02;4,05;4,05;1,00;7,00;9,00;12,00;0,00;0,00;3,00;0,00
2019-07-21;76,00;247,00;19,00;38,00;28,50;6,00;23,00;9,00;2,00;12,00;4,00;4,00;8,00;3,00;6,00;5,00;11,00;2,00;2,00;5,00;0,00
2019-07-28;100,00;254,55;18,18;27,27;27,27;5,00;44,00;25,00;0,00;8,33;2,08;8,33;8,33;2,00;3,00;2,00;8,00;2,00;0,00;3,00;0,00
2019-08-04;94,00;300,80;18,80;37,60;37,60;14,00;33,00;11,00;2,00;8,17;2,04;2,04;12,26;6,00;8,00;3,00;9,00;2,00;6,00;2,00;0,00
2019-08-11;90,00;390,00;20,00;30,00;40,00;9,00;28,00;19,00;2,00;8,18;2,05;8,18;12,27;9,00;5,00;5,00;9,00;5,00;0,00;2,00;0,00
2019-08-18;95,00;950,00;9,50;19,00;28,50;9,00;27,00;14,00;0,00;16,52;4,13;4,13;4,13;0,00;5,00;5,00;14,00;6,00;2,00;0,00;2,00
2019-08-25;69,00;443,57;19,71;19,71;29,57;7,00;19,00;16,00;0,00;8,12;4,06;4,06;8,12;1,00;4,00;0,00;7,00;0,00;0,00;1,00;0,00
2019-09-01;64,00;137,14;4,57;18,29;18,29;6,00;10,00;12,00;0,00;8,00;2,00;2,00;2,00;1,00;1,00;1,00;8,00;1,00;0,00;0,00;0,00
2019-09-08;72,00;117,00;4,50;9,00;18,00;1,00;15,00;18,00;0,00;8,00;0,00;2,00;4,00;3,00;4,00;0,00;3,00;0,00;1,00;0,00;0,00
2019-09-15;47,00;131,60;4,70;9,40;18,80;5,00;12,00;7,00;0,00;3,92;0,00;0,00;0,00;3,00;0,00;1,00;0,00;3,00;1,00;1,00;0,00
2019-09-22;78,00;107,25;9,75;9,75;9,75;11,00;4,00;15,00;0,00;12,32;4,11;0,00;0,00;3,00;1,00;3,00;1,00;0,00;1,00;0,00;0,00
2019-09-29;64,00;109,71;4,57;9,14;9,14;3,00;8,00;8,00;0,00;2,00;2,00;2,00;0,00;1,00;1,00;3,00;3,00;1,00;0,00;0,00;0,00
2019-10-06;52,00;135,20;10,40;5,20;10,40;7,00;11,00;4,00;0,00;4,00;2,00;2,00;2,00;0,00;1,00;3,00;1,00;0,00;0,00;1,00;0,00
2019-10-13;59,00;78,67;0,00;9,83;4,92;0,00;12,00;4,00;0,00;7,87;0,00;3,93;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-10-20;39,00;97,50;9,75;9,75;4,88;1,00;8,00;0,00;0,00;11,70;0,00;0,00;0,00;1,00;0,00;0,00;5,00;0,00;0,00;0,00;1,00
2019-10-27;37,00;120,25;4,63;9,25;9,25;1,00;4,00;5,00;0,00;8,22;0,00;4,11;0,00;0,00;0,00;4,00;1,00;0,00;0,00;0,00;1,00
2019-11-03;37,00;64,75;4,63;9,25;4,63;1,00;5,00;3,00;0,00;12,33;0,00;0,00;0,00;1,00;0,00;0,00;1,00;1,00;1,00;0,00;0,00
2019-11-10;38,00;57,00;9,50;9,50;9,50;1,00;8,00;7,00;0,00;21,11;0,00;4,22;2,11;0,00;1,00;3,00;3,00;0,00;0,00;0,00;0,00
2019-11-17;27,00;72,00;4,50;9,00;4,50;1,00;3,00;5,00;0,00;30,86;0,00;0,00;1,93;3,00;1,00;4,00;1,00;0,00;0,00;0,00;0,00
2019-11-24;32,00;74,67;5,33;5,33;10,67;1,00;5,00;4,00;0,00;44,00;2,00;2,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00
2019-12-01;44,00;114,40;4,40;8,80;4,40;5,00;5,00;7,00;0,00;168,00;0,00;2,00;2,00;1,00;1,00;1,00;3,00;0,00;0,00;0,00;0,00
