Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;75,00;13,00;13,00;6,00;25,00;4,00;6,00;10,00;8,00;2,00;0,00;2,00;2,00;0,00;13,00;2,00;4,00;0,00;8,00;6,00;0,00;0,00;2,68;36,16;18,75;0,00;19,00;10,00
2019-01-13;38,00;20,00;10,00;14,00;12,00;4,00;2,00;16,00;0,00;2,00;4,00;0,00;0,00;0,00;2,00;8,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;62,43;16,29;2,00;6,00;12,00
2019-01-20;50,00;9,00;15,00;7,00;24,00;13,00;4,00;11,00;0,00;4,00;2,00;2,00;0,00;2,00;9,00;2,00;0,00;0,00;7,00;4,00;2,00;0,00;0,00;62,16;25,68;4,00;24,00;15,00
2019-01-27;34,00;15,00;2,00;4,00;9,00;0,00;8,00;26,00;4,00;2,00;8,00;4,00;2,00;0,00;4,00;0,00;0,00;2,00;2,00;0,00;9,00;0,00;0,00;53,04;29,92;0,00;11,00;4,00
2019-02-03;51,00;8,00;2,00;4,00;14,00;2,00;0,00;2,00;0,00;2,00;2,00;0,00;4,00;0,00;4,00;4,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;71,13;8,05;0,00;22,00;4,00
2019-02-10;24,00;2,00;6,00;8,00;4,00;6,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;2,00;4,00;4,00;0,00;0,00;2,00;6,00;6,00;0,00;0,00;54,67;13,33;2,00;6,00;2,00
2019-02-17;48,00;0,00;4,00;10,00;14,00;4,00;4,00;4,00;6,00;0,00;10,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;2,00;0,00;4,00;0,00;0,00;50,67;5,33;6,00;10,00;10,00
2019-02-24;22,00;8,00;10,00;0,00;6,00;2,00;0,00;4,00;0,00;2,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;2,00;2,00;2,00;0,00;0,00;28,88;12,38;4,00;14,00;6,00
2019-03-03;37,00;2,00;8,00;8,00;12,00;4,00;4,00;0,00;0,00;2,00;0,00;0,00;2,00;0,00;2,00;0,00;0,00;2,00;6,00;2,00;2,00;0,00;0,00;26,43;14,54;4,00;10,00;6,00
2019-03-10;62,00;10,00;12,00;6,00;16,00;4,00;4,00;2,00;0,00;4,00;0,00;2,00;0,00;0,00;2,00;0,00;0,00;0,00;2,00;2,00;0,00;0,00;2,70;26,96;8,09;2,00;6,00;2,00
2019-03-17;29,00;2,00;10,00;4,00;10,00;2,00;2,00;6,00;0,00;2,00;2,00;0,00;2,00;0,00;2,00;2,00;0,00;0,00;4,00;4,00;2,00;0,00;0,00;23,48;12,43;2,00;8,00;4,00
2019-03-24;43,00;8,00;10,00;0,00;6,00;6,00;0,00;0,00;2,00;0,00;0,00;0,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;18,81;2,69;4,00;2,00;0,00
2019-03-31;43,00;10,00;6,00;6,00;6,00;0,00;0,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;2,00;4,00;0,00;0,00;14,78;0,00;4,00;4,00;4,00
2019-04-07;33,00;2,00;4,00;2,00;4,00;4,00;0,00;0,00;2,00;0,00;0,00;2,00;0,00;0,00;2,00;4,00;0,00;0,00;4,00;2,00;0,00;0,00;0,00;21,12;7,92;0,00;4,00;2,00
2019-04-14;63,00;6,00;17,00;6,00;35,00;6,00;0,00;0,00;2,00;2,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;2,00;0,00;0,00;30,13;6,85;0,00;4,00;2,00
2019-04-21;50,00;8,00;8,00;6,00;4,00;2,00;0,00;2,00;0,00;0,00;2,00;0,00;2,00;0,00;4,00;0,00;2,00;0,00;0,00;4,00;4,00;0,00;0,00;17,57;5,41;0,00;0,00;2,00
2019-04-28;36,00;0,00;4,00;0,00;6,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,33;0,00;0,00;1,33;0,00;0,00;0,00
2019-05-05;24,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;4,00;0,00;1,33;0,00;13,33;0,00;0,00;4,00;2,00
2019-05-12;36,00;0,00;8,00;0,00;4,00;0,00;0,00;0,00;2,00;0,00;6,00;2,00;0,00;0,00;4,00;0,00;0,00;0,00;6,00;2,00;0,00;0,00;0,00;2,67;4,00;0,00;0,00;0,00
2019-05-19;35,00;0,00;12,00;0,00;2,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;2,00;2,00;1,35;0,00;4,04;4,04;2,00;0,00;0,00
2019-05-26;27,00;0,00;12,00;4,00;0,00;0,00;2,00;6,00;0,00;0,00;2,00;2,00;0,00;0,00;2,00;0,00;0,00;2,00;0,00;2,00;0,00;1,35;0,00;6,75;4,05;2,00;0,00;0,00
2019-06-02;52,00;2,00;8,00;8,00;4,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;2,00;4,00;0,00;1,37;0,00;10,95;0,00;0,00;0,00;0,00
2019-06-09;52,00;0,00;6,00;2,00;6,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;12,00;5,33;2,00;0,00;2,00
2019-06-16;53,00;0,00;4,00;2,00;2,00;0,00;2,00;0,00;0,00;2,00;2,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;6,00;0,00;4,00;0,00;0,00;10,87;2,72;0,00;0,00;0,00
2019-06-23;65,00;0,00;4,00;10,00;8,00;0,00;0,00;2,00;2,00;0,00;4,00;0,00;0,00;0,00;2,00;0,00;4,00;0,00;10,00;4,00;2,00;0,00;0,00;20,31;4,06;0,00;0,00;0,00
2019-06-30;59,00;6,00;22,00;12,00;8,00;0,00;0,00;2,00;0,00;2,00;2,00;0,00;2,00;0,00;2,00;0,00;0,00;0,00;8,00;0,00;2,00;0,00;0,00;13,41;2,68;0,00;0,00;0,00
2019-07-07;65,00;6,00;4,00;4,00;4,00;4,00;2,00;2,00;0,00;2,00;0,00;0,00;10,00;0,00;2,00;0,00;4,00;0,00;4,00;2,00;2,00;1,35;0,00;6,77;13,54;0,00;4,00;0,00
2019-07-14;77,00;0,00;14,00;4,00;8,00;0,00;2,00;4,00;2,00;4,00;4,00;2,00;14,00;0,00;4,00;0,00;2,00;0,00;2,00;0,00;0,00;4,05;0,00;13,51;8,11;4,00;0,00;2,00
2019-07-21;80,00;46,00;35,00;8,00;25,00;2,00;0,00;0,00;0,00;2,00;0,00;0,00;2,00;0,00;0,00;2,00;0,00;2,00;2,00;6,00;2,00;0,00;0,00;28,47;2,71;2,00;2,00;2,00
2019-07-28;82,00;4,00;19,00;4,00;17,00;6,00;2,00;2,00;0,00;9,00;4,00;0,00;2,00;0,00;4,00;0,00;0,00;0,00;6,00;2,00;4,00;0,00;0,00;18,82;10,75;0,00;2,00;2,00
2019-08-04;84,00;4,00;11,00;4,00;6,00;0,00;0,00;2,00;0,00;2,00;6,00;2,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;2,00;0,00;0,00;35,23;4,06;2,00;4,00;0,00
2019-08-11;58,00;2,00;4,00;6,00;11,00;2,00;4,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;2,00;0,00;0,00;2,00;2,00;2,00;2,00;0,00;0,00;25,63;6,74;0,00;2,00;0,00
2019-08-18;100,00;2,00;19,00;4,00;4,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;2,00;4,00;0,00;0,00;4,00;0,00;0,00;2,00;0,00;0,00;22,97;12,16;0,00;0,00;2,00
2019-08-25;93,00;0,00;6,00;4,00;2,00;6,00;4,00;2,00;0,00;2,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;2,00;0,00;0,00;13,48;0,00;0,00;0,00;2,00
2019-09-01;46,00;6,00;6,00;0,00;6,00;4,00;0,00;0,00;0,00;0,00;6,00;0,00;4,00;0,00;2,00;0,00;0,00;0,00;4,00;4,00;2,00;0,00;0,00;12,18;8,12;0,00;2,00;2,00
2019-09-08;47,00;6,00;6,00;2,00;7,00;2,00;0,00;2,00;0,00;2,00;0,00;0,00;4,00;0,00;4,00;2,00;4,00;0,00;0,00;2,00;2,00;0,00;0,00;0,00;4,03;0,00;4,00;2,00
2019-09-15;17,00;2,00;7,00;6,00;6,00;0,00;6,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,58;8,50;0,00;0,00;4,00
2019-09-22;36,00;0,00;8,00;8,00;9,00;2,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;6,00;2,00;0,00;0,00;6,67;0,00;4,00;0,00;0,00
2019-09-29;37,00;6,00;4,00;2,00;11,00;4,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;2,00;0,00;2,00;0,00;0,00;6,61;1,32;0,00;0,00;2,00
2019-10-06;23,00;8,00;7,00;4,00;11,00;0,00;0,00;6,00;4,00;4,00;6,00;0,00;2,00;0,00;0,00;2,00;2,00;0,00;0,00;0,00;2,00;0,00;0,00;12,18;0,00;0,00;2,00;2,00
