Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;36,00;8,00;22,00;41,00;6,00;4,00;10,00;10,00;8,00
2019-01-13;40,00;15,00;17,00;28,00;0,00;6,00;4,00;6,00;8,00
2019-01-20;32,00;9,00;12,00;33,00;2,00;0,00;7,00;7,00;0,00
2019-01-27;43,00;14,00;13,00;27,00;9,00;4,00;2,00;11,00;11,00
2019-02-03;37,00;11,00;15,00;27,00;2,00;2,00;4,00;8,00;11,00
2019-02-10;27,00;4,00;19,00;34,00;4,00;4,00;4,00;8,00;2,00
2019-02-17;36,00;9,00;25,00;30,00;4,00;10,00;6,00;13,00;4,00
2019-02-24;38,00;13,00;15,00;40,00;2,00;4,00;9,00;2,00;8,00
2019-03-03;37,00;14,00;23,00;33,00;0,00;4,00;2,00;4,00;6,00
2019-03-10;27,00;6,00;8,00;35,00;0,00;2,00;6,00;2,00;0,00
2019-03-17;29,00;17,00;18,00;21,00;6,00;6,00;8,00;4,00;2,00
2019-03-24;78,00;27,00;19,00;37,00;4,00;0,00;6,00;12,00;6,00
2019-03-31;30,00;7,00;17,00;33,00;2,00;6,00;18,00;8,00;0,00
2019-04-07;44,00;9,00;13,00;35,00;2,00;4,00;4,00;7,00;4,00
2019-04-14;53,00;8,00;18,00;22,00;8,00;0,00;6,00;4,00;6,00
2019-04-21;26,00;9,00;11,00;25,00;2,00;4,00;7,00;10,00;2,00
2019-04-28;43,00;7,00;19,00;17,00;7,00;4,00;7,00;10,00;2,00
2019-05-05;43,00;20,00;69,00;32,00;2,00;2,00;17,00;9,00;17,00
2019-05-12;69,00;13,00;13,00;22,00;2,00;0,00;6,00;4,00;34,00
2019-05-19;37,00;18,00;20,00;33,00;2,00;0,00;5,00;6,00;6,00
2019-05-26;80,00;13,00;13,00;18,00;2,00;0,00;5,00;7,00;2,00
2019-06-02;25,00;7,00;22,00;31,00;4,00;0,00;2,00;13,00;5,00
2019-06-09;27,00;7,00;20,00;25,00;5,00;6,00;13,00;6,00;5,00
2019-06-16;19,00;15,00;13,00;33,00;8,00;0,00;17,00;4,00;2,00
2019-06-23;37,00;16,00;18,00;29,00;2,00;2,00;8,00;4,00;10,00
2019-06-30;46,00;8,00;23,00;27,00;4,00;2,00;4,00;2,00;6,00
