Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;21,00;493,50;5,25;10,50;21,00;29,00;33,00;8,00;28,00;2,10;14,70;4,20;0,00
2019-01-13;15,00;780,00;7,50;30,00;30,00;30,00;36,00;10,00;23,00;15,00;15,00;4,29;1,07
2019-01-20;19,00;408,50;4,75;9,50;19,00;26,00;37,00;10,00;30,00;12,67;19,00;2,11;0,00
2019-01-27;16,00;768,00;8,00;16,00;32,00;22,00;29,00;6,00;26,00;13,71;16,00;6,86;0,00
2019-02-03;14,00;714,00;7,00;28,00;28,00;28,00;25,00;4,00;28,00;10,00;18,00;4,00;1,00
2019-02-10;14,00;714,00;7,00;28,00;28,00;27,00;33,00;7,00;17,00;11,67;21,00;4,67;0,00
2019-02-17;19,00;494,00;9,50;19,00;104,50;29,00;29,00;6,00;36,00;10,56;23,22;4,22;0,00
2019-02-24;10,00;460,00;5,00;10,00;20,00;24,00;28,00;9,00;33,00;6,00;18,00;4,00;0,00
2019-03-03;15,00;720,00;7,50;15,00;30,00;32,00;33,00;8,00;31,00;8,57;19,29;4,29;2,14
2019-03-10;17,00;867,00;8,50;17,00;51,00;29,00;33,00;8,00;31,00;8,50;19,13;4,25;1,06
2019-03-17;22,00;605,00;5,50;22,00;22,00;27,00;32,00;4,00;24,00;11,00;24,20;6,60;2,20
2019-03-24;24,00;564,00;6,00;24,00;24,00;32,00;26,00;9,00;25,00;10,91;17,45;6,55;2,18
2019-03-31;32,00;469,33;5,33;21,33;21,33;30,00;56,00;14,00;32,00;12,80;23,47;4,27;2,13
2019-04-07;26,00;611,00;13,00;26,00;26,00;43,00;48,00;9,00;38,00;17,33;21,67;8,67;2,17
2019-04-14;37,00;1233,33;12,33;24,67;37,00;46,00;69,00;18,00;47,00;13,06;30,47;8,71;1,09
2019-04-21;31,00;444,33;5,17;20,67;20,67;39,00;66,00;17,00;36,00;13,29;22,14;4,43;0,00
2019-04-28;24,00;468,00;6,00;12,00;24,00;33,00;42,00;13,00;27,00;10,91;19,64;4,36;2,18
2019-05-05;25,00;637,50;6,25;25,00;25,00;34,00;51,00;13,00;24,00;10,42;29,17;6,25;2,08
2019-05-12;29,00;594,50;7,25;29,00;43,50;34,00;52,00;16,00;39,00;11,15;22,31;6,69;0,00
2019-05-19;34,00;453,33;5,67;11,33;45,33;44,00;49,00;14,00;33,00;13,60;29,47;6,80;2,27
2019-05-26;37,00;481,00;6,17;24,67;24,67;23,00;39,00;19,00;28,00;15,24;21,76;4,35;2,18
2019-06-02;35,00;560,00;5,83;46,67;23,33;36,00;64,00;13,00;48,00;15,31;28,44;8,75;2,19
2019-06-09;39,00;533,00;13,00;52,00;39,00;47,00;50,00;9,00;39,00;23,83;30,33;6,50;1,08
2019-06-16;33,00;484,00;11,00;33,00;33,00;40,00;61,00;19,00;38,00;8,80;28,60;11,00;1,10
2019-06-23;48,00;528,00;6,00;24,00;24,00;43,00;59,00;19,00;31,00;15,27;37,09;8,73;2,18
2019-06-30;38,00;557,33;12,67;38,00;50,67;40,00;65,00;19,00;35,00;19,00;29,56;6,33;2,11
2019-07-07;44,00;506,00;11,00;22,00;33,00;56,00;60,00;17,00;45,00;19,80;33,00;11,00;4,40
2019-07-14;45,00;596,25;11,25;22,50;33,75;52,00;69,00;33,00;53,00;15,00;38,57;8,57;1,07
2019-07-21;39,00;715,00;13,00;26,00;39,00;55,00;81,00;28,00;45,00;19,50;32,50;10,83;2,17
2019-07-28;51,00;726,75;12,75;38,25;38,25;52,00;89,00;24,00;64,00;22,17;28,83;8,87;4,43
2019-08-04;48,00;660,00;12,00;36,00;36,00;73,00;100,00;25,00;52,00;28,36;34,91;13,09;2,18
2019-08-11;45,00;641,25;11,25;33,75;33,75;69,00;94,00;24,00;65,00;34,29;42,86;15,00;2,14
2019-08-18;48,00;636,00;6,00;36,00;48,00;47,00;93,00;21,00;57,00;26,18;26,18;8,73;4,36
2019-08-25;35,00;571,67;11,67;35,00;35,00;59,00;67,00;14,00;39,00;15,31;35,00;6,56;2,19
2019-09-01;32,00;544,00;10,67;21,33;32,00;39,00;64,00;24,00;44,00;8,53;27,73;4,27;2,13
2019-09-08;37,00;579,67;12,33;37,00;24,67;48,00;52,00;15,00;35,00;13,06;21,76;4,35;0,00
2019-09-15;24,00;684,00;6,00;36,00;36,00;25,00;52,00;10,00;28,00;15,27;26,18;6,55;2,18
2019-09-22;40,00;720,00;6,67;40,00;26,67;33,00;49,00;15,00;31,00;11,11;24,44;6,67;2,22
2019-09-29;32,00;544,00;5,33;32,00;21,33;34,00;60,00;8,00;30,00;10,67;23,47;6,40;6,40
2019-10-06;26,00;624,00;13,00;39,00;52,00;32,00;53,00;9,00;42,00;13,00;26,00;6,50;1,08
2019-10-13;30,00;420,00;10,00;20,00;30,00;39,00;60,00;12,00;32,00;12,86;21,43;4,29;0,00
2019-10-20;20,00;480,00;10,00;30,00;20,00;25,00;46,00;17,00;38,00;13,33;28,89;4,44;0,00
