Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;29,00;25,00;5,00;24,00;6,00;38,67;6,44;3,22;19,33;3,63;70,69;67,06;19,94;3,22;8,06;46,72;3,22;7,25;8,70;14,50;18,85
2019-01-13;34,00;31,00;6,00;25,00;12,00;46,95;6,48;1,62;17,81;5,37;50,11;64,42;14,32;6,48;9,71;66,38;3,24;47,30;8,87;22,17;19,22
2019-01-20;37,00;24,00;8,00;24,00;10,00;43,43;6,43;3,22;20,91;3,70;59,20;68,45;16,65;9,65;9,65;80,43;1,61;23,68;8,88;20,72;22,20
2019-01-27;36,00;23,00;4,00;16,00;5,00;44,18;4,91;3,27;18,00;1,80;73,80;73,80;10,80;4,70;7,83;68,87;4,70;2,88;53,28;7,20;15,84
2019-02-03;41,00;26,00;5,00;14,00;2,00;44,28;8,20;4,92;26,24;3,57;65,96;78,43;10,70;3,15;6,31;59,92;4,73;4,39;46,86;7,32;11,71
2019-02-10;51,00;33,00;6,00;15,00;5,00;46,22;11,16;1,59;25,50;3,52;59,79;84,41;10,55;3,19;7,97;58,97;7,97;2,91;67,03;10,20;14,57
2019-02-17;49,00;30,00;6,00;17,00;5,00;47,37;13,07;3,27;35,93;9,07;68,96;83,48;14,52;1,58;6,32;67,97;4,74;2,97;56,42;4,45;11,88
2019-02-24;62,00;40,00;9,00;15,00;4,00;50,58;9,79;4,89;27,74;5,31;54,91;79,71;10,63;1,59;3,18;57,23;4,77;5,90;45,76;8,86;11,81
2019-03-03;53,00;36,00;8,00;12,00;3,00;48,18;12,85;4,82;22,48;7,07;45,93;79,50;7,07;3,12;4,68;57,68;7,79;4,42;45,64;7,36;16,19
2019-03-10;48,00;30,00;5,00;17,00;4,00;44,80;14,40;4,80;20,80;3,56;44,44;80,00;8,89;3,20;1,60;48,00;4,80;3,00;49,50;10,50;16,50
2019-03-17;59,00;40,00;6,00;17,00;4,00;57,36;11,47;3,28;24,58;10,73;41,12;80,45;10,73;4,78;6,38;57,41;4,78;5,90;48,68;7,38;14,75
2019-03-24;66,00;39,00;4,00;13,00;5,00;43,46;11,27;4,83;22,54;8,92;46,38;87,41;8,92;3,14;3,14;67,57;6,29;2,93;48,40;8,80;14,67
2019-03-31;53,00;39,00;9,00;26,00;13,00;51,39;11,24;4,82;20,88;19,43;53,00;75,97;15,90;4,68;3,12;71,71;6,24;7,36;10,31;22,08;22,08
2019-04-07;63,00;47,00;6,00;31,00;17,00;63,00;16,15;4,85;25,85;14,40;48,60;91,80;28,80;4,73;1,58;74,03;6,30;10,26;7,33;27,84;27,84
2019-04-14;61,00;48,00;10,00;28,00;17,00;67,59;19,78;6,59;29,68;16,15;68,18;95,09;25,12;8,03;3,21;94,71;4,82;11,90;10,41;35,71;28,27
2019-04-21;66,00;53,00;10,00;37,00;21,00;72,44;17,71;6,44;20,93;12,49;62,43;98,11;19,62;6,29;4,71;69,14;6,29;7,33;8,80;35,20;32,27
2019-04-28;66,00;51,00;10,00;35,00;21,00;62,78;14,49;4,83;17,71;5,35;60,65;98,11;21,41;9,43;3,14;72,29;6,29;13,20;8,80;32,27;33,73
2019-05-05;65,00;41,00;9,00;32,00;16,00;60,13;21,13;6,50;29,25;7,22;43,33;86,67;21,67;9,51;4,76;69,76;6,34;7,39;8,86;31,02;28,07
