Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;34,00;139,40;105,40;149,60;3,40;7,00;25,00;9,00;5,00
2019-01-13;35,00;120,91;89,09;140,00;3,18;8,00;30,00;8,00;5,00
2019-01-20;32,00;118,40;80,00;137,60;3,20;5,00;31,00;8,00;5,00
2019-01-27;29,00;116,00;83,78;125,67;6,44;6,00;27,00;10,00;4,00
2019-02-03;28,00;126,00;87,50;119,00;3,50;5,00;34,00;10,00;4,00
2019-02-10;31,00;110,22;86,11;127,44;3,44;10,00;26,00;10,00;5,00
2019-02-17;31,00;110,22;79,22;120,56;3,44;6,00;52,00;8,00;5,00
2019-02-24;28,00;126,00;80,50;122,50;3,50;8,00;28,00;11,00;6,00
2019-03-03;26,00;107,25;71,50;123,50;3,25;3,00;27,00;8,00;7,00
2019-03-10;24,00;99,43;72,00;126,86;6,86;5,00;29,00;14,00;8,00
2019-03-17;28,00;90,22;68,44;96,44;3,11;4,00;28,00;8,00;5,00
2019-03-24;24,00;92,57;68,57;116,57;3,43;6,00;33,00;8,00;5,00
2019-03-31;27,00;84,38;60,75;135,00;3,38;5,00;31,00;7,00;5,00
2019-04-07;26,00;87,75;61,75;133,25;3,25;5,00;32,00;6,00;5,00
2019-04-14;24,00;85,71;58,29;123,43;3,43;5,00;33,00;6,00;2,00
2019-04-21;25,00;81,25;50,00;118,75;3,13;4,00;34,00;6,00;5,00
2019-04-28;25,00;75,00;50,00;121,88;3,13;5,00;26,00;6,00;4,00
2019-05-05;29,00;77,33;54,78;128,89;3,22;4,00;26,00;6,00;4,00
2019-05-12;29,00;67,67;51,56;106,33;3,22;4,00;32,00;6,00;6,00
2019-05-19;27,00;81,00;47,25;141,75;3,38;4,00;28,00;7,00;3,00
2019-05-26;25,00;75,00;46,43;125,00;3,57;4,00;31,00;6,00;2,00
2019-06-02;24,00;75,43;54,86;120,00;3,43;3,00;27,00;7,00;4,00
2019-06-09;25,00;65,63;46,88;115,63;3,13;5,00;27,00;5,00;4,00
2019-06-16;37,00;80,73;53,82;127,82;3,36;4,00;31,00;5,00;4,00
2019-06-23;31,00;79,22;55,11;130,89;3,44;3,00;36,00;5,00;5,00
2019-06-30;35,00;76,36;57,27;127,27;6,36;3,00;37,00;6,00;6,00
2019-07-07;31,00;82,67;62,00;130,89;3,44;5,00;37,00;6,00;5,00
2019-07-14;35,00;79,55;57,27;124,09;3,18;5,00;33,00;5,00;6,00
