Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;41,00;317,75;30,75;46,13;76,88;50,00;39,00;25,00;37,00;22,00;34,00;6,00;8,00
2019-01-13;39,00;339,86;27,86;55,71;78,00;49,00;38,00;26,00;39,00;22,00;33,00;6,00;8,00
2019-01-20;39,00;351,00;39,00;44,57;83,57;49,26;41,05;27,71;34,89;24,00;32,00;6,00;6,00
2019-01-27;32,00;325,33;26,67;48,00;64,00;46,00;51,00;17,00;35,00;22,00;30,00;7,00;4,00
2019-02-03;31,00;325,50;25,83;46,50;56,83;50,00;37,00;17,00;36,00;22,00;35,00;6,00;6,00
2019-02-10;30,00;330,00;25,00;45,00;55,00;49,00;39,00;17,00;36,00;23,00;34,00;8,00;5,00
2019-02-17;31,00;351,33;25,83;46,50;62,00;56,00;40,00;15,00;38,00;25,00;34,00;8,00;5,00
2019-02-24;33,00;352,00;27,50;49,50;60,50;63,00;39,00;18,00;39,00;26,00;33,00;7,00;4,00
2019-03-03;31,00;335,83;25,83;56,83;62,00;57,00;45,00;16,00;36,00;30,00;35,00;7,00;5,00
2019-03-10;35,00;325,00;20,00;45,00;55,00;52,00;40,00;14,00;38,00;23,00;33,00;8,00;5,00
2019-03-17;30,00;355,00;20,00;45,00;55,00;60,00;39,00;13,00;34,00;24,00;32,00;7,00;5,00
2019-03-24;36,00;339,43;25,71;51,43;56,57;55,00;38,00;15,00;37,00;24,00;32,00;7,00;5,00
2019-03-31;46,00;373,11;30,67;51,11;86,89;63,00;45,00;31,00;36,00;26,00;45,00;9,00;8,00
2019-04-07;51,00;357,00;30,60;51,00;66,30;66,30;42,84;32,64;38,76;28,00;39,00;9,00;8,00
2019-04-14;57,00;518,18;36,27;46,64;67,36;64,00;46,00;32,00;39,00;28,00;46,00;9,00;9,00
2019-04-21;55,00;370,00;30,00;50,00;70,00;64,00;45,00;30,00;36,00;31,00;32,00;10,00;8,00
2019-04-28;52,00;348,40;31,20;46,80;62,40;66,00;41,00;33,00;37,00;26,00;34,00;7,00;9,00
2019-05-05;50,00;344,44;33,33;50,00;66,67;63,27;41,84;31,63;36,73;24,00;31,00;8,00;9,00
2019-05-12;51,00;306,00;30,60;45,90;66,30;58,00;40,00;29,00;34,00;24,00;32,00;8,00;8,00
2019-05-19;50,00;320,00;30,00;45,00;75,00;57,00;42,00;30,00;34,00;25,00;29,00;8,00;8,00
2019-05-26;52,00;358,80;31,20;52,00;67,60;63,00;46,00;31,00;38,00;28,00;31,00;10,00;9,00
2019-06-02;58,00;379,64;31,64;47,45;73,82;65,12;46,81;31,54;38,67;29,00;33,00;10,00;9,00
2019-06-09;60,00;392,73;32,73;54,55;76,36;68,00;46,00;33,00;37,00;29,00;32,00;12,00;8,00
2019-06-16;66,00;390,92;35,54;50,77;71,08;70,06;46,71;27,42;40,62;30,00;34,00;11,00;8,00
2019-06-23;67,00;407,15;30,92;51,54;77,31;75,12;46,70;32,48;39,59;32,00;34,00;12,00;10,00
2019-06-30;66,00;385,85;35,54;50,77;81,23;78,18;45,69;33,51;39,60;31,00;35,00;13,00;12,00
