Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;38,00;5,00;5,00;2,00;0,00;4,00;0,00;2,00;0,00;0,00;9,00;45,00;2,00;0,00;0,00;59,38;0,00;0,00;13,00;5,00;5,00
2019-01-13;34,00;5,00;5,00;2,00;2,00;4,00;0,00;0,00;7,00;0,00;5,00;31,00;2,00;0,00;0,00;74,80;0,00;2,00;2,00;5,00;5,00
2019-01-20;30,00;3,00;3,00;3,00;2,00;3,00;0,00;0,00;0,00;0,00;5,00;19,00;0,00;0,00;0,00;50,77;0,00;0,00;2,00;0,00;5,00
2019-01-27;42,00;2,00;5,00;0,00;0,00;2,00;0,00;0,00;0,00;3,00;5,00;21,00;0,00;2,33;4,67;51,33;4,67;0,00;10,00;5,00;5,00
2019-02-03;47,00;3,00;10,00;0,00;0,00;5,00;0,00;0,00;2,00;0,00;10,00;43,00;2,00;0,00;0,00;51,70;0,00;0,00;0,00;10,00;9,00
2019-02-10;55,00;5,00;5,00;4,00;4,00;4,00;0,00;0,00;2,00;4,00;4,00;25,00;0,00;0,00;0,00;59,78;2,39;0,00;0,00;7,00;7,00
2019-02-17;54,00;2,00;2,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;9,00;38,00;0,00;0,00;0,00;63,39;0,00;0,00;5,00;2,00;0,00
2019-02-24;52,00;9,00;9,00;0,00;2,00;7,00;0,00;2,00;2,00;2,00;14,00;30,00;5,00;0,00;2,36;56,73;2,36;0,00;7,00;4,00;2,00
2019-03-03;39,00;3,00;5,00;2,00;0,00;2,00;0,00;0,00;7,00;2,00;10,00;30,00;0,00;0,00;0,00;64,24;2,29;0,00;5,00;7,00;11,00
2019-03-10;47,00;4,00;4,00;0,00;0,00;4,00;0,00;2,00;2,00;7,00;9,00;30,00;0,00;0,00;0,00;79,90;0,00;0,00;0,00;4,00;2,00
2019-03-17;32,00;2,00;4,00;0,00;0,00;2,00;0,00;0,00;2,00;0,00;9,00;40,00;0,00;0,00;0,00;61,71;0,00;0,00;0,00;0,00;9,00
2019-03-24;37,00;7,00;15,00;0,00;2,00;0,00;0,00;0,00;2,00;5,00;5,00;45,00;0,00;2,31;2,31;69,38;0,00;0,00;0,00;2,00;4,00
2019-03-31;46,00;2,00;5,00;4,00;2,00;9,00;0,00;0,00;2,00;0,00;5,00;39,00;0,00;0,00;0,00;71,30;2,30;0,00;2,00;7,00;5,00
2019-04-07;55,00;4,00;9,00;4,00;0,00;5,00;0,00;0,00;2,00;2,00;5,00;21,00;0,00;0,00;0,00;64,57;0,00;0,00;0,00;9,00;14,00
2019-04-14;37,00;10,00;8,00;2,00;0,00;6,00;2,00;2,00;0,00;0,00;8,00;55,00;6,00;0,00;2,31;64,75;0,00;0,00;4,00;4,00;6,00
2019-04-21;76,00;4,00;7,00;0,00;0,00;4,00;0,00;2,00;2,00;4,00;7,00;25,00;0,00;0,00;0,00;76,00;0,00;0,00;4,00;9,00;5,00
2019-04-28;45,00;5,00;9,00;0,00;0,00;5,00;2,00;2,00;4,00;0,00;11,00;40,00;0,00;2,37;0,00;73,42;0,00;2,00;2,00;4,00;9,00
2019-05-05;67,00;9,00;7,00;0,00;2,00;5,00;0,00;0,00;2,00;2,00;9,00;62,00;2,00;0,00;2,31;78,55;0,00;2,00;0,00;5,00;7,00
2019-05-12;53,00;0,00;9,00;4,00;0,00;4,00;0,00;0,00;2,00;2,00;4,00;41,00;0,00;0,00;0,00;50,70;4,61;0,00;0,00;4,00;13,00
2019-05-19;52,00;4,00;5,00;0,00;0,00;9,00;0,00;2,00;4,00;2,00;5,00;38,00;0,00;0,00;0,00;89,82;0,00;0,00;4,00;4,00;4,00
2019-05-26;72,00;0,00;9,00;2,00;2,00;9,00;0,00;0,00;2,00;0,00;9,00;56,00;0,00;0,00;2,32;111,48;0,00;0,00;3,00;5,00;4,00
2019-06-02;67,00;7,00;7,00;0,00;0,00;3,00;2,00;0,00;0,00;7,00;8,00;57,00;3,00;0,00;0,00;231,03;2,31;2,00;7,00;14,00;14,00
2019-06-09;65,00;16,00;7,00;2,00;0,00;7,00;2,00;0,00;4,00;4,00;5,00;74,00;4,00;4,64;2,32;134,64;2,32;0,00;7,00;2,00;4,00
2019-06-16;68,00;5,00;5,00;5,00;2,00;16,00;0,00;2,00;4,00;2,00;7,00;59,00;2,00;2,34;0,00;119,59;2,34;0,00;4,00;5,00;18,00
2019-06-23;64,00;14,00;2,00;0,00;2,00;11,00;2,00;5,00;5,00;7,00;14,00;59,00;0,00;0,00;0,00;104,30;7,11;2,00;13,00;5,00;18,00
2019-06-30;55,00;4,00;5,00;0,00;0,00;12,00;0,00;4,00;4,00;4,00;7,00;52,00;0,00;2,39;0,00;112,39;0,00;0,00;5,00;4,00;13,00
2019-07-07;70,00;7,00;2,00;0,00;2,00;11,00;0,00;0,00;2,00;2,00;21,00;54,00;0,00;0,00;4,67;98,00;2,33;0,00;17,00;3,00;4,00
2019-07-14;75,00;14,00;9,00;5,00;0,00;5,00;0,00;0,00;5,00;2,00;9,00;66,00;4,00;0,00;0,00;93,75;0,00;0,00;5,00;5,00;9,00
2019-07-21;82,00;9,00;7,00;2,00;0,00;5,00;0,00;2,00;2,00;5,00;15,00;58,00;2,00;2,34;2,34;91,37;4,69;2,00;4,00;4,00;5,00
2019-07-28;91,00;5,00;7,00;0,00;0,00;5,00;0,00;0,00;4,00;5,00;11,00;47,00;0,00;2,33;0,00;81,67;0,00;0,00;7,00;7,00;4,00
2019-08-04;76,00;2,00;4,00;0,00;0,00;2,00;2,00;4,00;2,00;4,00;7,00;39,00;4,00;2,38;0,00;90,25;2,38;0,00;11,00;2,00;5,00
2019-08-11;67,00;5,00;9,00;0,00;0,00;7,00;0,00;0,00;2,00;5,00;7,00;48,00;0,00;0,00;0,00;103,97;0,00;0,00;2,00;0,00;12,00
2019-08-18;53,00;7,00;13,00;4,00;2,00;5,00;0,00;0,00;4,00;0,00;11,00;45,00;0,00;2,30;0,00;64,52;0,00;0,00;2,00;7,00;7,00
