Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2019-01-06;54,00;14,00;7,00;11,00;3,00;3,00;10,00;6,00;2,00;1,00;2,00;1,00;1,00;0,00;0,50;1,00;1,00;0,00;0,00;0,50;0,00
2019-01-13;56,00;10,00;7,00;13,00;2,00;3,00;10,00;5,00;2,00;0,50;2,00;0,50;1,00;0,00;0,50;0,50;0,00;0,00;0,50;1,00;0,50
2019-01-20;52,00;10,00;6,00;12,00;2,00;3,00;11,00;8,00;4,00;0,00;1,00;0,00;0,50;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,50
2019-01-27;50,00;11,00;4,00;8,00;2,00;3,00;7,00;8,00;2,00;0,50;1,00;1,00;1,00;0,00;0,50;2,00;1,00;0,00;0,00;0,00;0,50
2019-02-03;51,00;14,00;7,00;7,00;2,00;1,00;5,00;8,00;2,00;0,00;2,00;2,00;1,00;0,00;0,50;1,00;1,00;0,00;0,00;0,50;0,00
2019-02-10;51,00;10,00;4,00;8,00;1,00;2,00;11,00;8,00;3,00;0,00;1,00;1,00;0,00;0,00;0,50;1,00;0,00;1,00;0,50;0,00;0,50
2019-02-17;54,00;15,00;7,00;11,00;2,00;4,00;11,00;7,00;2,00;0,00;0,50;2,00;0,50;0,50;0,50;0,50;1,00;0,50;0,00;0,50;1,00
2019-02-24;53,00;14,00;6,00;9,00;3,00;2,00;10,00;4,00;1,00;0,50;2,00;1,00;1,00;0,50;1,00;1,00;0,50;0,00;0,00;0,50;0,00
2019-03-03;57,00;14,00;5,00;9,00;4,00;2,00;12,00;7,00;2,00;0,00;0,50;1,00;0,00;1,00;0,00;1,00;1,00;0,00;1,00;0,00;0,00
2019-03-10;64,00;17,00;5,00;10,00;1,00;2,00;15,00;7,00;0,50;0,50;1,00;1,00;0,50;0,50;0,50;1,00;0,50;0,00;0,50;0,50;0,00
2019-03-17;60,00;12,00;7,00;11,00;2,00;2,00;8,00;9,00;3,00;0,50;2,00;2,00;1,00;1,00;0,50;0,50;1,00;0,00;0,00;0,00;0,00
2019-03-24;60,00;11,00;6,00;9,00;3,00;4,00;16,00;11,00;2,00;0,00;2,00;1,00;0,00;0,00;0,00;1,00;0,50;0,00;0,00;0,00;0,50
2019-03-31;71,00;13,00;7,00;10,00;5,00;3,00;15,00;10,00;2,00;0,50;1,00;2,00;0,50;0,00;2,00;1,00;1,00;0,00;0,50;0,50;0,50
2019-04-07;81,00;17,00;4,00;11,00;2,00;3,00;15,00;11,00;3,00;0,00;1,00;2,00;1,00;0,00;1,00;2,00;1,00;0,00;0,50;0,00;0,50
2019-04-14;68,00;13,00;5,00;11,00;2,00;2,00;14,00;10,00;6,00;0,50;1,00;2,00;0,00;0,50;0,50;2,00;1,00;0,00;0,00;0,00;0,50
2019-04-21;69,00;16,00;8,00;11,00;3,00;4,00;12,00;12,00;3,00;0,50;1,00;0,50;1,00;0,00;0,50;1,00;1,00;0,00;0,00;0,50;0,00
2019-04-28;65,00;21,00;8,00;14,00;3,00;3,00;17,00;7,00;2,00;0,50;2,00;2,00;1,00;0,00;0,50;1,00;1,00;0,00;1,00;0,00;0,00
2019-05-05;83,00;23,00;6,00;20,00;2,00;4,00;13,00;9,00;4,00;0,00;0,50;1,00;2,00;0,00;1,00;1,00;1,00;0,00;0,00;0,00;1,00
2019-05-12;83,00;17,00;10,00;12,00;2,00;5,00;24,00;10,00;4,00;0,50;3,00;2,00;1,00;0,50;1,00;1,00;0,50;0,50;0,00;0,50;0,00
2019-05-19;89,00;19,00;7,00;13,00;3,00;4,00;25,00;11,00;2,00;0,00;1,00;1,00;0,50;0,50;2,00;1,00;1,00;0,50;0,00;1,00;0,00
