Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;90,00;54,00;39,00;49,00;72,00;35,00;12,00;38,00;20,00;16,55;103,45;5,17;38,28;0,00;22,00;11,00;13,00;1,00;47,00;35,00;13,00;0,00;1,00;1,00;1,00;0,00;1,00;0,00
2019-01-13;100,00;44,00;40,00;37,00;62,00;38,00;13,00;26,00;12,00;13,40;93,81;7,22;45,36;1,00;17,00;8,00;11,00;1,00;41,00;35,00;13,00;0,00;1,00;2,00;1,00;0,00;0,00;0,00
2019-01-20;79,00;38,00;40,00;30,00;49,00;31,00;13,00;26,00;17,00;7,28;81,08;6,24;29,11;2,00;50,00;8,00;12,00;1,00;33,00;30,00;9,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00
2019-01-27;79,00;32,00;29,00;34,00;49,00;34,00;13,00;28,00;14,00;10,26;88,23;7,18;30,78;0,00;18,00;6,00;6,00;2,00;37,00;31,00;5,00;0,00;2,00;2,00;1,00;0,00;1,00;1,00
2019-02-03;88,00;28,00;35,00;25,00;45,00;30,00;8,00;19,00;9,00;12,42;74,54;6,21;22,78;0,00;19,00;7,00;8,00;2,00;35,00;24,00;9,00;1,00;1,00;2,00;1,00;0,00;1,00;0,00
2019-02-10;69,00;33,00;30,00;26,00;38,00;25,00;8,00;13,00;9,00;7,21;70,03;5,15;19,57;3,00;18,00;5,00;17,00;0,00;33,00;21,00;6,00;0,00;1,00;1,00;1,00;0,00;0,00;0,00
2019-02-17;65,00;33,00;35,00;29,00;52,00;21,00;13,00;17,00;7,00;10,32;63,97;6,19;22,70;2,00;25,00;8,00;10,00;0,00;28,00;26,00;6,00;0,00;1,00;1,00;0,00;1,00;1,00;0,00
2019-02-24;64,00;24,00;31,00;23,00;42,00;36,00;3,00;19,00;12,00;3,10;57,81;3,10;13,42;1,00;16,00;7,00;7,00;1,00;26,00;21,00;8,00;1,00;1,00;1,00;1,00;0,00;0,00;0,00
2019-03-03;63,00;31,00;31,00;22,00;29,00;25,00;10,00;18,00;7,00;7,23;63,00;4,13;23,75;1,00;17,00;3,00;6,00;0,00;28,00;42,00;5,00;1,00;1,00;1,00;0,00;0,00;1,00;0,00
2019-03-10;54,00;33,00;24,00;26,00;35,00;28,00;7,00;14,00;10,00;4,15;49,85;1,04;18,69;1,00;11,00;5,00;8,00;0,00;24,00;18,00;4,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00
2019-03-17;51,00;26,00;25,00;22,00;39,00;18,00;8,00;19,00;8,00;9,37;48,92;1,04;11,45;0,00;10,00;6,00;7,00;0,00;21,00;20,00;6,00;1,00;1,00;0,00;1,00;0,00;0,00;0,00
2019-03-24;48,00;29,00;19,00;16,00;35,00;17,00;6,00;17,00;6,00;1,02;45,96;5,11;12,26;1,00;10,00;4,00;3,00;0,00;20,00;8,00;6,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00
2019-03-31;37,00;27,00;18,00;15,00;30,00;18,00;5,00;13,00;9,00;4,11;30,83;3,08;7,19;0,00;10,00;3,00;4,00;1,00;17,00;22,00;5,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00
2019-04-07;34,00;30,00;20,00;13,00;25,00;9,00;2,00;12,00;4,00;2,06;25,76;4,12;8,24;0,00;8,00;4,00;2,00;1,00;21,00;10,00;3,00;0,00;1,00;1,00;1,00;0,00;0,00;0,00
2019-04-14;20,00;24,00;11,00;8,00;18,00;7,00;5,00;5,00;5,00;3,16;23,16;1,05;7,37;1,00;5,00;1,00;2,00;0,00;7,00;14,00;2,00;0,00;2,00;1,00;0,00;0,00;0,00;0,00
2019-04-21;29,00;13,00;13,00;4,00;14,00;6,00;3,00;3,00;5,00;2,07;21,75;1,04;6,21;0,00;3,00;1,00;3,00;0,00;6,00;5,00;2,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-04-28;29,00;8,00;9,00;2,00;12,00;6,00;1,00;2,00;3,00;1,04;16,57;1,04;7,25;0,00;2,00;2,00;2,00;0,00;5,00;4,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;17,00;7,00;9,00;3,00;12,00;6,00;1,00;4,00;1,00;1,00;19,00;1,00;4,00;0,00;3,00;2,00;2,00;0,00;3,00;4,00;2,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;21,00;3,00;5,00;3,00;4,00;3,00;3,00;1,00;2,00;1,00;13,00;1,00;2,00;0,00;3,00;2,00;3,00;1,00;3,00;3,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;22,00;6,00;6,00;1,00;11,00;4,00;3,00;3,00;1,00;3,14;22,00;1,05;4,19;0,00;4,00;1,00;2,00;1,00;7,00;4,00;1,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00
2019-05-26;31,00;3,00;7,00;3,00;9,00;4,00;2,00;1,00;2,00;2,07;15,50;1,03;4,13;1,00;3,00;2,00;4,00;0,00;6,00;3,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-06-02;34,00;5,00;13,00;4,00;10,00;7,00;2,00;4,00;2,00;2,06;21,64;1,03;3,09;0,00;6,00;1,00;3,00;1,00;5,00;4,00;2,00;0,00;1,00;1,00;0,00;1,00;1,00;0,00
2019-06-09;39,00;7,00;11,00;9,00;3,00;4,00;1,00;6,00;3,00;2,05;22,58;1,03;7,18;0,00;6,00;3,00;4,00;1,00;5,00;6,00;1,00;1,00;0,00;2,00;0,00;0,00;0,00;0,00
2019-06-16;39,00;6,00;10,00;5,00;10,00;6,00;1,00;6,00;3,00;2,05;18,47;2,05;7,18;2,00;0,00;1,00;1,00;0,00;7,00;4,00;2,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-06-23;38,00;4,00;14,00;3,00;7,00;2,00;2,00;4,00;2,00;2,05;26,70;2,05;10,27;1,00;3,00;1,00;4,00;0,00;7,00;6,00;4,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-30;38,00;5,00;11,00;8,00;17,00;5,00;0,00;4,00;1,00;1,06;28,50;1,06;6,33;0,00;4,00;1,00;3,00;1,00;8,00;4,00;3,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00
2019-07-07;42,00;10,00;14,00;9,00;8,00;4,00;1,00;4,00;1,00;1,02;28,68;2,05;14,34;0,00;6,00;2,00;3,00;0,00;10,00;5,00;3,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00
2019-07-14;43,00;18,00;16,00;5,00;15,00;7,00;2,00;5,00;1,00;2,05;31,74;1,02;10,24;0,00;3,00;1,00;7,00;1,00;8,00;6,00;3,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-07-21;40,00;19,00;14,00;5,00;21,00;5,00;3,00;4,00;3,00;2,11;27,37;1,05;7,37;0,00;3,00;3,00;2,00;6,00;4,00;8,00;3,00;0,00;0,00;2,00;1,00;0,00;1,00;0,00
2019-07-28;46,00;12,00;13,00;3,00;10,00;6,00;4,00;6,00;1,00;1,02;34,76;2,04;9,20;1,00;4,00;1,00;2,00;1,00;12,00;7,00;5,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-08-04;42,00;8,00;13,00;4,00;12,00;7,00;1,00;6,00;5,00;3,07;43,02;1,02;11,27;0,00;3,00;1,00;4,00;1,00;10,00;6,00;2,00;0,00;1,00;1,00;0,00;1,00;0,00;0,00
2019-08-11;41,00;9,00;14,00;4,00;13,00;6,00;2,00;4,00;2,00;3,15;31,54;3,15;9,46;0,00;3,00;6,00;4,00;1,00;12,00;6,00;2,00;0,00;1,00;2,00;0,00;0,00;0,00;0,00
2019-08-18;44,00;9,00;13,00;10,00;14,00;10,00;2,00;8,00;1,00;4,09;30,70;3,07;9,21;0,00;6,00;3,00;5,00;0,00;9,00;6,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00
2019-08-25;40,00;7,00;10,00;6,00;13,00;8,00;1,00;3,00;1,00;2,11;24,21;2,11;11,58;1,00;3,00;1,00;2,00;0,00;11,00;6,00;2,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00
2019-09-01;47,00;7,00;18,00;9,00;10,00;7,00;3,00;9,00;4,00;2,09;40,73;1,04;11,49;1,00;3,00;1,00;2,00;0,00;13,00;8,00;5,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-09-08;42,00;18,00;9,00;10,00;18,00;14,00;4,00;8,00;6,00;4,10;25,61;2,05;9,22;1,00;7,00;7,00;6,00;1,00;12,00;9,00;4,00;1,00;1,00;0,00;1,00;1,00;1,00;1,00
2019-09-15;42,00;12,00;12,00;12,00;24,00;9,00;6,00;6,00;4,00;5,25;31,50;1,05;7,35;1,00;4,00;2,00;5,00;0,00;9,00;9,00;6,00;0,00;1,00;1,00;1,00;0,00;1,00;0,00
2019-09-22;42,00;16,00;12,00;5,00;22,00;9,00;2,00;11,00;5,00;9,45;24,15;4,20;8,40;0,00;7,00;8,00;4,00;1,00;16,00;13,00;3,00;1,00;1,00;1,00;1,00;0,00;0,00;0,00
2019-09-29;34,00;13,00;13,00;3,00;22,00;11,00;3,00;11,00;7,00;5,15;37,09;2,06;12,36;1,00;6,00;4,00;2,00;0,00;12,00;13,00;5,00;0,00;1,00;0,00;0,00;1,00;1,00;0,00
2019-10-06;38,00;15,00;11,00;17,00;22,00;13,00;7,00;6,00;5,00;2,05;31,84;2,05;11,30;0,00;9,00;3,00;5,00;0,00;12,00;15,00;7,00;0,00;3,00;1,00;0,00;0,00;1,00;0,00
2019-10-13;34,00;17,00;14,00;13,00;29,00;14,00;8,00;14,00;5,00;4,12;43,27;4,12;14,42;1,00;9,00;2,00;3,00;0,00;16,00;13,00;6,00;0,00;1,00;1,00;2,00;0,00;0,00;0,00
2019-10-20;39,00;15,00;12,00;12,00;31,00;11,00;4,00;11,00;8,00;1,03;36,95;2,05;8,21;1,00;6,00;7,00;3,00;1,00;20,00;18,00;5,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-10-27;36,00;18,00;15,00;11,00;22,00;11,00;4,00;8,00;10,00;3,09;40,11;2,06;7,20;2,00;6,00;4,00;5,00;0,00;13,00;14,00;4,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00
2019-11-03;48,00;24,00;21,00;15,00;32,00;15,00;6,00;15,00;8,00;7,30;45,91;3,13;12,52;0,00;13,00;9,00;5,00;0,00;21,00;10,00;5,00;1,00;2,00;1,00;1,00;0,00;1,00;0,00
2019-11-10;37,00;23,00;20,00;18,00;33,00;20,00;5,00;16,00;8,00;7,19;31,86;3,08;16,44;0,00;13,00;3,00;1,00;0,00;21,00;17,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-17;41,00;19,00;13,00;14,00;32,00;11,00;4,00;13,00;9,00;5,13;52,28;3,08;13,33;1,00;12,00;3,00;9,00;1,00;21,00;18,00;5,00;1,00;0,00;1,00;0,00;0,00;1,00;0,00
2019-11-24;35,00;16,00;25,00;16,00;23,00;19,00;8,00;14,00;8,00;4,12;40,15;1,03;13,38;0,00;9,00;1,00;5,00;1,00;20,00;14,00;2,00;0,00;3,00;2,00;1,00;1,00;0,00;0,00
2019-12-01;43,00;31,00;23,00;16,00;33,00;23,00;11,00;14,00;8,00;6,29;45,10;4,20;16,78;1,00;12,00;3,00;6,00;0,00;17,00;23,00;7,00;0,00;1,00;2,00;1,00;0,00;0,00;0,00
2019-12-08;39,00;33,00;25,00;34,00;46,00;22,00;6,00;18,00;13,00;6,16;53,37;2,05;22,58;2,00;11,00;7,00;7,00;1,00;25,00;25,00;5,00;1,00;1,00;2,00;1,00;0,00;0,00;0,00
2019-12-15;73,00;26,00;29,00;28,00;31,00;23,00;6,00;21,00;11,00;7,30;56,31;3,13;17,73;1,00;14,00;4,00;6,00;0,00;27,00;18,00;5,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00
2019-12-22;64,00;39,00;45,00;27,00;40,00;31,00;10,00;22,00;10,00;16,52;62,97;6,19;26,84;3,00;22,00;9,00;8,00;0,00;37,00;32,00;7,00;1,00;1,00;1,00;1,00;0,00;1,00;1,00
2019-12-29;78,00;41,00;40,00;27,00;59,00;26,00;11,00;39,00;17,00;8,32;86,32;8,32;26,00;3,00;18,00;8,00;13,00;0,00;37,00;29,00;18,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00
2020-01-05;80,00;40,00;37,00;47,00;60,00;30,00;9,00;32,00;17,00;11,43;99,74;7,27;39,48;1,00;22,00;9,00;13,00;1,00;45,00;30,00;16,00;0,00;1,00;1,00;1,00;0,00;1,00;0,00
2020-01-12;85,00;39,00;41,00;34,00;46,00;28,00;9,00;35,00;18,00;10,37;92,26;3,11;26,95;1,00;20,00;10,00;10,00;2,00;40,00;27,00;15,00;1,00;3,00;1,00;0,00;0,00;1,00;0,00
2020-01-19;72,00;37,00;37,00;23,00;42,00;33,00;8,00;33,00;15,00;10,43;76,17;4,17;26,09;0,00;16,00;9,00;13,00;2,00;38,00;29,00;8,00;1,00;1,00;2,00;0,00;1,00;1,00;0,00
2020-01-26;85,00;33,00;33,00;28,00;55,00;27,00;7,00;27,00;15,00;6,22;74,63;4,15;30,06;1,00;14,00;8,00;5,00;1,00;28,00;22,00;4,00;0,00;1,00;2,00;0,00;0,00;1,00;0,00
2020-02-02;62,00;32,00;30,00;31,00;40,00;34,00;8,00;23,00;11,00;4,13;83,70;6,20;24,80;3,00;14,00;6,00;11,00;1,00;36,00;20,00;7,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00
2020-02-09;79,00;32,00;32,00;31,00;40,00;30,00;10,00;23,00;11,00;7,28;70,68;7,28;28,07;2,00;17,00;6,00;11,00;2,00;36,00;16,00;11,00;1,00;2,00;2,00;2,00;0,00;0,00;1,00
2020-02-16;68,00;35,00;39,00;23,00;35,00;28,00;8,00;20,00;8,00;9,27;64,91;8,24;24,73;1,00;17,00;10,00;7,00;1,00;25,00;21,00;13,00;0,00;3,00;3,00;1,00;0,00;0,00;0,00
2020-02-23;65,00;32,00;38,00;26,00;37,00;27,00;7,00;22,00;6,00;8,25;59,84;6,19;23,73;1,00;12,00;9,00;10,00;1,00;31,00;20,00;7,00;1,00;1,00;1,00;1,00;0,00;1,00;0,00
2020-03-01;55,00;28,00;27,00;23,00;42,00;21,00;6,00;15,00;8,00;5,19;61,23;4,15;18,68;1,00;12,00;6,00;6,00;3,00;29,00;20,00;7,00;0,00;1,00;2,00;1,00;0,00;0,00;1,00
2020-03-08;66,00;39,00;29,00;23,00;55,00;34,00;8,00;31,00;9,00;9,28;87,66;6,19;24,75;1,00;18,00;9,00;7,00;0,00;43,00;30,00;7,00;2,00;1,00;1,00;0,00;0,00;1,00;0,00
2020-03-15;21,00;13,00;10,00;11,00;24,00;10,00;4,00;12,00;4,00;2,10;29,40;4,20;9,45;0,00;12,00;1,00;4,00;0,00;22,00;15,00;3,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00
2020-03-22;8,00;4,00;3,00;3,00;6,00;2,00;0,50;2,00;1,00;1,00;4,00;0,50;3,00;0,50;0,50;1,00;0,50;0,50;4,00;3,00;0,50;0,50;0,50;1,00;0,00;0,00;0,00;0,00
2020-03-29;9,00;4,00;7,00;4,00;6,00;3,00;1,00;2,00;0,00;1,13;9,00;0,56;4,50;0,00;3,00;0,50;1,00;0,50;5,00;5,00;1,00;0,50;0,50;0,00;1,00;0,00;0,00;0,00
2020-04-05;11,00;6,00;9,00;3,00;7,00;4,00;1,00;4,00;1,00;0,00;8,00;1,00;2,00;0,00;4,00;0,00;1,00;0,00;3,00;5,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2020-04-12;10,00;3,00;4,00;5,00;6,00;3,00;0,50;0,50;1,00;1,00;12,00;0,50;1,00;0,50;1,00;0,00;2,00;1,00;5,00;5,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2020-04-19;10,00;3,00;9,00;1,00;5,00;3,00;1,00;1,00;0,50;1,00;10,00;1,00;3,00;0,50;1,00;1,00;0,50;0,50;6,00;2,00;3,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00
2020-04-26;11,00;14,00;6,00;3,00;6,00;1,00;2,00;3,00;0,50;3,00;11,00;1,00;3,00;0,50;2,00;1,00;1,00;0,00;4,00;3,00;1,00;0,00;0,00;2,00;0,00;0,00;0,00;0,50
2020-05-03;12,00;5,00;12,00;2,00;6,00;3,00;1,00;1,00;0,50;1,00;5,00;1,00;5,00;0,50;1,00;0,50;3,00;0,50;6,00;4,00;1,00;0,00;0,00;0,50;0,50;0,00;0,00;0,00
2020-05-10;7,00;3,00;7,00;3,00;7,00;2,00;0,50;1,00;0,50;3,00;11,00;0,50;2,00;0,00;1,00;1,00;1,00;0,00;3,00;3,00;1,00;0,00;0,00;0,50;0,50;0,00;0,00;0,00
2020-05-17;17,00;7,00;6,00;3,00;4,00;5,00;2,00;2,00;1,00;0,53;8,50;0,53;3,19;0,00;2,00;0,00;1,00;0,00;3,00;1,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-24;7,00;7,00;4,00;3,00;4,00;3,00;4,00;3,00;1,00;0,50;11,00;2,00;4,00;0,00;1,00;1,00;2,00;1,00;4,00;4,00;0,00;1,00;0,00;1,00;1,00;1,00;0,00;0,00
2020-05-31;10,00;3,00;5,00;3,00;5,00;3,00;1,00;1,00;0,50;3,00;10,00;2,00;4,00;0,00;3,00;1,00;0,50;0,00;5,00;2,00;2,00;0,50;1,00;0,00;0,00;0,50;0,00;0,00
2020-06-07;13,00;6,00;7,00;3,00;9,00;2,00;2,00;3,00;1,00;3,00;14,00;0,50;5,00;0,00;2,00;1,00;3,00;0,00;3,00;7,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2020-06-14;17,00;2,00;9,00;3,00;5,00;3,00;2,00;2,00;2,00;1,06;12,75;1,06;3,19;0,50;4,00;0,50;1,00;0,50;7,00;2,00;2,00;0,50;0,00;0,50;1,00;0,00;0,00;0,00
2020-06-21;22,00;6,00;7,00;2,00;12,00;6,00;1,00;3,00;1,00;2,00;16,00;0,50;4,00;0,00;4,00;1,00;4,00;0,00;6,00;4,00;1,00;1,00;0,50;0,50;0,00;0,00;0,00;0,50
2020-06-28;24,00;3,00;7,00;8,00;8,00;5,00;0,50;4,00;0,50;2,09;22,96;1,04;7,30;0,50;5,00;0,50;4,00;0,00;10,00;7,00;3,00;0,50;0,50;0,50;0,00;0,00;0,50;0,00
2020-07-05;24,00;4,00;9,00;3,00;10,00;4,00;1,00;2,00;2,00;1,04;26,09;1,04;5,22;1,00;5,00;3,00;4,00;0,00;5,00;4,00;5,00;0,00;1,00;1,00;1,00;0,00;0,00;0,00
2020-07-12;31,00;9,00;14,00;3,00;6,00;6,00;3,00;1,00;1,00;1,03;23,77;2,07;9,30;1,00;2,00;2,00;2,00;0,00;6,00;7,00;3,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00
2020-07-19;27,00;5,00;9,00;5,00;14,00;4,00;3,00;4,00;2,00;4,00;19,00;1,00;7,00;1,00;6,00;1,00;8,00;1,00;5,00;17,00;2,00;1,00;1,00;2,00;0,00;0,00;0,00;0,00
2020-07-26;23,00;9,00;8,00;3,00;4,00;2,00;1,00;8,00;2,00;1,00;26,00;0,00;7,00;1,00;5,00;1,00;2,00;2,00;7,00;2,00;2,00;1,00;1,00;4,00;1,00;0,00;0,00;0,00
2020-08-02;28,00;6,00;10,00;4,00;9,00;5,00;1,00;5,00;2,00;3,00;20,00;2,00;7,00;0,00;4,00;0,00;4,00;1,00;8,00;6,00;2,00;1,00;1,00;1,00;0,00;0,00;1,00;0,00
2020-08-09;34,00;5,00;8,00;4,00;10,00;4,00;2,00;3,00;4,00;3,09;22,67;1,03;5,15;1,00;4,00;2,00;4,00;0,00;7,00;5,00;4,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00
2020-08-16;19,00;6,00;3,00;3,00;6,00;5,00;0,00;3,00;3,00;3,00;14,00;4,00;5,00;1,00;5,00;2,00;2,00;1,00;6,00;5,00;4,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00
2020-08-23;21,00;9,00;10,00;2,00;10,00;6,00;1,00;4,00;3,00;2,10;15,75;1,05;7,35;0,00;3,00;0,00;4,00;1,00;7,00;7,00;2,00;0,00;1,00;1,00;1,00;0,00;0,00;0,00
2020-08-30;16,00;4,00;10,00;6,00;8,00;4,00;2,00;4,00;2,00;2,00;17,00;1,00;6,00;0,00;4,00;1,00;4,00;0,00;6,00;5,00;4,00;0,00;2,00;1,00;1,00;0,00;1,00;1,00
2020-09-06;22,00;6,00;8,00;4,00;8,00;5,00;1,00;3,00;3,00;2,10;15,71;1,05;6,29;0,00;5,00;0,00;2,00;0,00;8,00;6,00;2,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00
