Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;60,00;60,00;20,00;42,22;4,44;29,00;5,00;25,00;17,00
2019-01-13;44,00;69,47;13,89;27,79;0,00;53,00;7,00;27,00;14,00
2019-01-20;41,00;56,94;25,06;31,89;0,00;31,00;2,00;31,00;10,00
2019-01-27;50,00;43,18;11,36;34,09;0,00;21,00;2,00;25,00;7,00
2019-02-03;52,00;49,74;13,57;27,13;2,26;21,00;6,00;21,00;8,00
2019-02-10;47,00;71,62;15,67;20,14;2,24;13,00;5,00;21,00;13,00
2019-02-17;38,00;31,29;15,65;33,53;2,24;13,00;5,00;25,00;17,00
2019-02-24;46,00;57,50;18,40;23,00;0,00;16,00;11,00;16,00;14,00
2019-03-03;33,00;30,80;8,80;30,80;0,00;15,00;13,00;15,00;12,00
2019-03-10;27,00;31,50;13,50;24,75;2,25;12,00;2,00;27,00;18,00
2019-03-17;43,00;27,16;9,05;36,21;0,00;12,00;11,00;14,00;13,00
2019-03-24;35,00;39,38;17,50;28,44;0,00;17,00;6,00;25,00;14,00
2019-03-31;31,00;22,14;19,93;26,57;2,21;14,00;5,00;12,00;9,00
2019-04-07;39,00;29,82;11,47;22,94;0,00;12,00;8,00;18,00;6,00
2019-04-14;44,00;32,42;13,89;23,16;2,32;11,00;6,00;18,00;14,00
2019-04-21;46,00;18,40;6,90;27,60;2,30;16,00;4,00;19,00;8,00
2019-04-28;60,00;13,33;15,56;26,67;2,22;7,00;2,00;15,00;14,00
2019-05-05;94,00;18,34;9,17;41,27;4,59;13,00;2,00;8,00;12,00
2019-05-12;52,00;29,39;6,78;18,09;2,26;9,00;6,00;7,00;11,00
2019-05-19;56,00;20,16;8,96;22,40;2,24;14,00;5,00;13,00;12,00
2019-05-26;67,00;22,33;4,47;29,03;2,23;15,00;1,00;13,00;10,00
2019-06-02;36,00;27,00;18,00;36,00;2,25;16,00;4,00;10,00;6,00
2019-06-09;33,00;26,40;11,00;37,40;4,40;9,00;2,00;20,00;7,00
2019-06-16;33,00;22,00;15,40;28,60;4,40;12,00;7,00;22,00;6,00
2019-06-23;40,00;26,67;11,11;33,33;2,22;7,00;5,00;11,00;12,00
2019-06-30;41,00;22,78;9,11;20,50;2,28;8,00;0,00;15,00;11,00
2019-07-07;52,00;22,61;13,57;27,13;0,00;13,00;5,00;16,00;8,00
2019-07-14;27,00;22,50;20,25;27,00;2,25;16,00;4,00;22,00;12,00
2019-07-21;44,00;25,47;18,53;27,79;2,32;11,00;5,00;16,00;18,00
2019-07-28;49,00;28,95;11,14;28,95;0,00;14,00;7,00;17,00;12,00
2019-08-04;52,00;22,61;9,04;94,96;2,26;5,00;2,00;15,00;10,00
2019-08-11;60,00;26,67;6,67;28,89;2,22;15,00;1,00;17,00;18,00
2019-08-18;51,00;25,50;9,27;39,41;9,27;21,00;8,00;12,00;10,00
2019-08-25;70,00;31,61;20,32;27,10;0,00;7,00;1,00;12,00;8,00
2019-09-01;40,00;37,78;17,78;33,33;4,44;12,00;5,00;15,00;11,00
2019-09-08;45,00;29,25;20,25;38,25;2,25;10,00;6,00;13,00;11,00
2019-09-15;42,00;33,16;17,68;33,16;4,42;16,00;5,00;15,00;10,00
2019-09-22;36,00;24,75;18,00;29,25;1,13;24,00;7,00;12,00;11,00
2019-09-29;65,00;35,86;15,69;38,10;2,24;14,00;9,00;15,00;12,00
2019-10-06;61,00;29,37;15,81;31,63;4,52;17,00;12,00;29,00;14,00
2019-10-13;34,00;29,47;13,60;20,40;4,53;14,00;10,00;18,00;6,00
2019-10-20;55,00;29,79;22,92;29,79;1,15;18,00;15,00;19,00;18,00
2019-10-27;29,00;29,00;20,08;24,54;4,46;10,00;1,00;12,00;19,00
2019-11-03;37,00;30,47;21,76;117,53;2,18;17,00;6,00;16,00;7,00
2019-11-10;43,00;36,21;15,84;40,74;2,26;19,00;2,00;21,00;5,00
2019-11-17;37,00;32,65;15,24;28,29;0,00;29,00;11,00;28,00;14,00
2019-11-24;37,00;32,38;23,13;23,13;2,31;19,00;8,00;22,00;11,00
2019-12-01;34,00;24,93;24,93;20,40;4,53;21,00;2,00;13,00;13,00
2019-12-08;45,00;27,00;15,75;31,50;0,00;11,00;10,00;23,00;24,00
2019-12-15;46,00;34,50;20,70;29,90;1,15;25,00;6,00;25,00;21,00
2019-12-22;55,00;34,38;18,33;32,08;4,58;48,00;4,00;33,00;28,00
2019-12-29;57,00;54,72;36,48;29,64;4,56;50,00;3,00;28,00;16,00
2020-01-05;70,00;83,55;33,87;40,65;1,13;63,00;10,00;32,00;18,00
2020-01-12;51,00;71,86;25,50;46,36;2,32;28,00;6,00;26,00;12,00
2020-01-19;41,00;68,33;29,61;36,44;2,28;27,00;3,00;27,00;16,00
2020-01-26;25,00;56,82;18,18;27,27;1,14;14,00;9,00;21,00;14,00
2020-02-02;44,00;53,26;16,21;27,79;4,63;22,00;1,00;27,00;10,00
2020-02-09;68,00;68,00;29,47;24,93;4,53;14,00;8,00;29,00;13,00
2020-02-16;27,00;56,25;24,75;29,25;2,25;21,00;9,00;30,00;14,00
2020-02-23;46,00;52,90;23,00;25,30;1,15;19,00;9,00;18,00;15,00
2020-03-01;32,00;34,29;22,86;29,71;6,86;15,00;10,00;15,00;10,00
2020-03-08;46,00;32,20;11,50;39,10;2,30;14,00;5,00;12,00;14,00
2020-03-15;25,00;18,18;25,00;20,45;2,27;19,00;15,00;15,00;6,00
2020-03-22;41,00;25,06;11,39;29,61;2,28;14,00;12,00;11,00;8,00
2020-03-29;50,00;18,18;9,09;27,27;1,14;12,00;12,00;11,00;11,00
2020-04-05;42,00;28,74;8,84;24,32;1,11;14,00;6,00;24,00;14,00
2020-04-12;54,00;24,75;9,00;29,25;2,25;12,00;5,00;15,00;12,00
2020-04-19;43,00;27,16;20,37;22,63;1,13;17,00;12,00;14,00;12,00
2020-04-26;73,00;27,38;13,69;20,53;4,56;6,00;6,00;11,00;12,00
2020-05-03;44,00;26,40;13,20;17,60;2,20;18,00;15,00;10,00;10,00
2020-05-10;45,00;15,75;13,50;15,75;2,25;17,00;11,00;11,00;11,00
2020-05-17;41,00;20,50;11,39;18,22;4,56;14,00;4,00;13,00;9,00
2020-05-24;43,00;22,63;11,32;20,37;1,13;9,00;5,00;7,00;9,00
2020-05-31;58,00;30,16;20,88;23,20;2,32;15,00;8,00;17,00;12,00
2020-06-07;47,00;29,10;17,90;15,67;4,48;15,00;6,00;16,00;7,00
2020-06-14;50,00;29,55;18,18;27,27;4,55;16,00;13,00;18,00;13,00
2020-06-21;54,00;20,25;20,25;13,50;6,75;14,00;7,00;12,00;13,00
2020-06-28;43,00;40,74;27,16;40,74;1,13;20,00;8,00;18,00;20,00
