Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;39,00;37,00;3,00;0,00;0,00;3,00;0,00;0,00;28,00;0,00;17,06;53,63;0,00;0,00;0,00;8,00;3,00;0,00;3,00;3,00;0,00
2019-01-13;46,00;61,00;5,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;2,49;38,54;0,00;0,00;3,00;40,00;0,00;0,00;8,00;5,00;0,00
2019-01-20;59,00;65,00;5,00;0,00;5,00;3,00;0,00;0,00;3,00;2,46;18,44;31,96;0,00;0,00;0,00;47,00;0,00;0,00;5,00;3,00;0,00
2019-01-27;52,00;59,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,72;25,40;0,00;0,00;0,00;15,00;3,00;0,00;5,00;3,00;3,00
2019-02-03;28,00;34,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,30;23,13;0,00;0,00;3,00;21,00;5,00;0,00;3,00;0,00;0,00
2019-02-10;48,00;64,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;15,60;28,80;0,00;0,00;0,00;5,00;0,00;0,00;3,00;0,00;0,00
2019-02-17;52,00;40,00;8,00;3,00;0,00;3,00;0,00;3,00;0,00;0,00;18,57;22,29;0,00;0,00;3,00;21,00;0,00;0,00;5,00;0,00;0,00
2019-02-24;23,00;35,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00;2,42;10,89;18,16;0,00;0,00;3,00;21,00;3,00;3,00;5,00;0,00;3,00
2019-03-03;60,00;62,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,47;17,14;0,00;0,00;3,00;14,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;38,00;63,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;22,06;24,52;0,00;0,00;5,00;16,00;3,00;0,00;3,00;0,00;0,00
2019-03-17;30,00;30,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;22,50;28,75;0,00;0,00;0,00;8,00;6,00;0,00;0,00;0,00;3,00
2019-03-24;36,00;56,00;8,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;19,86;42,21;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;59,00;58,00;5,00;3,00;0,00;5,00;0,00;0,00;0,00;4,92;15,98;77,44;0,00;0,00;0,00;47,00;0,00;0,00;0,00;6,00;3,00
2019-04-07;55,00;54,00;5,00;0,00;3,00;0,00;3,00;0,00;3,00;4,89;22,00;64,78;0,00;0,00;0,00;51,00;0,00;3,00;3,00;3,00;0,00
2019-04-14;61,00;68,00;3,00;3,00;3,00;11,00;0,00;9,00;0,00;0,00;10,98;81,74;0,00;0,00;0,00;31,00;0,00;0,00;11,00;0,00;3,00
2019-04-21;80,00;86,00;6,00;6,00;6,00;0,00;0,00;3,00;0,00;2,46;18,46;120,62;0,00;0,00;0,00;33,00;0,00;0,00;6,00;9,00;0,00
2019-04-28;88,00;82,00;0,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;19,56;83,11;0,00;3,00;5,00;36,00;3,00;0,00;0,00;6,00;0,00
2019-05-05;86,00;96,00;3,00;3,00;0,00;8,00;0,00;0,00;0,00;0,00;15,97;74,94;0,00;0,00;3,00;48,00;0,00;0,00;3,00;0,00;0,00
2019-05-12;73,00;68,00;3,00;3,00;0,00;3,00;0,00;3,00;3,00;0,00;16,08;69,29;0,00;0,00;0,00;52,00;3,00;0,00;3,00;3,00;0,00
2019-05-19;62,00;63,00;8,00;0,00;0,00;3,00;0,00;3,00;5,00;4,96;4,96;53,32;0,00;0,00;0,00;21,00;3,00;0,00;5,00;3,00;0,00
2019-05-26;52,00;54,00;3,00;5,00;0,00;10,00;5,00;0,00;3,00;0,00;15,72;64,09;2,42;0,00;0,00;36,00;0,00;0,00;3,00;3,00;5,00
2019-06-02;59,00;55,00;5,00;3,00;3,00;5,00;0,00;0,00;3,00;0,00;8,60;84,81;0,00;0,00;0,00;74,00;0,00;0,00;0,00;0,00;5,00
2019-06-09;62,00;55,00;14,00;0,00;0,00;6,00;0,00;3,00;3,00;0,00;15,80;93,61;2,43;0,00;0,00;50,00;5,00;0,00;3,00;11,00;6,00
2019-06-16;59,00;64,00;8,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;19,67;83,58;0,00;0,00;0,00;55,00;0,00;0,00;6,00;0,00;0,00
2019-06-23;99,00;86,00;6,00;3,00;0,00;0,00;0,00;0,00;0,00;6,11;13,44;114,89;2,44;0,00;0,00;67,00;0,00;0,00;6,00;6,00;0,00
2019-06-30;83,00;75,00;3,00;3,00;0,00;6,00;0,00;0,00;3,00;2,44;24,41;100,09;0,00;0,00;0,00;53,00;0,00;0,00;6,00;0,00;0,00
2019-07-07;80,00;59,00;13,00;3,00;3,00;3,00;0,00;0,00;8,00;0,00;32,00;77,54;0,00;0,00;0,00;59,00;0,00;3,00;27,00;3,00;0,00
2019-07-14;68,00;66,00;14,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;24,73;100,15;2,47;0,00;0,00;41,00;5,00;0,00;3,00;14,00;0,00
2019-07-21;100,00;85,00;14,00;0,00;0,00;8,00;0,00;3,00;0,00;2,44;21,95;84,15;0,00;3,00;0,00;71,00;0,00;0,00;8,00;9,00;3,00
