Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2019-01-06;11,00;1,00;1,00;1,00;1,00;0,50;1,00;2,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,50
2019-01-13;12,00;1,00;0,50;0,50;1,00;0,50;1,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,50;0,00;0,50;0,00;0,00;0,00
2019-01-20;10,00;1,00;0,50;0,50;1,00;0,50;1,00;1,00;0,00;0,00;0,50;1,00;0,00;0,00;0,00;0,50;0,00;0,00;0,50;0,00;0,00
2019-01-27;6,00;1,00;0,50;0,50;1,00;1,00;1,00;2,00;0,50;0,50;0,00;1,00;0,50;0,00;0,00;0,50;0,00;0,00;0,50;0,00;0,00
2019-02-03;6,00;0,50;0,50;1,00;1,00;0,50;1,00;2,00;0,00;0,00;0,00;1,00;0,00;0,00;0,50;0,50;0,00;0,00;0,00;0,00;0,00
2019-02-10;6,00;1,00;0,00;1,00;1,00;1,00;1,00;1,00;0,00;0,00;0,50;1,00;0,50;0,00;0,50;0,00;0,50;0,00;0,00;0,00;0,00
2019-02-17;8,00;1,00;0,50;0,50;1,00;1,00;2,00;2,00;0,00;0,00;0,50;1,00;0,50;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;8,00;1,00;0,50;1,00;1,00;1,00;1,00;3,00;0,00;0,50;0,50;3,00;0,00;0,50;0,00;0,50;0,00;0,00;0,50;0,00;0,00
2019-03-03;8,00;1,00;0,50;1,00;1,00;1,00;2,00;2,00;0,00;0,00;0,50;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00
2019-03-10;6,00;1,00;0,50;1,00;0,50;1,00;2,00;2,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;7,00;1,00;0,50;1,00;1,00;1,00;2,00;3,00;0,00;0,00;0,50;2,00;0,00;0,00;0,00;0,00;0,50;0,50;0,00;0,50;0,00
2019-03-24;8,00;1,00;0,50;0,50;1,00;1,00;2,00;3,00;0,00;0,00;0,00;2,00;0,50;0,50;0,00;0,50;0,00;0,00;0,00;0,00;0,00
2019-03-31;14,00;1,00;0,50;1,00;1,00;1,00;2,00;4,00;0,00;0,00;0,50;2,00;0,50;0,00;0,00;0,50;0,50;0,50;0,00;0,00;0,00
2019-04-07;15,00;1,00;0,50;1,00;1,00;1,00;3,00;4,00;0,50;0,00;0,00;2,00;0,00;0,00;0,00;0,50;0,50;0,00;0,00;0,00;0,00
2019-04-14;20,00;1,00;0,50;0,50;1,00;1,00;4,00;6,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,50;0,50;0,00;0,50;0,00;0,00
2019-04-21;21,00;2,00;0,50;1,00;2,00;1,00;4,00;6,00;0,00;0,00;0,50;3,00;0,00;0,50;0,00;0,50;0,50;0,50;0,00;0,00;0,00
2019-04-28;16,00;2,00;0,00;1,00;2,00;1,00;3,00;4,00;0,50;0,00;0,50;2,00;0,00;0,50;0,00;0,50;0,50;0,50;0,00;0,00;0,00
2019-05-05;15,00;1,00;0,50;1,00;1,00;0,50;2,00;3,00;0,00;0,50;0,50;2,00;0,00;0,50;0,00;0,50;0,00;0,00;0,00;0,00;0,00
2019-05-12;14,00;1,00;0,50;1,00;1,00;0,50;2,00;3,00;0,50;0,00;0,00;2,00;0,00;0,50;0,50;0,50;0,00;0,00;0,00;0,00;0,00
2019-05-19;14,00;2,00;0,50;1,00;1,00;0,50;5,00;3,00;0,00;0,00;0,00;2,00;0,50;0,50;0,00;0,00;0,00;0,00;0,50;0,50;0,00
2019-05-26;15,00;2,00;0,50;1,00;1,00;1,00;2,00;2,00;0,50;0,00;0,50;2,00;0,00;0,00;0,00;0,50;0,50;0,00;0,50;0,00;0,00
2019-06-02;16,00;2,00;0,50;1,00;2,00;1,00;3,00;4,00;0,00;0,50;0,00;3,00;0,00;0,50;0,00;0,00;0,50;0,50;0,00;0,00;0,50
2019-06-09;18,00;3,00;0,50;1,00;2,00;1,00;3,00;5,00;0,00;0,00;0,50;4,00;0,00;0,00;0,00;0,50;0,50;0,50;0,00;0,00;0,00
2019-06-16;21,00;1,00;1,00;1,00;2,00;1,00;2,00;3,00;0,00;0,00;0,50;4,00;0,50;0,50;0,00;0,00;0,50;0,50;0,50;0,50;0,00
2019-06-23;16,00;2,00;0,50;0,50;2,00;1,00;4,00;4,00;0,00;0,50;0,50;5,00;0,50;0,00;0,50;0,50;0,50;0,00;0,50;0,50;0,50
2019-06-30;20,00;1,00;0,50;2,00;2,00;1,00;4,00;6,00;0,00;0,50;0,50;4,00;0,00;0,50;0,50;0,00;0,00;0,00;0,50;0,00;0,00
2019-07-07;21,00;3,00;1,00;2,00;2,00;1,00;5,00;6,00;0,00;0,00;0,50;6,00;0,00;0,50;0,00;0,00;0,00;0,50;0,50;0,50;0,00
2019-07-14;20,00;3,00;0,50;1,00;3,00;2,00;3,00;6,00;0,00;0,50;0,50;4,00;0,50;0,00;0,50;0,00;0,00;0,50;0,00;0,00;0,00
2019-07-21;23,00;3,00;0,50;1,00;3,00;2,00;4,00;7,00;0,00;0,00;0,00;6,00;0,50;0,50;0,00;0,00;0,00;0,00;0,50;0,00;0,00
2019-07-28;24,00;2,00;1,00;1,00;3,00;1,00;5,00;7,00;0,00;0,00;0,50;6,00;0,50;0,50;0,00;0,50;0,50;0,50;0,00;0,50;0,00
2019-08-04;28,00;4,00;1,00;4,00;3,00;2,00;7,00;8,00;0,00;0,50;0,50;6,00;0,50;0,50;0,00;0,50;0,50;0,50;0,50;0,00;0,50
2019-08-11;29,00;4,00;0,50;3,00;3,00;2,00;5,00;8,00;0,50;0,00;0,50;7,00;0,50;0,00;0,00;0,50;0,50;0,00;0,50;0,00;0,00
2019-08-18;24,00;16,00;0,50;2,00;2,00;1,00;5,00;6,00;0,00;0,50;0,50;5,00;0,50;0,50;0,00;0,50;0,50;0,00;0,00;0,00;0,00
2019-08-25;17,00;21,00;1,00;1,00;2,00;1,00;3,00;2,00;0,00;0,50;0,00;6,00;0,50;0,50;0,00;0,50;0,00;0,50;0,00;0,50;0,50
2019-09-01;17,00;3,00;0,50;1,00;2,00;0,50;3,00;4,00;0,50;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,50;0,50;0,00;0,00;0,00
2019-09-08;16,00;2,00;0,50;1,00;1,00;1,00;4,00;3,00;0,00;0,50;0,00;3,00;0,00;0,00;0,50;0,50;0,50;0,00;0,00;0,00;0,00
2019-09-15;14,00;1,00;0,50;1,00;1,00;1,00;1,00;2,00;0,00;0,50;0,50;1,00;0,50;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00
2019-09-22;14,00;1,00;0,50;1,00;1,00;0,50;2,00;2,00;0,00;0,00;0,50;1,00;0,50;0,00;0,00;0,50;0,50;0,00;0,00;0,00;0,00
2019-09-29;13,00;0,50;0,50;1,00;1,00;1,00;3,00;2,00;0,00;0,50;0,50;0,50;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00
2019-10-06;13,00;1,00;0,50;1,00;1,00;1,00;2,00;3,00;0,00;0,00;0,50;1,00;0,00;0,00;0,50;0,50;0,00;0,00;0,00;0,00;0,00
2019-10-13;13,00;0,50;0,00;1,00;1,00;0,50;2,00;2,00;0,50;0,00;0,50;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00
2019-10-20;14,00;1,00;0,50;0,50;1,00;0,50;1,00;2,00;0,00;0,00;0,50;0,50;0,50;0,50;0,00;0,00;0,00;0,00;0,00;0,50;0,00
2019-10-27;13,00;1,00;0,50;0,50;1,00;1,00;1,00;2,00;0,00;0,00;0,00;0,50;0,50;0,50;0,00;0,50;0,00;0,00;0,00;0,50;0,00
2019-11-03;13,00;1,00;0,50;1,00;0,50;0,50;1,00;1,00;0,00;0,00;0,50;1,00;0,00;0,50;0,00;0,50;0,00;0,00;0,00;0,00;0,00
2019-11-10;10,00;1,00;0,50;0,50;1,00;0,50;2,00;2,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,50
2019-11-17;11,00;0,50;0,00;1,00;1,00;1,00;1,00;2,00;0,00;0,00;0,00;1,00;0,50;0,00;0,00;0,50;0,50;0,00;0,00;0,00;0,00
2019-11-24;11,00;0,50;0,50;1,00;1,00;0,50;1,00;2,00;0,00;0,00;0,50;0,50;0,50;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00
2019-12-01;11,00;0,50;0,00;1,00;1,00;0,50;1,00;1,00;0,00;0,50;0,00;0,50;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-08;12,00;0,50;0,50;0,50;1,00;0,50;2,00;2,00;0,00;0,00;0,50;0,50;0,00;0,00;0,00;0,50;0,00;0,00;0,50;0,00;0,00
2019-12-15;13,00;0,50;0,50;0,50;0,50;1,00;2,00;3,00;0,00;0,00;0,50;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-22;20,00;1,00;0,50;1,00;1,00;1,00;3,00;3,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-29;19,00;2,00;0,50;1,00;1,00;1,00;4,00;3,00;0,00;0,00;0,00;1,00;0,50;0,50;0,00;0,50;0,00;0,00;0,00;0,00;0,50
2020-01-05;10,00;1,00;0,50;1,00;1,00;1,00;1,00;1,00;0,00;0,00;0,00;0,50;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-12;12,00;1,00;0,50;1,00;1,00;1,00;1,00;1,00;0,00;0,00;0,50;1,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00
2020-01-19;8,00;1,00;0,50;1,00;1,00;0,50;1,00;2,00;0,00;0,00;0,50;1,00;0,00;0,50;0,00;0,00;0,50;0,00;0,00;0,00;0,00
2020-01-26;11,00;1,00;0,50;1,00;1,00;0,50;1,00;2,00;0,00;0,00;0,50;1,00;0,00;0,00;0,50;0,50;0,00;0,00;0,00;0,00;0,00
2020-02-02;11,00;0,50;0,50;0,50;0,50;0,50;1,00;2,00;0,00;0,00;0,50;1,00;0,00;0,50;0,00;0,50;0,50;0,00;0,00;0,00;0,00
2020-02-09;12,00;1,00;0,50;1,00;1,00;1,00;2,00;2,00;0,00;0,00;0,50;1,00;0,50;0,00;0,00;0,00;0,50;0,00;0,50;0,00;0,00
2020-02-16;13,00;1,00;0,00;1,00;1,00;0,50;2,00;2,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00
2020-02-23;8,00;1,00;0,50;1,00;1,00;1,00;1,00;1,00;0,00;0,00;0,50;1,00;0,00;0,00;0,00;0,50;0,50;0,00;0,00;0,00;0,00
2020-03-01;8,00;1,00;0,50;0,50;1,00;1,00;1,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00
2020-03-08;10,00;1,00;0,00;0,50;1,00;0,50;1,00;0,50;0,00;0,00;0,50;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-15;7,00;0,50;0,50;0,50;1,00;0,50;1,00;1,00;0,00;0,00;0,00;0,50;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00
