Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;34,00;39,00;35,00;26,00;8,00;2,43;7,29;9,71;19,43
2019-01-13;40,00;33,00;18,00;23,00;12,00;2,50;5,00;15,00;15,00
2019-01-20;32,00;34,00;31,00;19,00;10,00;4,92;2,46;22,15;19,69
2019-01-27;36,00;41,00;27,00;15,00;15,00;7,71;5,14;15,43;12,86
2019-02-03;22,00;13,00;30,00;26,00;8,00;7,33;0,00;12,22;244,44
2019-02-10;44,00;9,00;30,00;17,00;7,00;4,89;4,89;7,33;14,67
2019-02-17;40,00;11,00;20,00;16,00;9,00;7,50;2,50;12,50;12,50
2019-02-24;25,00;13,00;26,00;19,00;7,00;2,50;7,50;15,00;5,00
2019-03-03;34,00;15,00;31,00;20,00;11,00;4,86;7,29;9,71;14,57
2019-03-10;26,00;8,00;18,00;33,00;5,00;2,60;5,20;10,40;18,20
2019-03-17;26,00;6,00;21,00;33,00;14,00;4,73;4,73;16,55;23,64
2019-03-24;47,00;22,00;18,00;11,00;29,00;4,95;7,42;12,37;17,32
2019-03-31;20,00;14,00;15,00;19,00;21,00;2,50;2,50;10,00;12,50
2019-04-07;23,00;5,00;15,00;16,00;11,00;2,56;5,11;7,67;10,22
2019-04-14;24,00;14,00;10,00;13,00;14,00;7,20;4,80;7,20;9,60
2019-04-21;62,00;10,00;16,00;22,00;6,00;4,96;12,40;12,40;14,88
2019-04-28;26,00;14,00;26,00;25,00;7,00;2,60;7,80;2,60;18,20
2019-05-05;27,00;25,00;7,00;21,00;8,00;7,36;2,45;7,36;12,27
2019-05-12;27,00;54,00;6,00;25,00;12,00;0,00;4,91;2,45;9,82
2019-05-19;51,00;100,00;22,00;19,00;9,00;2,55;5,10;10,20;20,40
2019-05-26;27,00;23,00;15,00;20,00;9,00;4,91;2,45;4,91;12,27
2019-06-02;34,00;26,00;13,00;31,00;3,00;7,29;2,43;12,14;14,57
2019-06-09;42,00;16,00;11,00;19,00;6,00;4,94;2,47;7,41;17,29
2019-06-16;41,00;15,00;15,00;23,00;6,00;2,41;4,82;9,65;14,47
2019-06-23;42,00;15,00;17,00;32,00;6,00;2,47;4,94;9,88;74,12
2019-06-30;59,00;15,00;12,00;25,00;14,00;2,46;9,83;9,83;12,29
2019-07-07;44,00;15,00;21,00;24,00;12,00;4,89;2,44;9,78;12,22
2019-07-14;20,00;19,00;16,00;34,00;1,00;2,50;5,00;10,00;15,00
2019-07-21;55,00;17,00;21,00;24,00;10,00;5,00;2,50;10,00;15,00
2019-07-28;67,00;21,00;16,00;18,00;7,00;2,48;2,48;7,44;27,30
2019-08-04;82,00;7,00;16,00;28,00;6,00;2,48;4,97;12,42;84,48
2019-08-11;76,00;39,00;32,00;34,00;5,00;2,45;4,90;17,16;22,06
2019-08-18;67,00;20,00;23,00;34,00;6,00;4,96;4,96;7,44;74,44
2019-08-25;37,00;23,00;8,00;24,00;7,00;4,93;2,47;9,87;22,20
2019-09-01;43,00;31,00;20,00;30,00;6,00;2,53;7,59;15,18;10,12
2019-09-08;42,00;17,00;22,00;23,00;5,00;4,94;4,94;9,88;17,29
2019-09-15;26,00;10,00;20,00;24,00;10,00;2,60;5,20;10,40;7,80
2019-09-22;25,00;14,00;9,00;30,00;8,00;0,00;5,00;12,50;20,00
2019-09-29;32,00;12,00;14,00;27,00;10,00;0,00;4,92;14,77;14,77
2019-10-06;34,00;17,00;14,00;25,00;12,00;2,43;2,43;7,29;26,71
2019-10-13;34,00;17,00;10,00;30,00;22,00;2,43;4,86;7,29;14,57
2019-10-20;19,00;11,00;14,00;19,00;4,00;7,13;4,75;16,63;19,00
2019-10-27;22,00;20,00;19,00;16,00;9,00;4,89;4,89;7,33;12,22
2019-11-03;17,00;23,00;19,00;46,00;6,00;2,43;7,29;4,86;24,29
2019-11-10;27,00;29,00;19,00;25,00;9,00;4,91;4,91;9,82;14,73
2019-11-17;30,00;21,00;20,00;21,00;2,00;2,50;0,00;5,00;17,50
2019-11-24;21,00;11,00;19,00;19,00;9,00;2,63;0,00;10,50;10,50
2019-12-01;16,00;23,00;13,00;21,00;9,00;2,29;4,57;11,43;13,71
2019-12-08;17,00;12,00;9,00;27,00;8,00;2,43;4,86;14,57;26,71
2019-12-15;26,00;23,00;15,00;27,00;5,00;0,00;5,20;23,40;10,40
2019-12-22;27,00;32,00;17,00;29,00;15,00;2,45;2,45;17,18;17,18
2019-12-29;31,00;35,00;21,00;31,00;14,00;5,17;12,92;10,33;12,92
2020-01-05;26,00;17,00;20,00;20,00;13,00;7,09;4,73;14,18;11,82
2020-01-12;37,00;33,00;19,00;19,00;8,00;2,47;4,93;14,80;12,33
2020-01-19;28,00;22,00;17,00;30,00;1,00;7,64;2,55;17,82;12,73
2020-01-26;25,00;30,00;15,00;12,00;11,00;2,50;7,50;12,50;12,50
2020-02-02;15,00;16,00;19,00;28,00;8,00;1,25;7,50;12,50;200,00
2020-02-09;20,00;13,00;12,00;25,00;7,00;2,50;5,00;7,50;20,00
2020-02-16;30,00;21,00;11,00;48,00;6,00;2,50;5,00;10,00;10,00
2020-02-23;23,00;15,00;12,00;18,00;7,00;2,56;5,11;10,22;12,78
2020-03-01;17,00;20,00;7,00;31,00;10,00;2,43;2,43;12,14;9,71
2020-03-08;16,00;15,00;12,00;16,00;5,00;2,29;2,29;6,86;9,14
2020-03-15;24,00;13,00;9,00;13,00;13,00;2,40;7,20;9,60;7,20
2020-03-22;21,00;6,00;2,00;10,00;8,00;2,33;4,67;2,33;11,67
2020-03-29;28,00;1,00;5,00;17,00;5,00;2,55;7,64;7,64;10,18
2020-04-05;32,00;4,00;7,00;14,00;12,00;0,00;2,46;2,46;12,31
2020-04-12;25,00;8,00;4,00;13,00;11,00;0,00;2,50;5,00;5,00
2020-04-19;34,00;4,00;5,00;17,00;5,00;2,43;2,43;7,29;7,29
2020-04-26;32,00;5,00;4,00;12,00;11,00;4,92;4,92;4,92;7,38
2020-05-03;25,00;11,00;5,00;17,00;10,00;0,00;5,00;7,50;10,00
2020-05-10;31,00;9,00;4,00;13,00;14,00;7,15;7,15;2,38;9,54
2020-05-17;14,00;4,00;9,00;20,00;18,00;2,33;2,33;7,00;7,00
2020-05-24;19,00;4,00;6,00;17,00;12,00;0,00;2,38;7,13;19,00
2020-05-31;34,00;11,00;4,00;21,00;13,00;0,00;2,43;2,43;26,71
2020-06-07;29,00;3,00;3,00;9,00;7,00;1,21;4,83;4,83;38,67
2020-06-14;41,00;6,00;9,00;21,00;11,00;2,41;0,00;2,41;16,88
2020-06-21;42,00;6,00;5,00;13,00;7,00;2,47;2,47;1,24;12,35
2020-06-28;28,00;2,00;4,00;28,00;10,00;2,55;2,55;2,55;17,82
2020-07-05;31,00;7,00;2,00;12,00;5,00;2,58;1,29;2,58;12,92
2020-07-12;26,00;2,00;6,00;16,00;5,00;2,60;2,60;2,60;28,60
2020-07-19;42,00;5,00;7,00;19,00;5,00;2,47;2,47;7,41;7,41
2020-07-26;36,00;8,00;5,00;19,00;5,00;4,80;2,40;7,20;12,00
2020-08-02;38,00;1,00;11,00;13,00;3,00;2,38;4,75;7,13;14,25
2020-08-09;48,00;5,00;11,00;19,00;10,00;5,05;5,05;7,58;12,63
2020-08-16;41,00;9,00;16,00;27,00;5,00;2,41;2,41;2,41;7,24
2020-08-23;29,00;6,00;10,00;16,00;9,00;4,83;0,00;9,67;79,75
2020-08-30;26,00;6,00;4,00;43,00;14,00;2,36;0,00;2,36;9,45
2020-09-06;22,00;12,00;0,00;21,00;7,00;1,22;2,44;2,44;7,33
2020-09-13;12,00;6,00;4,00;15,00;39,00;1,20;2,40;2,40;7,20
2020-09-20;15,00;3,00;5,00;11,00;7,00;5,00;7,50;2,50;5,00
2020-09-27;10,00;4,00;2,00;19,00;4,00;2,50;2,50;2,50;7,50
2020-10-04;16,00;4,00;9,00;14,00;5,00;0,00;5,33;2,67;34,67
2020-10-11;20,00;20,00;6,00;10,00;19,00;2,50;2,50;5,00;7,50
2020-10-18;14,00;6,00;7,00;10,00;11,00;1,40;1,40;2,80;5,60
2020-10-25;17,00;7,00;5,00;10,00;6,00;1,21;1,21;4,86;4,86
2020-11-01;17,00;7,00;6,00;4,00;14,00;2,43;2,43;4,86;9,71
2020-11-08;21,00;6,00;2,00;14,00;11,00;2,33;4,67;7,00;4,67
2020-11-15;69,00;6,00;7,00;13,00;7,00;1,23;2,46;4,93;2,46
2020-11-22;19,00;6,00;7,00;9,00;9,00;1,19;4,75;1,19;9,50
2020-11-29;18,00;8,00;6,00;6,00;8,00;0,00;5,14;2,57;10,29
2020-12-06;19,00;6,00;6,00;16,00;12,00;2,38;1,19;2,38;111,63
2020-12-13;15,00;8,00;7,00;55,00;7,00;2,50;2,50;5,00;5,00
2020-12-20;22,00;5,00;5,00;65,00;9,00;0,00;2,44;4,89;14,67
2020-12-27;21,00;15,00;13,00;36,00;10,00;2,63;5,25;5,25;21,00
2021-01-03;26,00;9,00;11,00;24,00;11,00;2,36;4,73;7,09;2,36
2021-01-10;16,00;9,00;12,00;14,00;10,00;2,67;2,67;1,33;8,00
2021-01-17;12,00;5,00;12,00;16,00;17,00;1,20;4,80;2,40;4,80
2021-01-24;29,00;6,00;6,00;20,00;8,00;0,00;2,42;2,42;9,67
2021-01-31;20,00;7,00;10,00;17,00;8,00;1,25;2,50;1,25;2,50
2021-02-07;23,00;7,00;6,00;19,00;6,00;2,56;2,56;2,56;127,78
2021-02-14;14,00;6,00;9,00;12,00;8,00;4,67;7,00;4,67;14,00
2021-02-21;19,00;4,00;6,00;19,00;8,00;2,38;9,50;4,75;4,75
2021-02-28;12,00;10,00;1,00;12,00;16,00;0,00;7,20;7,20;9,60
2021-03-07;19,00;4,00;8,00;20,00;6,00;2,38;1,19;2,38;4,75
2021-03-14;24,00;1,00;4,00;19,00;8,00;0,00;7,20;9,60;7,20
2021-03-21;18,00;13,00;11,00;12,00;10,00;2,57;5,14;5,14;2,57
2021-03-28;21,00;8,00;12,00;17,00;13,00;2,63;5,25;5,25;13,13
2021-04-04;18,00;13,00;9,00;11,00;14,00;2,57;5,14;15,43;5,14
2021-04-11;11,00;11,00;12,00;22,00;6,00;2,75;5,50;8,25;13,75
2021-04-18;18,00;5,00;10,00;19,00;8,00;0,00;5,14;2,57;5,14
2021-04-25;11,00;13,00;10,00;21,00;14,00;1,10;1,10;4,40;2,20
2021-05-02;23,00;9,00;5,00;19,00;23,00;5,11;2,56;7,67;7,67
2021-05-09;21,00;1,00;7,00;17,00;5,00;0,00;2,33;2,33;2,33
2021-05-16;21,00;4,00;7,00;17,00;9,00;2,33;2,33;2,33;7,00
2021-05-23;29,00;5,00;9,00;20,00;15,00;4,83;0,00;4,83;9,67
2021-05-30;57,00;4,00;16,00;23,00;9,00;2,48;9,91;7,43;7,43
2021-06-06;15,00;9,00;11,00;16,00;9,00;0,00;5,00;0,00;10,00
2021-06-13;27,00;13,00;13,00;12,00;8,00;2,45;4,91;4,91;14,73
2021-06-20;25,00;12,00;8,00;9,00;4,00;5,00;2,50;7,50;65,00
2021-06-27;19,00;11,00;24,00;19,00;8,00;2,38;0,00;7,13;7,13
2021-07-04;44,00;20,00;18,00;16,00;11,00;4,89;4,89;12,22;7,33
2021-07-11;35,00;16,00;15,00;16,00;13,00;5,00;0,00;5,00;7,50
2021-07-18;30,00;3,00;13,00;11,00;11,00;7,50;7,50;2,50;10,00
2021-07-25;52,00;27,00;20,00;28,00;8,00;2,48;4,95;4,95;2,48
2021-08-01;28,00;19,00;16,00;35,00;9,00;0,00;5,09;5,09;7,64
2021-08-08;52,00;23,00;41,00;20,00;9,00;4,95;2,48;4,95;4,95
2021-08-15;77,00;7,00;16,00;23,00;10,00;4,97;2,48;9,94;12,42
2021-08-22;30,00;13,00;11,00;27,00;11,00;5,00;7,50;7,50;12,50
2021-08-29;29,00;12,00;11,00;19,00;6,00;2,42;2,42;4,83;7,25
2021-09-05;24,00;11,00;7,00;18,00;3,00;4,80;4,80;7,20;9,60
2021-09-12;23,00;30,00;8,00;37,00;1,00;7,67;2,56;2,56;7,67
2021-09-19;21,00;19,00;10,00;40,00;7,00;4,67;4,67;4,67;7,00
2021-09-26;15,00;14,00;3,00;22,00;10,00;2,50;0,00;2,50;2,50
2021-10-03;16,00;18,00;17,00;21,00;8,00;2,67;2,67;8,00;5,33
2021-10-10;12,00;15,00;11,00;15,00;9,00;4,80;2,40;4,80;9,60
2021-10-17;29,00;11,00;9,00;33,00;7,00;2,42;4,83;9,67;4,83
2021-10-24;23,00;10,00;22,00;23,00;12,00;5,11;5,11;5,11;5,11
2021-10-31;24,00;16,00;9,00;12,00;10,00;2,40;7,20;4,80;7,20
2021-11-07;28,00;16,00;17,00;30,00;6,00;5,09;2,55;12,73;5,09
2021-11-14;30,00;17,00;7,00;20,00;7,00;7,50;2,50;5,00;5,00
2021-11-21;19,00;13,00;23,00;21,00;10,00;0,00;5,43;8,14;5,43
2021-11-28;4,00;13,00;18,00;17,00;7,00;2,00;6,00;6,00;6,00
2021-12-05;9,00;13,00;14,00;13,00;12,00;0,00;4,50;6,75;9,00
2021-12-12;12,00;13,00;10,00;29,00;7,00;7,20;2,40;2,40;38,40
2021-12-19;24,00;10,00;12,00;16,00;34,00;0,00;4,80;4,80;14,40
2021-12-26;17,00;11,00;15,00;42,00;10,00;12,14;7,29;7,29;12,14
2022-01-02;31,00;11,00;16,00;32,00;7,00;15,50;5,17;10,33;2,58
2022-01-09;20,00;8,00;10,00;20,00;12,00;2,50;2,50;7,50;12,50
2022-01-16;32,00;17,00;8,00;20,00;15,00;2,46;7,38;2,46;7,38
2022-01-23;33,00;12,00;17,00;23,00;17,00;2,54;2,54;5,08;12,69
2022-01-30;22,00;15,00;10,00;25,00;17,00;4,89;0,00;9,78;7,33
2022-02-06;17,00;25,00;14,00;17,00;5,00;0,00;2,43;2,43;9,71
2022-02-13;33,00;24,00;19,00;26,00;12,00;2,54;7,62;5,08;15,23
2022-02-20;22,00;8,00;15,00;12,00;12,00;2,44;2,44;2,44;2,44
2022-02-27;26,00;18,00;18,00;28,00;20,00;2,36;4,73;0,00;14,18
