Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;11,00;187,00;2,75;5,50;5,50;4,00;2,00;1,00;2,00;0,50;2,00;1,00;0,50
2019-01-13;12,00;150,00;3,00;6,00;6,00;4,00;3,00;1,00;4,00;0,50;1,00;0,50;0,50
2019-01-20;10,00;105,00;2,50;5,00;2,50;4,00;2,00;2,00;2,00;1,00;2,00;1,00;0,50
2019-01-27;6,00;84,00;3,00;6,00;3,00;4,00;2,00;0,50;1,00;1,00;1,00;1,00;0,50
2019-02-03;6,00;96,00;3,00;6,00;6,00;3,00;4,00;0,50;1,00;1,00;1,00;0,50;0,50
2019-02-10;6,00;90,00;3,00;3,00;3,00;3,00;3,00;1,00;1,00;1,00;2,00;0,50;0,50
2019-02-17;8,00;104,00;4,00;8,00;4,00;4,00;3,00;0,50;1,00;1,00;1,00;0,50;0,00
2019-02-24;8,00;128,00;4,00;8,00;4,00;3,00;5,00;0,50;0,50;1,00;1,00;1,00;0,00
2019-03-03;8,00;136,00;4,00;8,00;4,00;5,00;3,00;0,50;0,50;1,00;1,00;1,00;0,50
2019-03-10;6,00;102,00;3,00;6,00;3,00;3,00;3,00;0,50;0,50;1,00;1,00;1,00;0,50
2019-03-17;7,00;105,00;3,50;7,00;3,50;4,00;4,00;1,00;1,00;1,00;1,00;1,00;0,50
2019-03-24;8,00;112,00;4,00;8,00;4,00;4,00;3,00;0,50;1,00;1,00;1,00;1,00;0,00
2019-03-31;14,00;79,33;2,33;4,67;4,67;5,00;3,00;1,00;2,00;1,00;1,00;1,00;1,00
2019-04-07;15,00;95,00;2,50;5,00;5,00;7,00;3,00;2,00;2,00;1,00;2,00;0,50;0,50
2019-04-14;20,00;500,00;2,50;5,00;5,00;6,00;3,00;2,00;2,00;1,00;2,00;2,00;0,50
2019-04-21;21,00;105,00;2,63;5,25;5,25;9,00;2,00;2,00;2,00;1,00;2,00;2,00;0,50
2019-04-28;16,00;96,00;2,67;5,33;5,33;7,00;3,00;2,00;2,00;1,00;1,00;0,50;0,50
2019-05-05;15,00;95,00;2,50;5,00;5,00;5,00;3,00;2,00;2,00;1,00;2,00;0,50;0,50
2019-05-12;14,00;70,00;2,33;4,67;2,33;6,00;3,00;2,00;2,00;1,00;1,00;1,00;0,50
2019-05-19;14,00;119,00;3,50;7,00;14,00;5,00;3,00;2,00;2,00;1,00;2,00;0,50;0,50
2019-05-26;15,00;80,00;2,50;5,00;5,00;6,00;3,00;1,00;1,00;1,00;1,00;1,00;0,50
2019-06-02;16,00;96,00;2,67;5,33;5,33;7,00;4,00;2,00;2,00;1,00;1,00;1,00;0,50
2019-06-09;18,00;102,00;3,00;6,00;6,00;7,00;4,00;2,00;3,00;1,00;2,00;1,00;0,50
2019-06-16;21,00;89,25;2,63;5,25;5,25;6,00;4,00;1,00;2,00;1,00;1,00;1,00;0,50
2019-06-23;16,00;96,00;2,67;5,33;5,33;7,00;4,00;2,00;3,00;1,00;2,00;1,00;1,00
2019-06-30;20,00;90,00;2,50;5,00;5,00;8,00;4,00;2,00;2,00;1,00;2,00;1,00;0,50
2019-07-07;21,00;94,50;2,63;5,25;5,25;7,00;3,00;3,00;2,00;1,00;1,00;1,00;1,00
2019-07-14;20,00;90,00;2,50;5,00;5,00;7,00;4,00;3,00;4,00;2,00;2,00;1,00;1,00
2019-07-21;23,00;115,00;2,88;5,75;5,75;10,00;4,00;3,00;4,00;1,00;2,00;1,00;1,00
2019-07-28;24,00;126,00;6,00;6,00;6,00;9,00;4,00;2,00;3,00;1,00;2,00;1,00;1,00
2019-08-04;28,00;128,80;2,80;5,60;5,60;14,00;4,00;2,00;3,00;1,00;3,00;1,00;0,50
2019-08-11;29,00;133,40;2,90;5,80;5,80;7,00;5,00;3,00;4,00;2,00;4,00;1,00;1,00
2019-08-18;24,00;126,00;3,00;6,00;6,00;9,00;5,00;2,00;2,00;2,00;2,00;1,00;0,50
2019-08-25;17,00;119,00;2,83;5,67;5,67;6,00;6,00;2,00;4,00;1,00;2,00;1,00;0,50
2019-09-01;17,00;124,67;2,83;5,67;5,67;8,00;4,00;1,00;4,00;1,00;2,00;1,00;0,50
2019-09-08;16,00;122,67;2,67;5,33;5,33;6,00;4,00;1,00;3,00;1,00;2,00;0,50;0,50
2019-09-15;14,00;107,33;2,33;4,67;4,67;6,00;4,00;2,00;2,00;1,00;2,00;1,00;0,50
2019-09-22;14,00;161,00;3,50;7,00;3,50;5,00;3,00;1,00;2,00;1,00;1,00;1,00;0,50
2019-09-29;13,00;162,50;3,25;6,50;6,50;5,00;3,00;3,00;2,00;1,00;2,00;1,00;0,50
2019-10-06;13,00;149,50;3,25;6,50;6,50;7,00;3,00;2,00;3,00;0,50;2,00;1,00;0,50
2019-10-13;13,00;143,00;3,25;6,50;6,50;5,00;3,00;2,00;2,00;0,50;1,00;0,50;0,50
2019-10-20;14,00;102,67;2,33;4,67;4,67;5,00;4,00;1,00;3,00;1,00;2,00;1,00;0,50
2019-10-27;13,00;338,00;3,25;6,50;6,50;6,00;4,00;1,00;2,00;1,00;1,00;0,50;0,50
2019-11-03;13,00;149,50;3,25;6,50;6,50;5,00;3,00;1,00;2,00;0,50;1,00;0,50;0,50
2019-11-10;10,00;110,00;2,50;5,00;5,00;6,00;2,00;1,00;2,00;1,00;2,00;0,50;0,00
2019-11-17;11,00;121,00;2,75;5,50;5,50;5,00;4,00;1,00;2,00;1,00;1,00;1,00;0,50
2019-11-24;11,00;121,00;2,75;5,50;5,50;6,00;5,00;0,50;3,00;1,00;1,00;0,50;0,50
2019-12-01;11,00;132,00;2,75;5,50;5,50;4,00;4,00;2,00;3,00;0,50;1,00;0,50;0,50
2019-12-08;12,00;126,00;3,00;6,00;6,00;5,00;3,00;1,00;2,00;0,50;2,00;0,50;0,50
2019-12-15;13,00;130,00;3,25;6,50;6,50;5,00;3,00;1,00;3,00;1,00;1,00;1,00;0,50
2019-12-22;20,00;166,67;3,33;6,67;6,67;7,00;2,00;1,00;2,00;1,00;1,00;0,50;0,50
2019-12-29;19,00;183,67;3,17;6,33;6,33;5,00;3,00;1,00;3,00;1,00;2,00;1,00;0,50
2020-01-05;10,00;115,00;2,50;5,00;5,00;4,00;4,00;2,00;1,00;1,00;1,00;0,50;0,50
2020-01-12;12,00;150,00;3,00;6,00;6,00;5,00;4,00;1,00;2,00;0,50;2,00;1,00;0,50
2020-01-19;8,00;176,00;4,00;8,00;8,00;4,00;3,00;1,00;1,00;0,50;1,00;1,00;0,00
2020-01-26;11,00;110,00;2,75;5,50;5,50;4,00;4,00;2,00;2,00;1,00;1,00;1,00;0,50
2020-02-02;11,00;99,00;2,75;5,50;5,50;6,00;2,00;1,00;2,00;1,00;2,00;0,50;0,50
2020-02-09;12,00;120,00;3,00;6,00;6,00;5,00;3,00;1,00;3,00;1,00;2,00;0,50;0,00
2020-02-16;13,00;123,50;3,25;6,50;6,50;6,00;2,00;1,00;2,00;1,00;1,00;0,50;0,50
2020-02-23;8,00;136,00;4,00;4,00;8,00;3,00;2,00;0,50;1,00;1,00;1,00;0,50;0,50
2020-03-01;8,00;112,00;4,00;8,00;8,00;4,00;2,00;1,00;1,00;0,50;1,00;0,50;1,00
2020-03-08;10,00;45,00;2,50;2,50;2,50;3,00;1,00;0,50;1,00;0,50;1,00;0,50;0,00
2020-03-15;7,00;56,00;3,50;3,50;3,50;1,00;1,00;1,00;1,00;0,50;0,50;0,50;0,50
2020-03-22;3,00;18,00;0,00;1,50;1,50;1,00;1,00;0,50;1,00;0,50;0,50;0,00;0,50
2020-03-29;3,00;36,00;0,00;3,00;3,00;1,00;0,50;1,00;0,50;0,50;0,50;0,50;0,00
2020-04-05;3,00;15,00;1,50;1,50;1,50;1,00;0,50;1,00;0,50;0,50;0,50;0,00;0,00
2020-04-12;3,00;36,00;3,00;3,00;3,00;1,00;1,00;1,00;0,50;0,50;0,50;0,50;0,00
2020-04-19;3,00;18,00;1,50;1,50;1,50;1,00;0,50;1,00;0,50;0,50;0,50;0,50;0,50
2020-04-26;3,00;15,00;0,00;1,50;1,50;1,00;0,50;0,50;1,00;0,50;0,50;0,50;0,50
2020-05-03;3,00;15,00;0,00;1,50;1,50;1,00;0,50;1,00;1,00;0,50;0,50;0,50;0,50
2020-05-10;4,00;24,00;2,00;2,00;2,00;2,00;1,00;1,00;0,50;0,50;0,50;0,50;0,50
2020-05-17;3,00;15,00;1,50;1,50;1,50;1,00;1,00;0,50;0,50;0,50;0,50;0,50;0,00
2020-05-24;5,00;30,00;2,50;2,50;2,50;1,00;1,00;1,00;1,00;0,50;0,50;0,50;0,50
2020-05-31;5,00;30,00;2,50;2,50;2,50;1,00;1,00;0,50;1,00;0,50;1,00;0,50;0,50
2020-06-07;5,00;35,00;2,50;2,50;2,50;2,00;1,00;1,00;1,00;0,50;1,00;0,50;0,50
