Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;8,00;0,00;15,00;30,00;8,00;84,80;0,00;0,00;51,20;8,00;34,00;104,00;0,00;0,00;0,00;264,00;8,00;18,67;61,33;0,00;18,67
2019-01-13;30,00;8,00;23,00;23,00;0,00;45,71;0,00;7,14;15,71;0,00;30,00;52,94;0,00;0,00;6,00;156,00;30,00;0,00;101,54;16,15;6,92
2019-01-20;29,00;0,00;36,00;22,00;7,00;13,81;0,00;6,90;13,81;13,65;29,00;29,00;0,00;0,00;0,00;145,00;5,80;29,00;51,31;0,00;6,69
2019-01-27;7,00;0,00;7,00;7,00;7,00;43,40;0,00;7,00;14,00;0,00;21,00;50,75;0,00;0,00;0,00;168,00;0,00;7,00;81,67;0,00;14,00
2019-02-03;15,00;0,00;0,00;15,00;0,00;35,45;0,00;0,00;0,00;6,67;21,67;43,33;0,00;0,00;0,00;115,00;20,00;15,00;49,29;0,00;6,43
2019-02-10;8,00;0,00;8,00;23,00;0,00;43,20;0,00;0,00;8,00;0,00;34,00;52,00;0,00;0,00;0,00;160,00;0,00;0,00;53,33;0,00;0,00
2019-02-17;23,00;0,00;46,00;23,00;0,00;15,81;0,00;0,00;23,00;7,08;54,85;54,85;7,08;0,00;0,00;201,25;17,25;6,90;0,00;6,90;6,90
2019-02-24;23,00;8,00;0,00;8,00;0,00;23,00;0,00;15,81;15,81;0,00;53,08;61,92;0,00;0,00;0,00;155,25;5,75;0,00;69,00;6,90;0,00
2019-03-03;45,00;23,00;15,00;8,00;0,00;36,56;0,00;0,00;15,47;0,00;29,42;58,85;0,00;0,00;0,00;196,88;5,63;15,75;15,75;0,00;29,25
2019-03-10;22,00;0,00;15,00;15,00;0,00;28,88;0,00;0,00;0,00;6,77;22,00;42,31;0,00;5,50;0,00;203,50;0,00;0,00;72,60;0,00;28,60
2019-03-17;15,00;0,00;0,00;0,00;0,00;63,00;0,00;0,00;7,50;0,00;31,88;39,38;7,50;0,00;0,00;100,00;0,00;0,00;27,86;0,00;0,00
2019-03-24;8,00;0,00;15,00;15,00;0,00;43,20;0,00;0,00;8,00;0,00;18,00;78,00;0,00;8,00;0,00;224,00;24,00;0,00;34,67;0,00;18,67
2019-03-31;23,00;8,00;0,00;31,00;0,00;7,19;7,19;7,19;7,19;0,00;23,00;123,85;0,00;0,00;0,00;126,50;5,75;23,00;23,00;6,90;16,10
2019-04-07;22,00;0,00;30,00;22,00;0,00;57,75;0,00;0,00;6,88;0,00;13,54;64,31;0,00;0,00;0,00;154,00;5,50;72,60;35,20;0,00;15,40
2019-04-14;40,00;24,00;24,00;8,00;0,00;24,29;0,00;0,00;8,57;0,00;40,00;46,96;15,65;0,00;0,00;137,14;0,00;16,47;40,00;23,53;16,47
2019-04-21;8,00;0,00;24,00;24,00;8,00;110,67;0,00;8,00;8,00;26,00;54,00;98,00;8,00;0,00;0,00;256,00;24,00;8,00;45,33;0,00;18,67
2019-04-28;22,00;7,00;0,00;15,00;0,00;56,38;0,00;0,00;22,00;13,54;57,54;84,62;6,77;5,50;0,00;231,00;27,50;22,00;35,20;6,60;0,00
2019-05-05;58,00;7,00;0,00;15,00;0,00;36,78;0,00;0,00;7,07;0,00;43,94;50,97;0,00;0,00;0,00;232,00;17,40;29,00;51,31;0,00;35,69
