Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2019-01-06;42,00;10,96;10,96;10,96;9,13;15,00;5,00;1,00;0,00;4,00;0,00;3,00;4,00;0,00;1,00;0,00;0,00;0,00;1,00;1,00;0,00
2019-01-13;45,00;12,60;1,80;12,60;16,20;8,00;3,00;4,00;0,00;0,00;0,00;3,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;43,00;8,96;7,17;1,79;1,79;10,00;4,00;6,00;0,00;0,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;0,00;1,00;0,00
2019-01-27;18,00;7,20;7,20;3,60;9,00;13,00;5,00;1,00;0,00;1,00;0,00;1,00;1,00;1,00;0,00;1,00;0,00;0,00;1,00;0,00;1,00
2019-02-03;22,00;11,00;5,50;1,83;1,83;12,00;5,00;7,00;1,00;3,00;1,00;3,00;3,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00
2019-02-10;24,00;9,23;7,38;9,23;1,85;8,00;3,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;4,00;1,00;0,00;0,00;1,00;0,00
2019-02-17;28,00;7,47;5,60;3,73;1,87;7,00;12,00;4,00;0,00;1,00;1,00;1,00;4,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;1,00
2019-02-24;37,00;5,55;9,25;5,55;7,40;9,00;9,00;3,00;1,00;3,00;4,00;1,00;0,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00;1,00
2019-03-03;33,00;12,83;0,00;1,83;5,50;1,00;12,00;4,00;0,00;1,00;1,00;1,00;3,00;1,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00
2019-03-10;31,00;10,94;7,29;10,94;10,94;13,00;9,00;6,00;0,00;1,00;1,00;8,00;3,00;0,00;3,00;1,00;1,00;0,00;0,00;0,00;0,00
2019-03-17;22,00;9,17;7,33;3,67;1,83;9,00;0,00;1,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;0,00
2019-03-24;29,00;7,25;1,81;5,44;7,25;4,00;5,00;3,00;3,00;0,00;3,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;47,00;7,23;7,23;1,81;5,42;15,00;9,00;7,00;0,00;1,00;1,00;0,00;3,00;0,00;1,00;1,00;0,00;1,00;0,00;0,00;0,00
2019-04-07;66,00;11,00;9,17;11,00;3,67;13,00;9,00;4,00;1,00;1,00;1,00;1,00;1,00;0,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00
2019-04-14;47,00;14,46;3,62;9,04;10,85;24,00;8,00;1,00;3,00;1,00;3,00;0,00;4,00;0,00;1,00;1,00;4,00;1,00;1,00;0,00;0,00
2019-04-21;54,00;9,31;3,72;9,31;18,62;21,00;10,00;12,00;0,00;4,00;0,00;1,00;4,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-04-28;62,00;7,29;7,29;14,59;9,12;19,00;8,00;9,00;0,00;1,00;1,00;1,00;4,00;0,00;3,00;0,00;0,00;0,00;1,00;3,00;1,00
2019-05-05;59,00;12,91;9,22;23,97;5,53;10,00;14,00;8,00;3,00;1,00;3,00;4,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
