Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;44,00;184,00;88,00;56,00;12,00;33,33;26,67;13,33;53,33;14,14;40,86;44,00;34,57;14,00;14,00;7,00;0,00;11,00;4,00;7,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;58,00;108,27;50,27;65,73;42,53;33,72;31,02;31,02;31,02;3,14;34,49;47,03;23,51;14,00;10,00;3,00;18,00;7,00;7,00;14,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;62,00;100,75;73,63;38,75;11,63;20,22;32,35;25,61;29,65;3,18;27,03;49,28;23,85;7,00;39,00;3,00;7,00;20,00;10,00;0,00;3,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;29,00;87,00;41,43;66,29;37,29;31,64;47,45;40,86;22,41;9,67;37,06;29,00;16,11;16,00;10,00;3,00;7,00;13,00;13,00;6,00;3,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-02-03;27,00;73,29;57,86;54,00;15,43;20,25;20,25;16,20;20,25;6,35;14,29;30,18;6,35;7,00;10,00;3,00;3,00;3,00;17,00;7,00;7,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;37,00;96,20;33,30;40,70;11,10;17,18;19,82;13,21;33,04;0,00;32,38;29,29;13,88;14,00;17,00;3,00;7,00;11,00;11,00;7,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;41,00;108,09;59,64;52,18;41,00;26,45;30,42;10,58;17,19;6,31;17,35;44,15;11,04;17,00;3,00;0,00;7,00;7,00;11,00;7,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00
2019-02-24;41,00;94,30;90,20;65,60;36,90;47,83;34,17;31,43;17,77;3,15;9,46;29,96;6,31;14,00;7,00;0,00;3,00;4,00;11,00;10,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;34,00;109,56;68,00;56,67;34,00;40,80;27,20;13,60;9,52;9,71;14,57;27,52;14,57;10,00;7,00;0,00;0,00;11,00;14,00;0,00;0,00;0,00;10,00;10,00;0,00;0,00;0,00;0,00
2019-03-10;20,00;72,00;108,00;44,00;32,00;13,33;22,67;26,67;26,67;0,00;23,08;23,08;9,23;3,00;13,00;0,00;10,00;3,00;10,00;3,00;7,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
