Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;38,00;55,00;26,00;17,00;0,00;3,93;0,00;28,83;0,00
2019-01-13;26,00;60,00;35,00;52,00;9,00;4,11;8,21;17,79;0,00
2019-01-20;29,00;53,00;21,00;58,00;0,00;8,29;16,57;20,71;0,00
2019-01-27;24,00;49,00;16,00;37,00;0,00;0,00;4,00;45,33;16,00
2019-02-03;38,00;34,00;13,00;34,00;9,00;8,14;4,07;25,79;4,07
2019-02-10;17,00;55,00;22,00;30,00;4,00;0,00;0,00;45,77;3,92
2019-02-17;17,00;30,00;9,00;40,00;4,00;17,00;0,00;20,92;9,15
2019-02-24;43,00;47,00;30,00;39,00;0,00;4,03;0,00;25,53;4,03
2019-03-03;34,00;51,00;13,00;30,00;4,00;0,00;4,08;21,76;4,08
2019-03-10;25,00;33,00;21,00;13,00;4,00;7,89;7,89;17,11;3,95
2019-03-17;12,00;42,00;4,00;13,00;0,00;0,00;4,00;29,33;0,00
2019-03-24;47,00;39,00;13,00;30,00;4,00;4,03;4,03;25,51;8,06
2019-03-31;43,00;22,00;17,00;26,00;0,00;4,03;9,41;26,88;9,41
2019-04-07;17,00;33,00;17,00;0,00;0,00;4,25;0,00;39,67;8,50
2019-04-14;40,00;13,00;4,00;27,00;0,00;4,00;4,00;22,67;17,33
2019-04-21;13,00;40,00;4,00;18,00;0,00;9,10;9,10;22,10;13,00
2019-04-28;17,00;37,00;4,00;29,00;0,00;4,25;4,25;31,17;4,25
2019-05-05;16,00;37,00;25,00;46,00;8,00;4,00;4,00;25,33;8,00
2019-05-12;42,00;13,00;8,00;38,00;0,00;0,00;0,00;25,74;4,06
2019-05-19;33,00;17,00;21,00;17,00;0,00;0,00;11,88;25,08;15,84
2019-05-26;33,00;38,00;8,00;25,00;4,00;0,00;7,92;7,92;7,92
2019-06-02;24,00;28,00;20,00;28,00;0,00;4,00;12,00;20,00;8,00
2019-06-09;28,00;40,00;37,00;8,00;4,00;12,00;4,00;20,00;0,00
2019-06-16;16,00;12,00;16,00;45,00;4,00;0,00;12,00;24,00;4,00
2019-06-23;13,00;25,00;21,00;34,00;4,00;0,00;4,33;18,78;4,33
2019-06-30;54,00;37,00;8,00;38,00;4,00;0,00;12,15;25,65;12,15
2019-07-07;21,00;21,00;0,00;46,00;4,00;0,00;4,20;30,80;12,60
2019-07-14;22,00;17,00;13,00;44,00;4,00;0,00;13,75;27,50;9,63
2019-07-21;19,00;52,00;29,00;81,00;5,00;5,43;5,43;48,86;5,43
2019-07-28;28,00;32,00;14,00;42,00;5,00;0,00;4,00;32,00;9,33
